config,sample_idx,elapsed_sec,phase_id,progress_pct,active_mem_tombstones,l0_files,put_p99_us,is_slowdown
T0,0,5.0,0,2.1377,0,4,49.0,0
T0,1,10.05,0,4.0344,0,7,45.0,0
T0,2,15.1,0,5.9044,0,7,45.0,0
T0,3,20.15,0,7.7561,0,11,44.0,0
T0,4,25.19,0,9.5841,0,10,45.0,0
T0,5,30.24,0,11.3108,0,14,48.0,0
T0,6,35.29,0,13.0399,0,11,48.0,0
T0,7,40.33,0,14.8264,63,16,45.0,0
T0,8,45.37,1,16.4416,115,11,47.0,0
T0,9,50.4,1,17.7267,57,7,44.0,0
T0,10,55.43,1,19.0362,179,11,43.0,0
T0,11,60.47,1,20.3791,61,4,42.0,0
T0,12,65.51,1,21.7039,103,9,45.0,0
T0,13,70.54,1,22.9955,133,10,44.0,0
T0,14,75.57,1,24.2844,70,7,44.0,0
T0,15,80.6,1,25.6652,64,7,41.0,0
T0,16,85.63,1,27.0206,143,11,45.0,0
T0,17,90.69,1,28.4004,138,11,38.0,0
T0,18,95.72,1,29.6847,166,13,45.0,0
T0,19,100.75,1,30.5332,302,10,1159.0,0
T0,20,105.77,1,31.0232,225,13,1167.0,0
T0,21,111.06,1,31.7182,103,9,101.0,0
T0,22,116.1,1,33.0263,148,11,43.0,0
T0,23,121.16,1,34.1999,105,16,43.0,0
T0,24,126.19,1,35.4705,126,7,43.0,0
T0,25,131.22,1,36.6892,114,15,43.0,0
T0,26,136.24,1,37.8816,173,12,43.0,0
T0,27,141.27,1,38.9173,139,13,37.0,0
T0,28,146.3,2,39.478,49,7,55.0,0
T0,29,151.31,2,40.3128,49,11,47.0,0
T0,30,156.33,2,41.1076,49,11,47.0,0
T0,31,161.35,2,42.0185,49,12,39.0,0
T0,32,166.39,2,42.7149,49,13,58.0,0
T0,33,171.42,2,43.4087,49,6,55.0,0
T0,34,176.45,2,44.2469,49,8,46.0,0
T0,35,181.51,2,45.0708,49,9,48.0,0
T0,36,186.53,2,45.9602,49,10,41.0,0
T0,37,191.57,2,46.879,49,12,41.0,0
T0,38,196.59,2,47.8038,49,7,39.0,0
T0,39,201.61,2,48.6941,49,9,41.0,0
T0,40,206.64,2,49.415,49,13,51.0,0
T0,41,211.66,2,50.3277,49,5,37.0,0
T0,42,216.68,2,51.3802,49,5,36.0,0
T0,43,221.7,2,52.4034,49,11,33.0,0
T0,44,226.74,2,53.4832,49,7,34.0,0
T0,45,231.77,2,54.5109,49,9,37.0,0
T0,46,236.81,2,55.5156,49,9,41.0,0
T0,47,241.83,2,56.5248,49,9,38.0,0
T0,48,246.85,2,57.6392,49,6,37.0,0
T0,49,251.88,2,58.6854,49,8,38.0,0
T0,50,256.92,2,59.5297,49,10,47.0,0
T0,51,261.96,2,59.9629,49,4,76.0,0
T0,52,266.98,2,60.5777,49,8,59.0,0
T0,53,272.0,2,61.1955,49,3,60.0,0
T0,54,277.03,2,61.9348,49,7,57.0,0
T0,55,282.05,2,62.6767,49,11,50.0,0
T0,56,287.07,2,63.5398,49,6,50.0,0
T0,57,292.09,2,64.3892,49,3,49.0,0
T0,58,297.11,2,65.2671,368,8,49.0,0
T0,59,302.13,2,66.1965,255,7,50.0,0
T0,60,307.15,2,67.0062,462,8,61.0,0
T0,61,312.17,2,67.6149,776,5,58.0,0
T0,62,317.2,2,68.1954,280,5,61.0,0
T0,63,322.22,2,68.8305,1292,5,54.0,0
T0,64,327.25,2,69.4679,1056,5,56.0,0
T0,65,332.29,2,69.8918,1085,2,64.0,0
T0,66,337.3,2,70.2842,510,3,63.0,0
T0,67,342.33,2,70.6318,1379,1,46.0,0
T0,68,347.35,2,71.0034,657,4,37.0,0
T0,69,352.38,2,71.2919,2144,2,39.0,0
T0,70,357.41,3,71.6871,1574,1,49.0,0
T0,71,362.42,3,72.7769,926,7,50.0,0
T0,72,367.45,3,73.825,993,6,50.0,0
T0,73,372.47,3,74.8988,1079,6,49.0,0
T0,74,377.5,3,76.1093,939,7,42.0,0
T0,75,382.53,3,77.2816,894,4,41.0,0
T0,76,387.55,3,78.4502,875,4,40.0,0
T0,77,392.59,3,79.6415,866,10,41.0,0
T0,78,397.62,3,80.7951,866,5,39.0,0
T0,79,402.65,3,82.0021,866,12,39.0,0
T0,80,407.67,3,83.064,866,4,50.0,0
T0,81,412.7,3,84.0224,866,9,50.0,0
T0,82,417.74,3,84.5553,866,8,69.0,0
T0,83,422.76,3,84.974,866,3,74.0,0
T0,84,427.78,3,85.4893,866,4,67.0,0
T0,85,432.81,3,86.0818,866,2,65.0,0
T0,86,437.83,3,86.7063,866,3,67.0,0
T0,87,442.84,3,87.5047,866,7,55.0,0
T0,88,447.88,3,88.3236,866,6,56.0,0
T0,89,452.9,3,89.3078,866,4,46.0,0
T0,90,457.92,3,90.2298,866,9,42.0,0
T0,91,462.95,3,91.2849,866,7,42.0,0
T0,92,467.98,3,92.2859,866,5,43.0,0
T0,93,473.01,3,93.2575,866,7,43.0,0
T0,94,478.03,3,93.8867,866,5,63.0,0
T0,95,483.04,3,94.4464,866,9,65.0,0
T0,96,488.07,3,95.0412,866,4,66.0,0
T0,97,493.08,3,95.5715,866,4,67.0,0
T0,98,498.11,3,96.1482,866,2,65.0,0
T0,99,503.14,3,96.793,866,6,66.0,0
T0,100,508.16,3,97.4617,866,4,64.0,0
T0,101,513.19,3,98.0391,866,2,67.0,0
T0,102,518.22,3,98.4937,866,5,64.0,0
T0,103,523.24,3,98.9515,866,3,65.0,0
T0,104,528.27,3,99.4723,866,2,45.0,0
T0,105,533.3,3,99.7277,866,3,26.0,0
T0,106,538.31,3,99.9497,866,0,19.0,0
T64,0,5.0,0,2.0449,0,5,47.0,0
T64,1,10.04,0,3.5515,0,7,70.0,0
T64,2,15.11,0,5.2224,0,8,56.0,0
T64,3,20.14,0,6.9769,0,12,46.0,0
T64,4,25.18,0,8.82,0,14,43.0,0
T64,5,30.22,0,10.597,0,18,44.0,0
T64,6,35.26,0,12.1584,0,17,62.0,0
T64,7,40.3,0,13.4765,1,13,1122.0,0
T64,8,45.35,0,14.9401,122,11,77.0,0
T64,9,50.38,1,16.3267,92,16,47.0,0
T64,10,55.42,1,17.4747,108,15,72.0,0
T64,11,60.45,1,18.8024,96,18,37.0,0
T64,12,65.48,1,19.9483,111,18,64.0,0
T64,13,70.5,1,20.9796,125,19,273.0,0
T64,14,75.54,1,22.2859,104,11,40.0,0
T64,15,80.57,1,23.5791,75,17,41.0,0
T64,16,85.59,1,24.3654,75,18,1162.0,0
T64,17,90.61,1,24.7667,111,15,2216.0,0
T64,18,95.63,1,25.3761,77,16,1204.0,0
T64,19,100.65,1,26.4634,123,9,152.0,0
T64,20,105.68,1,27.7763,106,9,43.0,0
T64,21,110.71,1,29.0743,145,17,40.0,0
T64,22,115.74,1,30.1839,72,16,113.0,0
T64,23,120.77,1,31.2798,58,15,87.0,0
T64,24,125.8,1,32.5594,89,16,40.0,0
T64,25,130.83,1,33.756,135,18,40.0,0
T64,26,135.87,1,34.691,89,20,1137.0,1
T64,27,140.9,1,35.5369,127,15,1241.0,0
T64,28,145.92,1,36.7599,120,10,44.0,0
T64,29,150.97,1,37.9783,116,14,42.0,0
T64,30,156.0,1,38.8911,57,18,43.0,0
T64,31,161.04,2,39.6379,34,18,40.0,0
T64,32,166.06,2,40.5807,34,19,35.0,0
T64,33,171.12,2,41.6329,34,14,38.0,0
T64,34,176.17,2,42.7353,34,14,34.0,0
T64,35,181.22,2,43.8026,34,16,33.0,0
T64,36,186.26,2,44.8841,34,14,33.0,0
T64,37,191.3,2,45.9372,34,17,33.0,0
T64,38,196.35,2,47.0497,34,8,33.0,0
T64,39,201.39,2,48.1455,34,14,34.0,0
T64,40,206.43,2,49.1767,34,11,36.0,0
T64,41,211.47,2,50.2583,34,13,35.0,0
T64,42,216.52,2,51.2439,34,15,36.0,0
T64,43,221.56,2,52.3066,34,11,36.0,0
T64,44,226.68,2,53.2745,34,11,37.0,0
T64,45,231.74,2,54.3363,34,14,34.0,0
T64,46,236.79,2,55.3491,34,14,33.0,0
T64,47,241.83,2,56.3932,34,14,33.0,0
T64,48,246.88,2,57.4655,34,10,33.0,0
T64,49,251.92,2,58.471,34,12,38.0,0
T64,50,256.96,2,59.3857,34,14,38.0,0
T64,51,262.0,2,60.3722,34,15,36.0,0
T64,52,267.05,2,61.2956,34,17,36.0,0
T64,53,272.09,2,62.1059,34,17,54.0,0
T64,54,277.13,2,63.0571,34,14,39.0,0
T64,55,282.17,2,64.0655,34,13,37.0,0
T64,56,287.21,2,65.1026,34,16,34.0,0
T64,57,292.25,2,66.1461,34,16,33.0,0
T64,58,297.3,2,67.1735,34,16,33.0,0
T64,59,302.34,2,68.0049,147,17,94.0,0
T64,60,307.37,2,68.5627,257,18,1433.0,0
T64,61,312.39,2,68.8561,251,15,2390.0,0
T64,62,317.41,2,69.2015,186,18,2302.0,0
T64,63,322.43,2,69.5108,148,21,2379.0,1
T64,64,327.45,2,69.7159,66,21,3541.0,1
T64,65,332.48,2,69.836,54,20,6568.0,1
T64,66,337.49,2,70.0789,156,12,4657.0,0
T64,67,342.52,2,70.2747,184,15,3490.0,0
T64,68,347.54,2,70.457,117,23,2459.0,1
T64,69,352.57,2,70.5378,127,21,4678.0,1
T64,70,357.57,2,70.578,61,28,4877.0,1
T64,71,362.57,2,70.7187,248,19,4803.0,0
T64,72,367.59,2,70.8701,232,16,3451.0,0
T64,73,372.61,2,71.0762,252,7,2447.0,0
T64,74,377.64,2,71.3208,252,9,77.0,0
T64,75,382.65,2,71.4523,145,7,198.0,0
T64,76,387.65,3,71.9226,175,8,57.0,0
T64,77,392.69,3,73.1419,160,5,43.0,0
T64,78,397.72,3,74.3269,172,13,41.0,0
T64,79,402.75,3,75.3743,130,20,45.0,1
T64,80,407.79,3,76.1384,167,7,2158.0,0
T64,81,412.85,3,77.4439,147,11,38.0,0
T64,82,417.91,3,78.6991,89,11,34.0,0
T64,83,422.95,3,80.0354,89,8,35.0,0
T64,84,428.04,3,81.292,89,11,35.0,0
T64,85,433.08,3,82.5753,89,4,34.0,0
T64,86,438.11,3,83.9578,89,11,33.0,0
T64,87,443.15,3,85.1579,89,11,37.0,0
T64,88,448.18,3,86.4525,89,5,33.0,0
T64,89,453.22,3,87.7774,89,9,34.0,0
T64,90,458.25,3,89.1544,89,10,32.0,0
T64,91,463.29,3,90.4437,89,6,33.0,0
T64,92,468.32,3,91.837,89,10,33.0,0
T64,93,473.36,3,93.1009,89,16,32.0,0
T64,94,478.4,3,94.3485,89,13,33.0,0
T64,95,483.43,3,95.5718,89,9,34.0,0
T64,96,488.47,3,96.7735,89,15,35.0,0
T64,97,493.52,3,98.0067,89,13,33.0,0
T64,98,498.56,3,99.2068,89,13,32.0,0
T64,99,503.6,3,99.8798,89,5,30.0,0
