config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,1,1,False,3,2026-09-07 22:32:27.749575,1788791547749575,Memtable Max Range Deletions,512,512,5894886,713259,foreground
Native-T512,1,2,False,4,2026-09-07 22:32:27.752648,1788791547752648,Memtable Max Range Deletions,515,1027,238408,52571,foreground
Native-T512,1,3,False,7,2026-09-07 22:32:27.772436,1788791547772436,Memtable Max Range Deletions,513,1540,238041,52150,foreground
Native-T512,1,4,False,8,2026-09-07 22:32:27.789104,1788791547789104,Memtable Max Range Deletions,513,2053,238041,52251,foreground
Native-T512,1,5,False,9,2026-09-07 22:32:27.809590,1788791547809590,Memtable Max Range Deletions,513,2566,241437,52871,foreground
Native-T512,1,6,False,11,2026-09-07 22:32:27.832709,1788791547832709,Memtable Max Range Deletions,512,3078,243659,52984,foreground
Native-T512,1,7,False,12,2026-09-07 22:32:27.852325,1788791547852325,Memtable Max Range Deletions,513,3591,241720,52724,foreground
Native-T512,1,8,False,13,2026-09-07 22:32:27.864190,1788791547864190,Memtable Max Range Deletions,513,4104,244267,53247,foreground
Native-T512,1,9,False,15,2026-09-07 22:32:27.892419,1788791547892419,Memtable Max Range Deletions,514,4618,245158,53410,foreground
Native-T512,1,10,False,18,2026-09-07 22:32:27.917058,1788791547917058,Memtable Max Range Deletions,513,5131,236909,52232,foreground
Native-T512,1,11,False,19,2026-09-07 22:32:27.935534,1788791547935534,Memtable Max Range Deletions,512,5643,248470,53714,foreground
Native-T512,1,12,False,21,2026-09-07 22:32:27.949417,1788791547949417,Memtable Max Range Deletions,512,6155,245640,53215,foreground
Native-T512,1,13,False,25,2026-09-07 22:32:27.987107,1788791547987107,Memtable Max Range Deletions,513,6668,240305,52723,foreground
Native-T512,1,14,False,27,2026-09-07 22:32:28.036807,1788791548036807,Memtable Max Range Deletions,512,7180,245923,53271,foreground
Native-T512,1,15,False,29,2026-09-07 22:32:28.076317,1788791548076317,Memtable Max Range Deletions,513,7693,227853,51297,foreground
