config_name,rep,num_flushes,flushed_range_deletions,final_active_generation_range_deletions,total_reconciled_range_deletions,avg_range_deletions_per_flush,total_overshoot_range_deletions,avg_overshoot_per_flush,total_flush_sst_bytes,json_three_window_flush_bytes
Native-T512,1,39,19995,5,20000,512.692,27,0.692,2709104,1604827
Native-T512,2,39,19985,15,20000,512.436,17,0.436,2709213,1605342
Native-T512,3,39,19984,16,20000,512.410,16,0.410,2707493,1604039
Native-T512,4,39,19982,18,20000,512.359,14,0.359,2708945,1605240
Native-T512,5,39,19979,21,20000,512.282,11,0.282,2709535,1605870
AMTV-T512,1,38,19509,491,20000,513.395,53,1.395,2656840,1578585
AMTV-T512,2,38,19510,490,20000,513.421,54,1.421,2661584,1583152
AMTV-T512,3,38,19507,493,20000,513.342,51,1.342,2660978,1582681
AMTV-T512,4,38,19512,488,20000,513.474,56,1.474,2661693,1582984
AMTV-T512,5,38,19517,483,20000,513.605,61,1.605,2660340,1581422
