config_name,rep,w1_flush_bytes,w2_flush_bytes,w3_flush_bytes,total_flush_bytes,w1_compaction_read_bytes,w2_compaction_read_bytes,w3_compaction_read_bytes,total_compaction_read_bytes,w1_compaction_write_bytes,w2_compaction_write_bytes,w3_compaction_write_bytes,total_compaction_write_bytes,total_engine_output_bytes,put_value_bytes,pwa_fg,pwa_cooldown,pwa_drain,pwa_total,identity_check_passed,b0_l0_files,b1_l0_files,b2_l0_files,b3_l0_files,b0_pending_compaction_bytes,b1_pending_compaction_bytes,b2_pending_compaction_bytes,b3_pending_compaction_bytes,b2_running_flushes,b2_running_compactions,b3_running_flushes,b3_running_compactions,post_measurement_teardown_flush_bytes,post_measurement_teardown_compaction_write_bytes,post_measurement_teardown_output
Native-T0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native-T0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native-T0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native-T0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native-T0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native-T512,1,1604827,0,0,1604827,39723660,9741970,0,49465630,34454160,8597985,0,43052145,44656972,15360000,2.34759,0.55976,0.00000,2.90735,True,0,0,0,0,0,467695,0,0,0,0,0,0,0,0,0
Native-T512,2,1605342,0,0,1605342,39899684,10235670,0,50135354,35120799,8605754,0,43726553,45331895,15360000,2.39102,0.56027,0.00000,2.95130,True,0,0,0,0,0,619032,0,0,0,0,0,0,0,0,0
Native-T512,3,1604039,0,0,1604039,39896986,10225978,0,50122964,35112622,8601033,0,43713655,45317694,15360000,2.39041,0.55996,0.00000,2.95037,True,0,0,0,0,0,614336,0,0,0,0,0,0,0,0,0
Native-T512,4,1605240,0,0,1605240,49952642,9638553,0,59591195,44527682,8489989,0,53017671,54622911,15360000,3.00345,0.55273,0.00000,3.55618,True,0,0,0,0,0,415737,0,0,0,0,0,0,0,0,0
Native-T512,5,1605870,0,0,1605870,50022366,9747847,0,59770213,44756462,8604548,0,53361010,54966880,15360000,3.01838,0.56019,0.00000,3.57857,True,0,0,0,0,0,463767,0,0,0,0,0,0,0,0,0
AMTV-T0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15360000,0.00000,0.00000,0.00000,0.00000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T512,1,1578585,0,0,1578585,28939110,10993996,0,39933106,25278855,9376452,0,34655307,36233892,15360000,1.74853,0.61045,0.00000,2.35898,True,0,0,0,0,0,922136,0,0,0,0,0,0,0,0,0
AMTV-T512,2,1583152,0,0,1583152,29396294,11298881,0,40695175,25730331,8709049,0,34439380,36022532,15360000,1.77822,0.56700,0.00000,2.34522,True,0,0,0,0,0,918420,0,0,0,0,0,0,0,0,0
AMTV-T512,3,1582681,0,0,1582681,29397414,11294124,0,40691538,25727503,8707673,0,34435176,36017857,15360000,1.77801,0.56691,0.00000,2.34491,True,0,0,0,0,0,917236,0,0,0,0,0,0,0,0,0
AMTV-T512,4,1582984,0,0,1582984,40268574,0,0,40268574,34989552,0,0,34989552,36572536,15360000,2.38102,0.00000,0.00000,2.38102,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTV-T512,5,1581422,0,0,1581422,40880852,0,0,40880852,35113767,0,0,35113767,36695189,15360000,2.38901,0.00000,0.00000,2.38901,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
