rep,seed,config_name,total_delete_range,total_put,total_get,manifest_sha256,read_projection_sha256,write_projection_sha256,delete_range_geometry_sha256,state_sha256,warmup_ops,warmup_type
1,310001,Native-T0,20000,60000,220000,1bfe74894415f46b7cdf2ca4290bffc15a11e572ce4b75022cbf18c02d114490,d97f8ba604c6448c8e72303e6745e62060c447ed47f689aee1726a1b13abb7da,052be229597fb36a7c8fe77a3d01a1f86211e3f3f0d7a2e6d1f27d877814ab7e,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,2711b1fa896bc13c30420a16e8649c09c49310d3341a0cd2363b7e4b09d47ab3,10000,Deterministic Read-Only GetLive
1,310001,Native-T512,20000,60000,220000,1bfe74894415f46b7cdf2ca4290bffc15a11e572ce4b75022cbf18c02d114490,d97f8ba604c6448c8e72303e6745e62060c447ed47f689aee1726a1b13abb7da,052be229597fb36a7c8fe77a3d01a1f86211e3f3f0d7a2e6d1f27d877814ab7e,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,2711b1fa896bc13c30420a16e8649c09c49310d3341a0cd2363b7e4b09d47ab3,10000,Deterministic Read-Only GetLive
1,310001,AMTV-T0,20000,60000,220000,1bfe74894415f46b7cdf2ca4290bffc15a11e572ce4b75022cbf18c02d114490,d97f8ba604c6448c8e72303e6745e62060c447ed47f689aee1726a1b13abb7da,052be229597fb36a7c8fe77a3d01a1f86211e3f3f0d7a2e6d1f27d877814ab7e,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,2711b1fa896bc13c30420a16e8649c09c49310d3341a0cd2363b7e4b09d47ab3,10000,Deterministic Read-Only GetLive
1,310001,AMTV-T512,20000,60000,220000,1bfe74894415f46b7cdf2ca4290bffc15a11e572ce4b75022cbf18c02d114490,d97f8ba604c6448c8e72303e6745e62060c447ed47f689aee1726a1b13abb7da,052be229597fb36a7c8fe77a3d01a1f86211e3f3f0d7a2e6d1f27d877814ab7e,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,2711b1fa896bc13c30420a16e8649c09c49310d3341a0cd2363b7e4b09d47ab3,10000,Deterministic Read-Only GetLive
2,320001,Native-T0,20000,60000,220000,747dd493c348bf7a1c7879187c42d0e2c636bed6ae6bc4f2b2a6c47abc507bb8,bf8b820c74dbb89af40b3c90b9b4d33feafa2699418cdd3c0b241215380f0e6c,bbca8465db54230956c7668ef55059ab0c13fc4060e47672732902720c774258,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,535e02cf6cff78be0a710e1947993a7b8fa422b2f1cc573f799a88a3f5e72b19,10000,Deterministic Read-Only GetLive
2,320001,Native-T512,20000,60000,220000,747dd493c348bf7a1c7879187c42d0e2c636bed6ae6bc4f2b2a6c47abc507bb8,bf8b820c74dbb89af40b3c90b9b4d33feafa2699418cdd3c0b241215380f0e6c,bbca8465db54230956c7668ef55059ab0c13fc4060e47672732902720c774258,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,535e02cf6cff78be0a710e1947993a7b8fa422b2f1cc573f799a88a3f5e72b19,10000,Deterministic Read-Only GetLive
2,320001,AMTV-T0,20000,60000,220000,747dd493c348bf7a1c7879187c42d0e2c636bed6ae6bc4f2b2a6c47abc507bb8,bf8b820c74dbb89af40b3c90b9b4d33feafa2699418cdd3c0b241215380f0e6c,bbca8465db54230956c7668ef55059ab0c13fc4060e47672732902720c774258,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,535e02cf6cff78be0a710e1947993a7b8fa422b2f1cc573f799a88a3f5e72b19,10000,Deterministic Read-Only GetLive
2,320001,AMTV-T512,20000,60000,220000,747dd493c348bf7a1c7879187c42d0e2c636bed6ae6bc4f2b2a6c47abc507bb8,bf8b820c74dbb89af40b3c90b9b4d33feafa2699418cdd3c0b241215380f0e6c,bbca8465db54230956c7668ef55059ab0c13fc4060e47672732902720c774258,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,535e02cf6cff78be0a710e1947993a7b8fa422b2f1cc573f799a88a3f5e72b19,10000,Deterministic Read-Only GetLive
3,330001,Native-T0,20000,60000,220000,f780e1bce5fd0f1c5eadb9c4f9acd7f0d2dc33c0e5f58c7a74eea1af69317a85,237cd899d6fe981cf4d0af50af4a5fda37d8e8c9efc1f92b3ebfc4f2a877b496,ec583534a06468ae44ea5a2a980fbe7d364bf744b89456b3db99af4fa1a0ec46,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,ca12f2b5bd03755d7e1456276c7371d97b582b837860113d153ce711fdd74cb3,10000,Deterministic Read-Only GetLive
3,330001,Native-T512,20000,60000,220000,f780e1bce5fd0f1c5eadb9c4f9acd7f0d2dc33c0e5f58c7a74eea1af69317a85,237cd899d6fe981cf4d0af50af4a5fda37d8e8c9efc1f92b3ebfc4f2a877b496,ec583534a06468ae44ea5a2a980fbe7d364bf744b89456b3db99af4fa1a0ec46,9aee91709d14c8cf4f175222d72c7b0213dc6088f795dc6675a3d4c63a1983bc,ca12f2b5bd03755d7e1456276c7371d97b582b837860113d153ce711fdd74cb3,10000,Deterministic Read-Only GetLive
