config_name,phase,op_type,p50_us_mean,p50_us_median,p95_us_mean,p95_us_median,p99_us_mean,p99_us_median,p999_us_mean,p999_us_median,max_us_mean,max_us_median
Native-T0,phase_a,GET,5.8705,5.8422,15.2234,15.0351,20.5769,19.6407,39.4359,38.7633,154.0774,146.9120
Native-T0,phase_b,GET,5679.2740,5685.0800,13960.6400,13963.7000,15270.2200,15246.1000,17115.1400,17023.6000,25518.6000,24911.8000
Native-T0,phase_c,GET,10.6036,10.7738,22.6124,22.6464,30.1924,30.0353,47.2666,46.6886,6784.2830,6499.0000
Native-T0,overall,GET,10.0903,10.0730,10286.3980,10338.9000,14140.9600,14133.9000,15546.7800,15516.3000,25518.6000,24911.8000
Native-T0,phase_a,PUT,9.6159,9.6957,16.6915,16.7880,23.1859,23.3855,65.2396,60.8799,208.4872,218.9990
Native-T0,phase_b,PUT,48.3838,48.3293,172.8008,172.6260,296.2350,299.4440,490.6066,489.7790,7565.5480,7420.6500
Native-T0,phase_c,PUT,16.5877,16.9311,34.5676,35.0964,45.8256,46.7735,69.1479,65.3131,137.0836,95.9870
Native-T0,overall,PUT,18.7579,18.8822,123.3452,123.9250,245.2354,248.4640,430.3970,428.6520,7565.5480,7420.6500
Native-T0,phase_b,DEL,107.2972,107.7380,256.4732,256.2620,404.5596,400.0420,981.3626,817.2750,7508.3140,7365.1600
Native-T0,overall,DEL,107.2972,107.7380,256.4732,256.2620,404.5596,400.0420,981.3626,817.2750,7508.3140,7365.1600
Native-T512,phase_a,GET,5.8522,5.8777,16.1415,16.7576,21.7384,22.1175,39.1142,38.5058,138.7360,127.2830
Native-T512,phase_b,GET,127.3722,134.2440,395.8642,396.9030,450.9760,453.2270,588.4732,552.8810,8819.6440,10729.9000
Native-T512,phase_c,GET,9.9632,9.9336,35.2312,35.0327,46.5555,46.0982,69.1175,67.6493,414.6908,334.6610
Native-T512,overall,GET,9.5364,9.5673,259.9888,258.4450,402.2776,403.4500,474.3418,470.5780,8819.6440,10729.9000
Native-T512,phase_a,PUT,9.7735,9.7665,17.1842,17.4202,23.8126,23.7281,87.8549,94.5206,221.1908,234.6410
Native-T512,phase_b,PUT,51.9488,50.0580,264.1566,256.8840,651.8846,442.3740,1339.0800,1313.4700,3640.5420,1614.9800
Native-T512,phase_c,PUT,13.1450,13.3757,31.7310,31.7380,45.0033,44.9671,67.0779,67.1999,105.9436,97.0130
Native-T512,overall,PUT,16.6289,16.6765,197.5868,194.6300,495.2522,348.2110,1271.8540,1257.4000,3640.5420,1614.9800
Native-T512,phase_b,DEL,93.1004,92.5932,351.5028,332.3370,834.8924,605.4880,1552.1500,1354.7000,3543.7680,1569.3400
Native-T512,overall,DEL,93.1004,92.5932,351.5028,332.3370,834.8924,605.4880,1552.1500,1354.7000,3543.7680,1569.3400
AMTV-T0,phase_a,GET,5.9974,6.0146,15.8797,15.9936,21.3447,21.6141,39.5626,40.0042,149.0334,130.8670
AMTV-T0,phase_b,GET,7.7737,7.7249,11.6198,11.5864,15.4475,15.2923,25.2823,25.2104,54.4482,56.7740
AMTV-T0,phase_c,GET,6.9849,6.9141,10.4535,10.5733,14.4936,14.5599,22.7142,22.6327,57.1958,43.2520
AMTV-T0,overall,GET,6.8042,6.7690,13.1702,13.1268,18.7803,19.0200,29.3402,29.6915,149.0334,130.8670
AMTV-T0,phase_a,PUT,9.7175,9.7665,17.1066,17.0236,24.8943,24.6067,90.3588,89.8299,231.1092,176.2610
AMTV-T0,phase_b,PUT,96.4719,96.2545,199.0414,197.3620,246.4702,243.2500,309.7498,307.1630,862.6990,882.1970
AMTV-T0,phase_c,PUT,7.8912,7.7719,15.1135,15.0807,20.0302,20.1226,81.3359,49.0967,150.4106,222.6430
AMTV-T0,overall,PUT,16.8016,16.8798,173.9064,173.7800,226.4044,223.6010,289.9762,286.3140,862.6990,882.1970
AMTV-T0,phase_b,DEL,128.2690,127.9690,235.2436,232.7240,283.2630,281.4970,353.9442,346.5270,894.8550,982.4150
AMTV-T0,overall,DEL,128.2690,127.9690,235.2436,232.7240,283.2630,281.4970,353.9442,346.5270,894.8550,982.4150
AMTV-T512,phase_a,GET,5.9588,5.9602,15.9128,15.8106,21.1567,21.2376,37.9301,37.8810,145.0712,125.6750
AMTV-T512,phase_b,GET,14.5156,14.2543,52.1728,53.1206,71.7165,76.9690,152.1538,158.2970,5750.1456,6083.4500
AMTV-T512,phase_c,GET,10.9540,10.8458,32.4848,36.2638,45.2166,50.0884,66.7260,70.7088,272.4780,288.3900
AMTV-T512,overall,GET,9.3971,9.5441,35.6690,35.3526,55.8911,58.3870,86.0470,93.6086,5750.1456,6083.4500
AMTV-T512,phase_a,PUT,9.7965,9.8556,17.1026,17.4202,23.0150,23.5705,71.3765,66.2698,195.1498,162.3260
AMTV-T512,phase_b,PUT,125.8882,125.5120,423.4936,450.2160,1231.7680,1222.1000,1518.4880,1532.0200,9813.2420,9916.7400
AMTV-T512,phase_c,PUT,12.1398,11.8850,26.9647,27.3427,38.1505,39.2122,54.1748,54.6883,80.9396,87.5090
AMTV-T512,overall,PUT,21.9323,21.4965,314.2960,305.1220,1017.4524,1107.1600,1432.0480,1435.8400,9813.2420,9916.7400
AMTV-T512,phase_b,DEL,170.8288,169.0030,498.5568,525.4440,1294.8940,1292.1600,1677.4200,1640.5900,8163.6000,9201.5100
AMTV-T512,overall,DEL,170.8288,169.0030,498.5568,525.4440,1294.8940,1292.1600,1677.4200,1640.5900,8163.6000,9201.5100
