pair,metric,mean,std,median,iqr,ci95_low,ci95_high
T0_Pair,"Phase B Duration Diff (s, Native - AMTV)",38.1670,0.2974,38.2456,0.1810,37.9013,38.3516
T0_Pair,Phase B Duration Ratio (Native / AMTV),50.4663,0.9083,50.5123,0.2646,49.6784,51.1811
T0_Pair,Phase B IOPS Ratio (AMTV / Native),50.4663,0.9083,50.5123,0.2646,49.6784,51.1811
T0_Pair,"Foreground Duration Diff (s, Native - AMTV)",38.2565,0.2955,38.3624,0.1858,37.9937,38.4370
T0_Pair,Foreground Duration Ratio (Native / AMTV),39.6690,0.5731,39.8620,0.4965,39.1637,40.0443
T0_Pair,Overall IOPS Ratio (AMTV / Native),39.6690,0.5730,39.8620,0.4965,39.1637,40.0442
T0_Pair,GetLive P50 Ratio (Native / AMTV),1.4829,0.0973,1.4827,0.0708,1.4062,1.5633
T0_Pair,GetLive P95 Ratio (Native / AMTV),781.0148,9.8448,783.3370,9.4878,772.6361,787.9094
T0_Pair,GetLive P99 Ratio (Native / AMTV),753.6213,26.0345,740.4101,37.1824,734.1861,774.1877
T0_Pair,Phase B GetLive P99 Ratio (Native / AMTV),989.3590,33.1752,995.1675,57.2773,963.2586,1015.4595
T0_Pair,Three-Window Write Amp Diff (Native - AMTV),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
T0_Pair,"User CPU Diff (s, Native - AMTV)",133.5329,1.8347,134.2167,0.9929,131.8932,134.6171
T512_Pair,"Phase B Duration Diff (s, Native - AMTV)",0.4417,0.1838,0.3396,0.0947,0.3372,0.6107
T512_Pair,Phase B Duration Ratio (Native / AMTV),1.3293,0.1584,1.2510,0.1003,1.2342,1.4734
T512_Pair,Phase B IOPS Ratio (AMTV / Native),1.3293,0.1584,1.2510,0.1003,1.2342,1.4734
T512_Pair,"Foreground Duration Diff (s, Native - AMTV)",0.4534,0.1924,0.3461,0.1195,0.3388,0.6290
T512_Pair,Foreground Duration Ratio (Native / AMTV),1.2753,0.1325,1.2082,0.1020,1.1930,1.3956
T512_Pair,Overall IOPS Ratio (AMTV / Native),1.2753,0.1325,1.2082,0.1020,1.1930,1.3956
T512_Pair,GetLive P50 Ratio (Native / AMTV),1.0171,0.0508,1.0067,0.0340,0.9842,1.0621
T512_Pair,GetLive P95 Ratio (Native / AMTV),7.3804,1.1037,6.9688,1.7845,6.5288,8.2349
T512_Pair,GetLive P99 Ratio (Native / AMTV),7.3352,1.1782,6.6149,1.6800,6.4791,8.3288
T512_Pair,Phase B GetLive P99 Ratio (Native / AMTV),6.4035,0.9888,5.7474,1.5001,5.6839,7.2187
T512_Pair,Three-Window Write Amp Diff (Native - AMTV),0.8249,0.3272,0.6061,0.5697,0.5827,1.0699
T512_Pair,"User CPU Diff (s, Native - AMTV)",2.5816,0.7092,2.4351,0.3438,2.1446,3.2101
