config_name,phase,duration_mean_sec,duration_std_sec,duration_median_sec,duration_iqr_sec,iops_mean,iops_std,iops_median,iops_iqr
Native-T0,A,0.1109,0.0083,0.1072,0.0036,905519.4450,61911.1961,932696.6124,30871.0587
Native-T0,B,38.9388,0.3037,39.0160,0.2050,2568.2612,20.1972,2563.0511,13.4444
Native-T0,C,0.1960,0.0092,0.1957,0.0098,511206.7140,24313.3658,511095.8918,25331.9323
Native-T512,A,0.1168,0.0107,0.1163,0.0150,862157.5369,78306.1555,859549.5960,112194.6125
Native-T512,B,1.8117,0.1362,1.7945,0.1000,55436.4914,3999.8243,55724.8973,3139.8985
Native-T512,C,0.2036,0.0072,0.2050,0.0064,491582.2847,17835.8645,487771.5668,15184.3463
AMTV-T0,A,0.1110,0.0041,0.1096,0.0068,902119.7442,32621.1380,912650.2450,54954.5306
AMTV-T0,B,0.7718,0.0155,0.7704,0.0124,129610.9408,2559.6200,129807.2492,2112.6552
AMTV-T0,C,0.1064,0.0111,0.1033,0.0150,947346.0457,94729.0520,967735.6920,136116.8735
AMTV-T512,A,0.1143,0.0102,0.1119,0.0088,880301.6534,74524.6472,893407.5457,69911.6524
AMTV-T512,B,1.3700,0.1003,1.3320,0.1539,73300.7680,5273.5164,75077.3296,8121.0090
AMTV-T512,C,0.1944,0.0230,0.2050,0.0119,521308.2998,72034.9637,487788.2219,29419.5537
