exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,1,1.0003,32872,13.0927,207,105.258,1913.65,2130.62,368,210.982,1852.65,2122.53,7220,171.509,1922.74,2167.12,5210,266.661,2068.16,2325.98,78.8762,7.65582,17386,24.039,102.062,162.756,2515,58.67,158.542,213.49,32906,32906,6.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,23195,22322,50.959,0,2512,135.727
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,2,2.00358,44280,17.6364,67,2238.66,2906.92,4239.76,136,2141.78,3066.92,3649.02,2547,2179.01,2985.2,3230.83,1816,2311.89,3149.21,3390.92,55.9213,30.294,5881,52.007,138.685,225.952,927,106.011,194.617,286.765,11374,11374,8.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,11498,2124,84.4076,0,3442,137.399
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,3,3.00473,52579,20.9418,61,3309.91,3938.81,7678.82,95,3158.34,3744.11,3850.38,1848,3184.82,3833.84,4037.25,1308,3317.53,4018.7,4204.59,47.7836,49.3528,4273,52.501,148.341,266.202,719,105.087,226.491,351.163,8304,8304,9.00202,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,8263,992,89.2815,0,4159,138.622
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,4,4.00596,60025,23.9075,57,3361.24,4615.82,4804.57,88,3891.82,4526.55,4722.45,1683,3884.49,4513.27,4665.06,1193,4077.32,4694.65,4884.32,42.8927,61.7385,3802,54.505,149.313,228.023,618,105,216.234,316.033,7441,7441,10.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,7669,628,92.431,0,4779,139.702
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,5,5.00822,66958,26.6688,47,4734.39,5447.65,5539.26,81,4465,5241.01,5905.24,1443,4552.61,5233.87,5616.21,1127,4662.39,5410.69,5831.19,39.3656,72.5983,3719,56.072,152.244,274.219,518,106.84,248.143,307.219,6935,6935,11.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,7137,459,93.9573,0,5295,140.758
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,6,6.01006,72370,28.8244,31,2122.46,5814.64,5817.52,61,5199.32,10315.3,10571.2,1146,5254.9,10124.6,10615.7,882,5269.77,9667.31,10795.5,36.678,96.7299,2879,61.502,188.512,293.566,411,125.088,260.868,314.586,5410,5410,12.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,5684,321,94.6545,0,5708,141.572
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,7,7.01149,77671,30.9357,28,22.411,6230.62,6323.5,69,4497.24,10798.4,11573,1159,3781.82,10606.5,11203.9,809,4856.15,10911.7,11453.3,32.9481,119.772,2799,55.844,200.43,296.217,437,122.382,302.001,380.152,5301,5301,13.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,5132,230,95.7106,0,6145,142.369
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,8,8.01287,82854,33.0001,26,1569.06,6979.85,12491.9,71,1578.61,7613.45,12632.8,1186,1730.38,10379.2,12566.4,802,2688.35,11609.3,12871.1,32.9913,119.555,2666,55.401,211.389,350.755,432,130.269,327.887,385.165,5183,5183,14.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,5302,226,95.9117,0,6577,143.127
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,9,9.01432,87280,34.7629,31,1970.18,8028.63,8747.06,48,1832.59,11108,13560.1,1039,4465.6,12319.5,13293,666,5716.01,13147.7,13635.8,28.9399,161.233,2281,56.468,185.87,317.526,361,123.674,291.515,461.867,4426,4426,14.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,4359,186,95.9076,0,6938,143.778
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,10,10.0156,91907,36.6058,24,1900.88,13867.7,14544.8,49,1896.29,14033.4,14323,1002,2146.67,13397,14510.7,749,3443.77,13528.1,14788.8,27.506,163.882,2408,47.13,170.644,275.576,395,108.136,256.043,330.919,4627,4627,15.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,4841,160,96.8006,0,7333,144.467
