exp_id,group_name,desc,value_size,memtable_max_range_deletions,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_count,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_aff_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio_pct,block_cache_hits,block_cache_misses,block_cache_hit_rate,flush_count_total,flush_reason_range_del_count,flush_write_mb,compaction_read_mb,compaction_write_mb,stall_micros,compaction_drop_keys,write_amplification,l0_files_final,l1_files_final,l2_files_final,pending_compact_mb,total_sst_mb,sha256_checksum,sample_verified_ok,sample_verified_notfound,full_scan_ok
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=0)",256,0,124.2,300000,2415.47,70000,50.723,156.963,256.919,61.9053,5042,38.817,25122.4,33054.9,4608.17,142952,19.051,24666.2,33093.3,4613.49,2006,25.828,25630.3,33293.9,4700.33,60000,483.093,11192,23.1674,242.563,25251.5,33264.1,4872.88,210.334,20000,116.496,261.595,370.011,129.614,20000,476683,95.3366,525679,31720,94.3093,0,0,0,0,0,0,0,0,0,0,0,0,130,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0000_r02,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=0)",256,0,131.48,300000,2281.72,70000,53.557,169.968,269.814,65.8011,5042,40.074,25920.2,33516.8,4774.76,142952,19.812,25938.3,33654.4,4898.63,2006,24.471,26190.4,34490.6,4981.7,60000,456.344,10572.4,23.1675,254.324,26422.1,33913.3,5132.86,221.554,20000,120.477,278.446,398.822,135.22,20000,476683,95.3366,525093,31743,94.2994,0,0,0,0,0,0,0,0,0,0,0,0,130,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0000_r03,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=0)",256,0,118.521,300000,2531.19,70000,47.47,156.088,260.119,60.0346,5042,38.426,24016.8,32921.6,4242.9,142952,19.658,23897,33406.9,4413.69,2006,24.695,24112.5,32855.9,4277.65,60000,506.239,11728.6,23.1681,243.02,24245,33674.8,4637.35,200.161,20000,117.09,276.521,400.524,133.249,20000,476683,95.3366,525252,31732,94.3029,0,0,0,0,0,0,0,0,0,0,0,0,130,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0064_r01,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=64)",256,64,6.04373,300000,49638.2,70000,44.046,337.741,3510.45,235.459,5042,26.947,76.668,110.515,32.9663,142952,14.809,64.466,98.463,22.5857,2006,20.32,69.896,100.718,28.1517,60000,9927.65,230041,23.1718,103.995,279.921,374.841,125.277,5.40643,20000,106.87,3452.65,22067.5,931.181,20000,476683,95.3366,545220,303601,64.2326,310,310,19,697,938,3482566,533975,54.938,0,0,0,0,6,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0064_r02,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=64)",256,64,6.08813,300000,49276.2,70000,39.317,215.329,2811.72,232.53,5042,26.934,78.133,110.421,32.9246,142952,15.064,63.329,93.531,21.7905,2006,21.012,69.529,107.8,28.1048,60000,9855.24,228362,23.1716,103.122,258.905,347.472,117.536,5.07242,20000,103.035,2291.03,27977.8,984.916,20000,476683,95.3366,532653,306551,63.4712,310,310,19,701,962,3654386,533719,56.3324,0,0,0,0,6,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0064_r03,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=64)",256,64,5.93431,300000,50553.5,70000,44.212,275.238,2565,215.334,5042,28.859,82.963,119.807,35.4173,142952,15.689,67.596,101.409,24.0467,2006,22.796,74.76,102.82,30.1776,60000,10110.7,234264,23.17,110.089,283.262,382.747,129.984,5.61003,20000,112.361,2452.59,22575.4,926.937,20000,476683,95.3366,539364,293429,64.7657,310,310,19,658,903,3278878,535248,52.8386,0,0,0,0,6,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0256_r01,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=256)",256,256,2.40429,300000,124777,70000,28.039,101.675,922.667,63.1263,5042,16.741,99.21,158.716,31.2328,142952,10.127,91.423,152.884,25.9614,2006,14.286,88.591,156.034,28.665,60000,24955.4,578229,23.1705,74.827,231.72,362.047,93.8948,4.05234,20000,65.257,1111.57,2522.77,188.709,20000,476683,95.3366,531343,116869,81.9706,78,78,18,177,275,496986,530568,16.0963,0,0,0,0,6,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0256_r02,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=256)",256,256,2.6871,300000,111645,70000,28.05,103.788,1161.02,72.9353,5042,18.181,97.735,167.802,31.929,142952,10.386,91.806,162.932,26.6417,2006,15.576,91.356,157.467,29.6386,60000,22328.9,517346,23.1693,75.855,243.351,365.06,96.6619,4.17198,20000,66.853,1279.78,3755.56,251.685,20000,476683,95.3366,531006,120613,81.4903,78,78,18,185,289,729612,529062,16.9223,0,0,0,0,7,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t0256_r03,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=256)",256,256,2.43648,300000,123128,70000,27.93,100.84,559.561,61.7146,5042,19.075,101.988,168.031,34.0478,142952,10.691,94.588,157.49,27.5041,2006,16.992,92.051,154.757,30.9406,60000,24625.7,570538,23.1684,77.36,226.129,342.834,95.5442,4.1239,20000,65.622,748.068,3342.54,189.679,20000,476683,95.3366,519376,121880,80.9936,78,78,18,194,287,455634,529002,16.8066,0,0,0,0,7,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t2048_r01,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=2048)",256,2048,9.58889,300000,31286.2,70000,56.164,192.294,292.719,73.8997,5042,39.598,1419.49,1712.36,279.06,142952,21.775,1417.05,1736.21,281.105,2006,35.734,1355.28,1720.73,273.581,60000,6257.24,144972,23.1687,182.231,1564.39,1895.55,404.541,17.4607,20000,114.154,281.455,397.635,135.424,20000,476683,95.3366,351934,67296,83.9477,9,9,15,58,112,0,510701,6.59989,0,0,0,0,8,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t2048_r02,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=2048)",256,2048,10.0376,300000,29887.7,70000,57.706,196.716,302.065,76.5223,5042,40.128,1426.82,1732.55,291.661,142952,22.157,1432.88,1754.9,294.139,2006,37.114,1398.43,1689.91,288.166,60000,5977.54,138490,23.1683,189.111,1586.96,1909.11,424.773,18.3342,20000,119.832,296.672,407.572,143.682,20000,476683,95.3366,350197,67338,83.8725,9,9,15,58,112,0,510703,6.59989,0,0,0,0,8,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
b2_dynamic_t2048_r03,b2_dynamic_phase_mismatch,"B2 Dynamic 3-Phase Workload (Threshold T=2048)",256,2048,10.2392,300000,29299.1,70000,56.343,194.59,295.432,74.5325,5042,40.512,1433.98,1723.52,303.447,142952,22.861,1428.35,1733.49,302.092,2006,37.912,1420.12,1671.65,304.762,60000,5859.81,135758,23.1677,192.774,1573.58,1913.43,432.67,18.6756,20000,119.241,293.713,395.746,141.483,20000,476683,95.3366,349949,67133,83.9041,9,9,15,58,112,0,510701,6.59989,0,0,0,0,8,a8933fb3f5c5cb24e9b78766204afda2bd3cc3398ea7cea7f753a45e493e9965,467,9533,PASS
