exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,1,0.0355647,3000,1,30,28.319,113.915,128.842,62,20.224,109.278,133.727,1721,24.521,115.866,137.09,754,161.916,242.105,372.811,96.756,1.71165,127,14.166,93.42,165.366,315,39.031,104.802,183.624,3009,3009,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,1756,6650,20.8898,0,315,130.812
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,2,0.0727112,6000,2,35,75.976,193.557,205.319,63,52.952,205.946,229.317,1690,60.375,208.649,239.415,753,169.824,288.39,323.521,92.5365,1.84646,153,15.161,70.216,78.628,303,39.921,90.815,101.031,2997,2997,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,3120,5008,38.3858,0,616,130.87
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,3,0.123994,9000,3,28,177.752,316.349,381.998,69,81.249,316.48,462.293,1735,25.514,347.955,417.334,735,164.122,437.67,513.359,84.8517,2.50888,144,19.316,73.718,108.145,292,46.485,112.481,140.513,3003,3003,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,3859,3758,50.663,0,909,130.925
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,4,0.226274,12000,4,33,28.306,639.615,733.563,49,277.134,771.977,918.032,1715,144.593,806.932,959.32,775,240.06,930.664,1124.13,79.64,4.69986,139,31.78,134.021,209.453,286,74.235,173.156,220.559,2997,2997,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,4676,2976,61.1082,0,1195,130.978
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,5,0.38181,15000,5,21,34.507,1013.13,1013.77,58,291.54,1107.83,1252.93,1719,184.187,1123.02,1358.41,754,344.423,1263.34,1403.84,75.9682,7.3777,137,44.947,196.266,244.233,318,99.744,227.944,261.905,3007,3007,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5032,2232,69.2731,0,1510,131.032
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,6,0.610995,18000,6,21,460.016,1525.18,1749.94,69,344.65,1634.58,2638.06,1670,425.099,1583.68,2065.22,756,380.861,1724.36,2361.4,70.3796,10.9635,159,55.239,153.479,191.998,324,112.194,233.48,315.305,2999,2999,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5431,1682,76.3532,0,1836,131.093
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,7,0.849886,21000,7,24,462.861,1721.68,1896.81,48,45.725,1707.95,1857.84,1734,60.186,1815.53,2000.64,764,271.915,1918.19,2204.77,66.9149,11.9158,136,53.075,157.352,301.625,283,111.883,216.397,274.826,2989,2989,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5619,1341,80.7328,0,2121,131.145
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,8,1.12535,24000,8,20,69.597,2158.98,2158.98,73,42.797,1947.63,2223.47,1739,250.3,2084.14,2362.14,725,385.248,2309.9,2529.69,64.2331,14.7184,154,59.712,197.018,259.203,297,114.013,259.05,371.405,3008,3008,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5530,1028,84.3245,0,2417,131.203
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,9,1.45873,27000,9,23,42.149,2295.66,2317.7,58,876.435,2449.21,2678.53,1722,325.271,2383.56,2597.43,736,368.974,2506.96,2803.49,61.0353,17.8226,146,62.375,211.15,324.3,314,116.014,271.291,367.88,2999,2999,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5637,872,86.6032,0,2729,131.26
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,10,1.81033,30000,10,24,2201.81,2512.95,3022.11,59,41.611,2546.43,2602.77,1726,76.244,2678.39,2958.74,717,560.969,2871.9,3099.14,55.9888,23.0445,160,62.093,197.795,270.067,311,117.862,273.517,328.38,2997,2997,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5658,622,90.0955,0,3042,131.32
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,11,2.2158,33000,11,18,2554.7,3227.79,3227.79,62,436.019,2903.45,3043.5,1677,346.599,2982.61,3295.18,753,313.888,3082.13,3370.09,53.3214,24.1099,170,62.119,211.02,303.46,317,118.122,272.748,369.769,2997,2997,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5805,519,91.7932,0,3359,131.383
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,12,2.69736,36000,12,22,48.601,3270.18,3890.04,73,438.4,3404.73,5261.26,1692,318.489,3347.17,4289.27,761,590.751,3669.01,4372.84,54.611,30.7082,151,60.916,182.155,305.349,303,119.037,253.192,314.979,3002,3002,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6164,456,93.1118,0,3662,131.441
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,13,3.16807,39000,13,30,307.008,3608.56,3889.57,65,389.93,3762.61,3850.9,1739,50.644,3612.64,3803.7,730,411.767,3802.1,3996.4,46.6781,35.3207,143,62.197,181.98,267.792,291,118.525,294.984,379.053,2998,2998,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5789,324,94.6998,0,3954,131.495
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,14,3.71369,42000,14,25,297.078,3952.54,4021.71,57,34.439,3859.07,4132.17,1702,269.824,3919.36,4186.14,755,336.764,4113.52,4336.98,42.6623,42.21,155,62.937,236.768,365.63,309,123.383,324.137,388.366,3003,3003,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5992,274,95.6272,0,4262,131.554
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,15,4.30823,45000,15,20,3707.04,4394.55,4394.55,56,467.681,4163.76,4315.28,1684,252.267,4262.96,4484.91,750,711.352,4403.75,4600.72,40.3013,52.302,168,62.862,183.851,257.123,317,118.124,274.499,357.218,2995,2995,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5803,240,96.0285,0,4580,131.617
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,16,4.96758,48000,16,21,4203.92,4703.29,4704.53,53,40.671,4614.63,4746.31,1722,353.714,4584.78,4844.78,749,601.757,4765.77,4968.41,40.1202,54.9316,151,62.57,164.872,214.229,318,117.589,269.865,406.469,3014,3014,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5917,177,97.0955,0,4896,131.675
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,17,5.6141,51000,17,15,4535.14,4860.56,4860.56,59,36.462,5041.89,5183.18,1717,53.53,4971.31,5259.02,756,352.562,5166.02,5394.7,36.2857,58.5885,147,64.335,258.811,7035.6,297,119.59,294.209,7615.32,2991,2991,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5977,182,97.045,0,5195,131.731
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,18,6.37321,54000,18,20,4792.42,9010.29,9010.29,58,3314.99,9817.85,9984.3,1707,228.209,5430.55,9810.54,755,488.738,5654.97,9996.5,33.845,73.5871,147,66.202,224.249,395.752,310,133.947,327.253,397.8,2997,2997,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6139,122,98.0514,0,5505,131.787
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,19,7.01725,57000,19,32,1177.4,10018,10534.6,48,1323.98,10157.8,10595.7,1753,42.703,6759.83,10535.4,726,297.229,6119.92,10449.5,32,62.2559,149,61.561,223.605,368.881,290,127.066,325.056,473.818,2998,2998,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5869,126,97.8982,0,5795,131.843
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,20,7.72321,60000,20,25,39.213,5798,5811.64,64,37.906,5982.05,6552.34,1732,409.795,6059.09,10730.4,750,300.543,6291.35,10998.6,29.8653,73.7748,148,63.793,256.523,428.683,284,129.525,309.524,439.946,3003,3003,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6151,113,98.196,0,6079,131.9
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,21,8.44578,63000,21,25,37.53,6279.01,7462.67,89,530.105,6436.65,6679.67,1693,349.123,6431.91,11620.3,736,1413.29,6605.8,10559.1,27.8125,82.4795,148,61.866,250.872,404.491,318,122.894,333.947,392.945,3009,3009,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5981,123,97.9849,0,6397,131.956
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,22,9.18965,66000,22,27,1567.69,6749.44,6873.29,53,401.585,6669.45,12448.9,1738,51.569,6739.43,10868.8,755,504.89,6931.57,12052.3,26.698,89.0023,130,57.215,192.226,311.049,285,124.326,325.462,458.335,2988,2988,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6542,111,98.3316,0,6682,132.007
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,23,10.047,69000,23,16,1682.16,13449.7,13449.7,68,1507.31,7167.1,11083.6,1769,56.599,7391.85,13278.6,716,402.48,7650.95,13632.2,26.0293,110.101,148,61.586,198.935,306.724,289,132.965,327.765,479.408,3006,3006,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6143,85,98.6352,0,6969,132.063
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,24,10.9763,72000,24,19,1990.13,9162.39,9162.39,58,34.122,7603.04,8193.18,1725,230.572,7655.53,13896,742,1852.22,9009.5,14268.6,24.6536,137.172,156,59.744,269.505,376.52,301,126.672,299.083,367.693,3001,3001,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6423,90,98.6181,0,7272,132.122
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,25,11.9014,75000,25,25,14.732,8556.99,14678.9,59,1805.63,8120.25,14756,1716,357.678,8118.83,14767.7,745,1838.29,9024.61,14980.6,22.3517,137.86,146,55.639,161.852,215.081,308,119.729,296.341,378.817,2999,2999,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6606,83,98.7592,0,7579,132.178
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,26,12.7977,78000,26,26,176.863,8540.03,14240.7,63,58.173,8461.57,13482.7,1680,53.156,8502.08,15327.9,782,397.66,8658.37,15713.6,22.3389,126.674,169,58.521,224.093,315.182,280,122.416,282.388,384.941,3000,3000,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7031,74,98.9585,0,7859,132.239
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,27,14.0353,81000,27,24,1007.6,8788.09,15939.4,65,376.768,8971.69,17120.4,1708,60.811,9783.08,16388.6,748,599.228,15906,16592.5,21.2366,194.069,162,63.233,273.925,387.026,294,136.307,322.207,423.125,3001,3001,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7298,82,98.8889,0,8153,132.299
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,28,15.2138,84000,28,24,2358.28,9357.03,9363.52,55,2322.97,9394.89,16734.1,1690,576.005,9612.54,16137.9,753,2248.09,9807.32,16259.6,20.2483,197.902,152,63.137,260.243,359.958,319,130.737,277.086,379.541,2993,2993,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7138,67,99.0701,0,8473,132.358
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,29,16.2582,87000,29,19,15.375,9763.3,9763.3,66,2287.84,9653.6,17911,1722,38.743,9751.29,15630.6,747,465.815,9979.5,17781.7,18.6212,190.299,159,61.906,216.542,269.427,288,128.854,271.145,339.092,3001,3001,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7316,78,98.9451,0,8761,132.417
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,30,17.4073,90000,30,22,12.495,9812.9,12863.9,60,393.312,18786.1,18984.5,1708,165.996,10522.7,18479,775,307.71,10471.4,19113.1,17.5587,207.183,152,62.471,321.907,448.726,285,124.101,313.23,425.326,3002,3002,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7208,70,99.0382,0,9046,132.473
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,31,18.6488,93000,31,25,52.529,10721.7,10925.9,53,2518.57,11216.5,20157.4,1698,1764.5,11338.6,19835.9,771,1750.73,11193.9,18766.8,15.6835,245.52,156,61.617,273.07,382.933,294,125.007,329.326,457.117,2997,2997,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7384,62,99.1673,0,9340,132.532
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,32,19.8187,96000,32,16,9647.59,20492.6,20492.6,57,47.29,13124.7,20449.8,1797,37.052,11264.5,18972.3,715,341.476,11462.8,13624,14.9748,244.014,154,54.945,214.8,274.838,267,120.932,258.453,340.859,3006,3006,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6968,48,99.3158,0,9606,132.588
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,33,21.1274,99000,33,25,11274.5,11869.5,15497.2,51,62.189,11862.9,20802.8,1663,124.879,11679.5,15324.7,823,462.367,11876.3,12342.6,14.0085,308.501,130,62.837,205.842,253.249,303,123.663,246.275,315.172,2995,2995,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8260,79,99.0526,0,9910,132.64
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,34,22.0698,102000,34,18,10.076,22703.4,22703.4,34,305.473,12135.3,12143,1050,428.639,12192.7,21925.8,477,1666.99,12323.4,22041.5,12.3522,414.546,1244,44.835,143.131,248.798,196,116.17,235.518,349.964,3019,3019,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,4759,24,99.4982,0,10105,132.996
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,35,22.7813,105000,35,8,2942.59,12423.1,12423.1,23,12054.6,12418.3,12494.2,687,2870.4,12415.4,13399,309,1386.39,12607.4,12763.8,14.1715,370.23,1801,39.431,145.173,236.728,151,112.154,232.181,286.71,2979,2979,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2703,27,99.011,0,10257,133.501
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,36,23.4534,108000,36,11,11900.8,12827.2,12827.2,17,9818.22,12754.5,12754.5,722,2711.5,12626.5,12866.2,294,2996.48,12807.6,21639.6,12.4116,436.366,1826,40.193,136.447,274.965,143,112.823,276.842,325.128,3013,3013,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2399,19,99.2142,0,10399,134.016
