exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,1,1.00024,22739,7.57967,202,37.431,1596.7,1861.13,462,50.35,1591.88,1857.84,12973,55.125,1629.98,1917.03,5715,200.917,1752.66,2080.71,79.7153,5.90107,1100,36.032,140.472,222.242,2299,76.576,191.593,276.493,22751,22751,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,32686,24240,57.4184,0,2297,131.183
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,2,2.00244,31461,10.487,68,148.427,2564.18,3022.11,172,222.713,2602.77,2815.28,5034,197.87,2691.46,2923.58,2107,423.164,2839.83,3077.82,58.6735,20.1537,441,62.093,202.569,292.081,892,116.515,269.49,367.669,8714,8714,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,16388,2176,88.2784,0,3189,131.351
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,3,3.00348,37914,12.638,48,464.993,3463.69,3890.04,151,375.237,3435.81,3850.9,3637,313.2,3433.25,3801.35,1609,533.534,3634.66,4039.08,51.5792,30.7857,334,61.546,185.93,303.46,670,119.239,280.573,351.802,6449,6449,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,12722,944,93.0923,0,3861,131.478
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,4,4.00463,43381,14.4603,44,22.727,3930.51,4021.71,109,394.032,4030.67,4233.28,3091,216.578,3975.93,4270.51,1395,378.729,4182,4424.94,43.2401,42.6147,282,62.711,189.195,361.653,554,120.997,295.167,377.365,5475,5475,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,11004,522,95.4711,0,4412,131.585
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,5,5.00577,48198,16.066,33,3953.15,4703.29,4704.53,83,40.99,4577.03,4746.31,2756,175.876,4538.02,4778.78,1190,568.123,4718.65,4950.57,39.8866,53.7319,246,63.02,191.905,260.307,501,118.89,285.37,7239.24,4809,4809,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,9399,295,96.9569,0,4916,131.679
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,6,6.00698,52560,17.52,29,4609.79,5281.91,9010.29,87,392.472,5234.53,9054.54,2490,114.114,5176.99,5602.18,1102,414.22,5309.95,5599.02,35.029,64.5714,208,65.369,252.281,360.162,446,124.468,305.125,375.805,4362,4362,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8850,230,97.467,0,5362,131.759
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,7,7.00992,56963,18.9877,37,38.131,10018,10534.6,74,1306.86,9984.3,10595.7,2557,52.758,6813.49,10367.4,1080,315.78,6745.25,10381.6,32.8741,65.3647,224,64.199,223.714,368.881,431,131.029,290.256,434.234,4403,4403,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8675,182,97.9451,0,5793,131.843
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,8,8.01113,61310,20.4367,32,39.213,5811.64,5899.86,101,45.825,6188.92,6552.34,2488,369.429,6169.73,10778.7,1082,328.77,6359.3,10610.7,29.6007,72.8812,214,63.174,248.395,428.415,430,125.754,331.467,420.973,4347,4347,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8868,171,98.1082,0,6223,131.924
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,9,9.01195,65208,21.736,39,37.53,6510.82,7462.67,91,530.105,6514.71,12448.9,2243,321.129,6653.55,11801.4,959,1144.4,6892.3,12023.8,27.4077,91.6004,175,62.758,261.869,358.413,391,125.281,306.172,392.945,3898,3898,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8021,153,98.1282,0,6614,131.993
b2_dynamic_t0000_r01,b2_dynamic_phase_mismatch,10,10.0131,68903,22.9677,23,1645.42,7171.16,13449.7,81,1149.56,7113.9,11083.6,2169,48.41,7257.71,13062.1,893,396.439,7518.35,13601.9,25.7144,103.383,181,57.215,198.47,311.049,348,133.65,350.666,487.069,3695,3695,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7742,105,98.6619,0,6962,132.061
