exp_id,group_name,desc,value_size,memtable_max_range_deletions,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_count,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_aff_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio_pct,block_cache_hits,block_cache_misses,block_cache_hit_rate,flush_count_total,flush_reason_range_del_count,flush_write_mb,compaction_read_mb,compaction_write_mb,stall_micros,compaction_drop_keys,write_amplification,l0_files_final,l1_files_final,l2_files_final,pending_compact_mb,total_sst_mb,sha256_checksum,sample_verified_ok,sample_verified_notfound,full_scan_ok
e1_span_010_dynamic_r01,e1_span_010_dynamic,"E1 Coverage Span 10 Keys (dynamic)",256,0,115.326,200000,1734.21,10000,63.333,235.844,388.35,87.5034,2570,65.924,24671.3,40001.8,5611.98,126812,49.175,24031.8,39373.3,5299.66,618,63.275,25542.1,38501.8,5400.29,40000,346.842,8632.68,24.8894,381.469,24490.1,39662.6,5646.85,226.878,20000,125.518,331.176,493.691,151.178,20000,488017,48.8017,411746,68809,85.6813,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_010_dynamic_r02,e1_span_010_dynamic,"E1 Coverage Span 10 Keys (dynamic)",256,0,119.988,200000,1666.83,10000,63.084,232.114,365.92,86.5884,2570,64.101,25223.9,40780.1,5487.2,126812,54.752,25203,40148.1,5527.01,618,58.645,27603.5,41068.7,5615.78,40000,333.366,8297.22,24.8892,411.296,25523.1,39951,5865.48,235.663,20000,124.586,324.328,461.574,149.68,20000,488017,48.8017,411012,68850,85.6521,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_010_dynamic_r03,e1_span_010_dynamic,"E1 Coverage Span 10 Keys (dynamic)",256,0,115.57,200000,1730.55,10000,63.056,236.291,375.722,86.868,2570,73.168,24877.3,40125.6,5414.18,126812,51.177,24985.9,40463.4,5321.24,618,121.301,24543.5,39688.5,5499.74,40000,346.109,8614.43,24.8893,409.687,25207.7,40239.5,5636.15,226.449,20000,123.93,326.686,479.408,147.376,20000,488017,48.8017,411684,68819,85.6777,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_010_static_r01,e1_span_010_static,"E1 Coverage Span 10 Keys (static)",256,0,115.475,200000,1731.98,10000,58.574,212.817,345.148,78.2773,2570,61.52,25823.7,41725.7,5353.2,126812,51.28,25885,41141.4,5343.23,618,94.069,25131.9,41420.9,5603.87,40000,346.396,8621.57,24.8893,388.249,25793.7,41123.8,5559.72,223.378,20000,118.71,299.005,470.702,136.695,20000,488017,48.8017,411097,68830,85.6582,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_010_static_r02,e1_span_010_static,"E1 Coverage Span 10 Keys (static)",256,0,111.612,200000,1791.92,10000,62.472,232.068,394.191,89.1875,2570,63.689,25200,41585.7,5385.65,126812,52.193,24040.7,40085.4,5143.24,618,92.976,23477.9,37224.6,5125.53,40000,358.384,8919.95,24.8894,405.48,24208.1,40143.1,5421.68,217.831,20000,122.894,316.328,471.365,142.974,20000,488017,48.8017,411614,68877,85.6653,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_010_static_r03,e1_span_010_static,"E1 Coverage Span 10 Keys (static)",256,0,106.426,200000,1879.23,10000,56.898,208.595,351.878,76.8238,2570,144.596,23217.7,39534.2,4927.53,126812,64.024,23529.1,39369.7,4902.86,618,145.194,24074,39575,5131.12,40000,375.847,9354.94,24.8903,380.765,23743.6,39467.5,5185.87,208.349,20000,117.34,298.173,471.671,136.572,20000,488017,48.8017,411211,68767,85.6729,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_dynamic_r01,e1_span_100_dynamic,"E1 Coverage Span 100 Keys (dynamic)",256,0,117.268,200000,1705.5,10000,62.9,241.265,370.854,85.3666,2570,72.417,24834.9,40275.7,5552.82,126812,51.047,24349.1,39247.3,5400.92,618,54.348,23877.3,37640.5,5013.17,40000,341.099,8489.74,24.8894,379.657,24584.7,39440.7,5722.21,229.906,20000,125.714,327.874,488.51,151.076,20000,488017,48.8017,411262,68879,85.6544,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_dynamic_r02,e1_span_100_dynamic,"E1 Coverage Span 100 Keys (dynamic)",256,0,110.802,200000,1805.03,10000,57.323,218.474,369.036,77.5855,2570,164.167,25034.2,39582.4,5434.5,126812,59.11,24278.1,39428.1,5096.26,618,56.998,24970.9,39654.4,5068.96,40000,361.005,8985.14,24.8893,384.101,24407.3,39479.8,5413.23,217.493,20000,119.978,306.014,461.273,137.478,20000,488017,48.8017,411457,68829,85.6692,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_dynamic_r03,e1_span_100_dynamic,"E1 Coverage Span 100 Keys (dynamic)",256,0,117.707,200000,1699.13,10000,64.223,244.867,393.671,89.9913,2570,111.23,25427,39396.3,5526.21,126812,49.353,25649.7,39736.1,5413.83,618,57.166,25769.6,40813.9,5514.04,40000,339.826,8457.6,24.888,388.904,26127.5,40272,5760.35,231.451,20000,128.304,338.477,489.207,154.697,20000,488017,48.8017,412003,68778,85.6945,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_static_r01,e1_span_100_static,"E1 Coverage Span 100 Keys (static)",256,0,109.692,200000,1823.28,10000,59.944,234.863,376.053,85.9032,2570,76.049,24356.2,38819.5,5120.71,126812,56.632,24150.3,39311.4,5039.09,618,96.557,23580.9,38587.6,4918.56,40000,364.657,9075.61,24.8881,388.952,24683.5,40073.4,5385.19,216.376,20000,120.189,321.854,493.656,147.429,20000,488017,48.8017,411279,68773,85.6738,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_static_r02,e1_span_100_static,"E1 Coverage Span 100 Keys (static)",256,0,111.68,200000,1790.82,10000,61.277,234.143,389.67,83.806,2570,57.786,23425.3,39676.7,5102.14,126812,51.434,24071.9,39401.1,5131.72,618,51.288,22250.5,38425.2,4984.21,40000,358.165,8914.5,24.8894,401.639,24616.9,39444.9,5490.52,220.597,20000,120.959,315.871,472.191,143.955,20000,488017,48.8017,411101,68862,85.6526,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_100_static_r03,e1_span_100_static,"E1 Coverage Span 100 Keys (static)",256,0,112.652,200000,1775.37,10000,61.558,238.463,391.56,84.3509,2570,82.176,25090,39613.9,5326.67,126812,48.829,24908.3,40059.8,5181.18,618,145.409,24390.2,39790.2,5174.43,40000,355.075,8837.61,24.8894,369.616,25338.9,40101.2,5511.37,221.434,20000,121.11,318.529,484.223,142.915,20000,488017,48.8017,411166,68759,85.673,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_dynamic_r01,e1_span_400_dynamic,"E1 Coverage Span 400 Keys (dynamic)",256,0,113.69,200000,1759.17,10000,60.704,223.739,370.08,80.4999,2570,67.037,25280.3,39721.3,5337.41,126812,48.843,24503.3,39482.5,5230.27,618,59.763,24535.7,39325,5278.4,40000,351.834,8756.89,24.8893,405.939,24886.6,39740.1,5563.66,223.536,20000,121.027,313.881,455.117,141.216,20000,488017,48.8017,411879,68783,85.6899,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_dynamic_r02,e1_span_400_dynamic,"E1 Coverage Span 400 Keys (dynamic)",256,0,120.352,200000,1661.8,10000,62.148,250.556,388.853,86.3759,2570,88.104,24977.4,40621.1,5696.05,126812,53.684,24944.8,39925.7,5547.43,618,55.843,23903,37157.4,5176.89,40000,332.359,8272.08,24.889,394.318,25244.3,39880.8,5859.7,235.434,20000,124.418,332.956,480.809,152.182,20000,488017,48.8017,411323,68831,85.6648,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_dynamic_r03,e1_span_400_dynamic,"E1 Coverage Span 400 Keys (dynamic)",256,0,109.264,200000,1830.43,10000,60.233,238.053,402.131,89.3912,2570,80.001,26063.8,40366.1,5373.01,126812,42.213,24363.8,39499.2,5022.76,618,160.851,26581.1,41127.6,5306.36,40000,366.086,9111.15,24.888,364.939,24637.5,39445.1,5337.14,214.447,20000,120.558,324.124,499.619,147.164,20000,488017,48.8017,411329,68735,85.6821,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_static_r01,e1_span_400_static,"E1 Coverage Span 400 Keys (static)",256,0,105.197,200000,1901.19,10000,55.905,209.328,355.634,74.6287,2570,66.485,24032,40121.2,4766.89,126812,45.502,24626.7,40262.8,4854.53,618,182.575,23891.9,42134.4,5173.67,40000,380.238,9463.84,24.8893,369.076,24480.5,40490.8,5097.95,204.825,20000,117.13,300.667,445.11,136.023,20000,488017,48.8017,411461,68789,85.6764,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_static_r02,e1_span_400_static,"E1 Coverage Span 400 Keys (static)",256,0,108.967,200000,1835.42,10000,60.826,237.974,383.246,83.9415,2570,77.936,24105.8,39027.9,5175.49,126812,45.154,23770.7,38973.6,5022.97,618,53.358,25826.2,39715.6,5078.03,40000,367.084,9136.48,24.8893,382.117,24059.1,38753.1,5290.68,212.568,20000,121.23,324.951,494.059,144.281,20000,488017,48.8017,412016,68939,85.6662,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
e1_span_400_static_r03,e1_span_400_static,"E1 Coverage Span 400 Keys (static)",256,0,112.167,200000,1783.05,10000,61.701,231.676,355.566,81.3159,2570,58.861,25057.3,39426,5255.52,126812,54.751,24599.2,40488.3,5168.2,618,73.045,25054.6,40370.2,5219.56,40000,356.61,8875.65,24.889,394.612,24841.9,40543.9,5460.78,219.406,20000,123.489,315.603,463.413,144.56,20000,488017,48.8017,412093,68807,85.692,0,0,0,0,0,0,0,0,0,0,0,0,261,d7369ba89c5ab04235bc242dc0f774d6f58ddf3fdca76ef447e64a1c861b2762,5137,4863,PASS
