exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,1,0.0143788,2000,1,1252,18.469,71.491,91.316,10,42.74,73.41,73.41,22,34.212,57.04,65.3,406,80.889,139.051,211.821,98.9754,0.89696,122,17.83,86.867,120.012,198,38.923,104.259,170.999,2010,2010,1.00196,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,281,2153,11.5448,0,198,38.0015
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,2,0.029931,4000,2,1194,50.715,124.094,147.552,33,70.11,129.941,131.853,80,52.461,127.47,140.976,375,102.349,170.65,187.391,92.1333,1.0919,101,13.794,67.321,87.104,219,38.205,100.368,129.829,2002,2002,1.00196,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,709,1581,30.9607,0,416,38.0218
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,3,0.0513427,6000,3,1057,59.899,182.15,223.252,60,106.625,222.374,238.508,131,100.788,200.702,214.525,422,147.156,229.496,266.128,87.4052,1.48405,102,13.085,79.503,96.268,220,41.396,106.657,129.571,1992,1992,1.00196,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1087,1232,46.8737,0,635,38.0422
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,4,0.0793384,8000,4,1053,66.86,278.806,324.284,73,86.042,264.692,404.168,161,3.884,251.927,278.947,428,113.357,326.824,378.381,87.7383,1.76304,81,17.832,104.024,156.313,204,48.691,145.479,192.1,2000,2000,1.00196,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1387,952,59.2988,0,839,38.0597
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,5,0.11941,10000,5,986,54.277,423.733,496.41,80,17.474,477.352,520.489,216,112.647,431.75,498.393,441,110.456,495.158,547.164,81.5102,2.64897,99,25.846,140.796,198.335,188,62.325,155.918,205.215,2010,2010,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1540,740,67.5439,0,1028,38.0782
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,6,0.187674,12000,6,949,34.418,760.379,893.229,113,229.974,832.788,925.805,259,13.436,759.711,886.968,398,248.939,865.737,1048.18,79.706,4.7523,92,37.562,169.05,205.115,188,84.143,210.153,297.023,1999,1999,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1663,544,75.3512,0,1217,38.0963
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,7,0.276363,14000,7,904,156.423,972.175,1041.45,109,296.345,976.111,1020.05,291,131.813,950.925,1000.61,380,260.715,1079.92,1119.76,76.5789,6.21755,97,43.87,194.458,254.295,211,99.298,230.764,263.516,1992,1992,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1693,414,80.3512,0,1426,38.1159
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,8,0.381038,16000,8,808,40.784,1167.39,1564.51,148,174.18,1133,1177.4,331,19.912,1116.15,1475.84,419,208.73,1248.77,1675.48,72.3652,7.56978,110,51.394,186.67,281.792,187,101.826,234.27,318.552,2003,2003,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1809,339,84.2179,0,1614,38.1355
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,9,0.521803,18000,9,751,50.393,1563.38,1693.64,144,815.867,1599.43,1818.36,396,21.775,1554.16,1672.89,390,434.802,1678.86,1817.98,71.1744,10.4514,112,64.251,276.946,339.451,203,124.77,337.683,379.916,1996,1996,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1759,245,87.7745,0,1818,38.156
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,10,0.684281,20000,10,757,276.918,1724.9,1862.04,135,337.259,1716.7,1838.81,407,236.062,1711.87,1843.78,391,450.027,1851.32,1964.97,67.9719,12.5045,98,64.63,209.817,350.36,215,120.862,325.956,373.011,2003,2003,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1810,179,91.0005,0,2031,38.1757
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,11,0.846291,22000,11,706,33.717,1853.51,2010.57,161,50.026,1856.77,2051.99,457,12.22,1830.16,1963.53,388,517.434,2006.58,2107.14,64.7964,14.8538,91,62.101,152.266,280.377,190,115.763,300.714,425.783,1993,1993,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1792,153,92.1337,0,2223,38.194
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,12,1.02866,24000,12,649,200.85,2031.58,2156.08,162,59.326,2033.95,2140.35,477,17.223,2015.91,2185.22,388,372.345,2154.72,2356.17,65.0103,14.7003,113,63.461,264.906,302.834,216,121.384,303.456,352.459,2005,2005,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1794,132,93.1464,0,2438,38.2152
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,13,1.21956,26000,13,577,46.265,2204.17,2323.44,205,137.52,2228.7,2397.18,496,138.626,2197.47,2358.77,399,273.39,2307.63,2470.95,56.7619,17.1053,104,62.449,229.117,316.091,215,121.516,282.148,323.504,1996,1996,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1838,112,94.2564,0,2653,38.2357
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,14,1.4449,28000,14,594,285.15,2472.25,2633.48,167,341.322,2448.61,2579.26,526,220.177,2431.41,2585.58,407,309.866,2570.61,2720.2,56.3219,19.0505,101,61.59,191.218,321.738,211,120.052,252.073,349.037,2006,2006,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1840,91,95.2874,0,2864,38.2561
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,15,1.67026,30000,15,531,45.202,2703.02,2883.09,209,50.918,2699.58,2910.73,552,14.09,2714.85,2827.6,398,187.49,2798.27,2933.46,52.701,20.8976,115,63.085,245.108,357.568,201,121.808,356.062,443.133,2006,2006,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1844,65,96.5951,0,3067,38.2768
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,16,1.89418,32000,16,499,34.062,2861.66,2962.08,192,23.727,2864.03,2979.99,651,11.337,2832.55,2990.88,374,182.783,2932.54,3059.03,53.3048,20.6743,95,64.188,202.85,325.888,176,116.814,257.381,352.859,1987,1987,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1767,62,96.6102,0,3242,38.2945
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,17,2.13191,34000,17,494,34.582,3025.4,3184.97,179,33.649,3008.98,5043.31,629,11.993,3022.95,3166.5,417,166.323,3129.63,3223.69,52.8489,22.7393,95,64.26,223.09,332.22,189,121.474,300.141,432.762,2003,2003,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1852,50,97.3712,0,3431,38.3127
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,18,2.43978,36000,18,439,330.254,3274.35,3417.53,194,53.724,3289.1,3442.07,658,404.567,3233.52,3367.89,391,512.891,3328.81,3450.99,46.3939,33.796,107,64.021,186.004,222.099,215,121.379,364.947,465.692,2004,2004,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1762,55,96.973,0,3645,38.3334
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,19,2.74498,38000,19,416,44.625,3534.07,3834.53,175,54.713,3693.07,4640.46,674,27.941,3441.46,3917.64,433,230.234,3620.29,3973.24,50.7413,30.2533,115,62.962,169.561,272.299,181,118.954,265.763,378.865,1994,1994,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1917,29,98.5098,0,3828,38.3534
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,20,3.04423,40000,20,420,45.923,3633.41,3719.04,174,49.307,3537.55,3772.24,695,14.271,3553.57,3737.48,414,320.063,3728.45,3830.02,45.4541,35.0134,106,63.027,254.091,399.496,192,123.125,387.529,481.043,2001,2001,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1873,22,98.8391,0,4020,38.3728
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,21,3.37447,42000,21,390,56.243,3847.72,3955.13,200,162.778,3824.37,3978.1,709,14.206,3798.15,3932.56,398,202.405,3985.14,4136.43,46.4849,35.5995,103,64.197,244.069,290.576,198,117.169,257.563,373.451,1998,1998,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1827,21,98.8636,0,4218,38.3926
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,22,3.73548,44000,22,372,40.851,3980.12,4174.98,187,448.757,4049.25,4145.81,748,160.088,3981.77,4146.82,395,330.92,4141.58,4329.53,41.038,44.5414,111,62.177,269.99,345.162,193,118.458,287.973,344.515,2006,2006,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1759,27,98.4882,0,4410,38.4125
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,23,4.07869,46000,23,319,36.836,4212.32,4436.92,197,52.454,4233.66,4530.43,774,12.429,4186.46,4365.73,403,179.883,4328.9,4481.4,40.536,43.0501,116,65.326,268.266,311.527,189,116.779,276.358,347.423,1998,1998,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1833,18,99.0276,0,4599,38.4328
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,24,4.44575,48000,24,283,45.092,4442.43,4561.98,198,33.883,4447.89,4622.41,838,12.823,4395.75,4526.64,380,190.28,4575.97,4731.78,38.2895,47.8113,102,65.466,261.315,297.599,192,120.263,283.662,311.32,1993,1993,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1754,26,98.5393,0,4792,38.4521
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,25,4.83931,50000,25,299,50.545,4707.61,4828.4,220,41.266,4685.2,4880.92,796,16.167,4652.01,4867.96,411,185.74,4786.59,4927.52,41.9708,45.3626,84,65.082,239.74,521.446,201,120.421,276.605,362.886,2011,2011,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1883,17,99.1053,0,4991,38.4699
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,26,5.21366,52000,26,300,34.564,5037.48,5612.96,187,39.547,5087.38,5529.86,840,10.29,4959.98,5320.6,417,151.628,5121.12,5632.43,38.0504,46.5315,81,63.737,284.326,350.003,184,127.37,448.67,2669.17,2009,2009,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1822,12,99.3457,0,5176,38.4866
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,27,5.70857,54000,27,252,455.944,5302.41,6780.39,192,189.867,5214.8,6440.39,861,360.198,5245.81,6347.22,363,266.819,5415.07,9826.58,37.2342,64.8802,92,64.18,279.683,358.09,221,121.759,360.644,549.018,1981,1981,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1679,19,98.881,0,5398,38.506
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,28,6.22498,56000,28,250,50.532,6478.12,9991.65,196,41.638,9895.28,10228.6,846,15.459,9684.71,10132.4,404,239.656,9886.08,10249.4,31.1287,83.2059,108,76.569,324.592,405.534,195,145.649,388.841,483.184,1999,1999,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1833,19,98.9741,0,5593,38.5258
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,29,6.72049,58000,29,227,242.967,10072.4,10621.1,209,37.139,10103.8,10689.8,873,30.839,9368,10527.6,397,1028.01,7293.02,10788.4,35.0554,73.2209,99,64.341,320.632,431.61,196,145.818,410.055,484.736,2001,2001,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1811,6,99.6698,0,5789,38.5448
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,30,7.21048,60000,30,208,34.333,10543.1,11030.8,197,57.409,9010,11122.8,892,14.593,10190.1,11148.5,410,265.511,6101.02,11209.5,31.522,76.3623,108,63.773,278.641,350.803,191,124.142,309.27,528.045,2006,2006,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1819,15,99.1821,0,5979,38.5648
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,31,7.75319,62000,31,196,36.271,6198.67,11404.4,185,45.334,11060.9,11408.2,928,14.899,8811.95,11417.7,406,358.947,11086.7,11572.2,29.165,101.479,112,75.442,325.099,349.863,187,152.694,392.05,448.737,2014,2014,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1862,18,99.0426,0,6165,38.5843
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,32,8.41054,64000,32,193,72.45,11692.7,14043.4,177,67.871,9379.2,12338.6,959,162.977,11656,12278.6,376,308.931,11850.2,14713.8,29.1037,114.582,88,70.52,332.716,896.687,215,152.304,432.787,592.776,2008,2008,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1691,5,99.7052,0,6380,38.603
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,33,9.02016,66000,33,182,411.368,11918.5,12417.4,168,55.03,6796.13,12458.6,912,15.95,12154.9,12405,425,287.152,12211.8,12519,28.9647,105.054,99,76.229,287.772,403.896,187,146.283,321.556,569.523,1973,1973,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1962,18,99.0909,0,6569,38.6217
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,34,9.64976,68000,34,191,50.65,7048.31,12729.3,160,47.222,6901.5,12616.4,965,16.428,7250.98,12783.8,399,468.497,7554.66,12965.3,30.6441,109.302,91,66.78,364.56,501.999,198,149.63,430.169,551.024,2004,2004,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1846,13,99.3007,0,6767,38.64
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,35,10.2746,70000,35,153,52.196,7987.31,13506,189,42.84,12872,13544.3,956,14.395,7239.61,13642.1,407,247.368,7337.92,13505.6,25.5725,119.962,114,66.617,441.964,1065.59,177,146.529,476.097,953.188,1996,1996,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,1958,12,99.3909,0,6944,38.6593
