exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,1,1.00023,23716,11.858,10981,39.395,1600.61,1890.63,1208,128.151,1780.76,2021.1,3149,43.653,1766.89,1950.67,4767,150.998,1816.53,2031.21,79.1154,5.72435,1197,44.069,180.62,280.377,2417,88.327,251.097,345.215,23719,23719,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,17066,8643,66.3814,0,2417,38.2121
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,2,2.00242,32926,16.463,2514,42.877,2744.67,2946.55,879,40.5,2736.29,2939.38,2599,14.526,2764.88,2934.87,1826,211.317,2848.73,3024.73,55.2273,19.5721,476,62.873,226.592,325.888,913,119.738,300.141,380.641,9207,9207,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,8391,377,95.7003,0,3330,38.3025
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,3,3.00422,39811,19.9055,1499,44.806,3504.34,3715.75,619,44.772,3509.6,3982.87,2294,17.958,3444.05,3686.94,1428,297.63,3615.59,3826.81,48.0987,30.7914,377,63.262,203.425,295.293,668,122.054,336.399,462.428,6885,6885,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,6402,129,98.0248,0,3998,38.3711
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,4,4.00523,45392,22.696,1039,51.99,4056.16,4221.62,546,301.993,4065.61,4216.63,2037,135.934,4062.7,4231.16,1094,395.492,4185.73,4390.18,43.4351,42.1204,307,63.211,269.99,331.06,558,117.526,282.018,344.515,5581,5581,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,4944,63,98.7418,0,4556,38.428
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,5,5.00616,50973,25.4865,829,38.662,4667.55,4880.63,559,34.111,4651.1,4911.12,2305,11.574,4617.48,4866.48,1143,166.227,4772.86,5169.68,39.5512,44.6584,253,65.326,260.629,318.397,513,121.543,297.605,362.886,5602,5602,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,5191,51,99.0271,0,5069,38.4771
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,6,6.00737,55150,27.575,546,208.405,5360.5,9928.06,415,43.998,5349.69,9964.46,1760,147.224,5283.09,9816.8,807,192.807,5515.43,10085.7,35.4981,64.974,192,65.615,317.079,405.534,440,130.405,434.626,2021.62,4160,4160,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,3684,39,98.9525,0,5508,38.5169
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,7,7.00831,59352,29.676,458,47.374,9607.61,10672.1,412,39.713,9809.11,10760.3,1861,15.724,9386.7,10709.2,839,409.524,6557.96,10727.9,33.9285,71.9454,220,66.601,320.632,379.629,408,139.084,399.393,484.736,4198,4198,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,3780,21,99.4475,0,5917,38.5578
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,8,8.00923,62803,31.4015,354,37.516,6280.4,11430.1,320,54.993,10002.5,11294.3,1578,16.404,10751.2,11559.1,683,347.17,11209.5,11774.7,28.9458,105.654,177,72.891,308.464,382.689,339,146.564,392.05,448.737,3451,3451,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,3112,27,99.1399,0,6256,38.5911
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,9,9.0101,65970,32.985,287,192.41,12020.9,12549.9,273,57.517,10615.3,12458.6,1485,16.713,11901.2,12387.7,651,290.077,12181.7,12624.1,28.7573,108.585,159,76.229,287.772,403.896,312,150.299,389.474,592.776,3167,3167,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,2962,21,99.296,0,6568,38.6215
e2_val_0064_t000_sanity,e2_val_0064_t000_sanity,10,10.011,69278,34.639,295,47.994,7526.09,12729.3,292,43.249,7033.43,12998.3,1578,14.976,7250.98,13078.8,667,336.395,7233.95,13007.8,29.033,108.383,167,65.793,352.158,467.745,309,150.781,450.846,520.834,3308,3308,2.00197,0,0,0,0,0,0,0,0,37.9145,0,0,0,0,0,3119,23,99.268,0,6877,38.6523
