exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,1,0.0187239,2000,1,2,73.928,73.928,73.928,26,20.677,65.186,78.177,1257,21.513,77.4,98.883,402,149.701,192.298,244.551,98.9652,1.54538,122,16.057,63.782,109.231,198,40.978,106.166,254.381,2007,2007,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,803,4060,16.5124,0,198,130.804
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,2,0.0368222,4000,2,6,39.063,87.467,87.467,25,40.006,151.456,153.854,1273,48.845,132.223,162.095,377,141.64,229.308,263.02,92.1751,1.58092,101,13.743,65.035,72.507,219,36.58,97.741,110.723,2001,2001,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,1219,3209,27.5294,0,416,130.843
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,3,0.0622255,6000,3,7,123.7,232.897,232.897,28,110.074,193.995,245.374,1216,77.451,213.676,290.684,425,174.67,320.01,418.465,87.4941,2.07256,102,17.206,67.996,99.63,220,40.698,98.469,133.547,1998,1998,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,1627,2995,35.2012,0,636,130.883
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,4,0.0943518,8000,4,9,137.805,241.797,241.797,24,122.095,303.667,305.226,1253,85.821,298.818,340.763,428,150.607,393.286,484.17,87.5491,2.29047,81,20.069,83.536,149.236,204,47.853,117.291,136.419,1999,1999,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2118,2610,44.797,0,839,130.915
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,5,0.141261,10000,5,5,16.833,467.787,467.787,26,17.764,389.432,467.245,1253,98.469,502.29,650.015,440,172.516,592.049,686.496,81.6523,3.3795,99,20.762,124.396,158.625,188,59.814,144.343,162.78,2011,2011,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2339,2236,51.1257,0,1028,130.952
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,6,0.219113,12000,6,5,32.05,871.273,871.273,28,470.681,945.043,956.701,1284,43.512,922.639,1122.73,398,257.354,1068.94,1282.14,79.706,5.54354,92,37.778,136.728,154.089,188,88.171,223.182,248.759,1995,1995,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2424,1830,56.9817,0,1217,130.987
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,7,0.339536,14000,7,11,366.909,1798.21,1798.21,29,324.576,1642.71,1849.2,1263,181.887,1632.3,1987.53,379,454.571,1653.09,2134.12,76.5172,8.7896,96,52.392,145.021,201.101,211,113.069,227.736,280.199,1989,1989,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2533,1492,62.9317,0,1428,131.025
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,8,0.460744,16000,8,8,18.729,1135.24,1135.24,26,40.804,1334.25,1718.79,1256,41.802,1543.72,1985.5,420,280.861,1672.14,1960.73,72.431,8.96196,111,52.907,191.286,258.004,187,115.036,242.625,357.191,2008,2008,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2832,1370,67.3965,0,1614,131.065
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,9,0.614833,18000,9,8,255.84,1654.88,1654.88,24,681.746,1663.92,1958.11,1257,202.71,1613.46,1813.3,389,567.76,1783.05,1905.23,71.3136,11.8939,111,60.652,257.333,296.239,203,115.046,288.572,360.146,1992,1992,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2843,1047,73.0848,0,1818,131.107
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,10,0.788538,20000,10,5,1547.48,1677.04,1677.04,19,1486.52,1619.96,1619.96,1278,374.836,1803.85,2127.71,392,414.493,1995.15,2404.28,67.8418,12.9629,99,63.256,190.443,295.537,215,119.398,309.354,343.175,2008,2008,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,2926,873,77.0203,0,2031,131.144
