exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,1,1.0003,22330,11.165,70,84.422,1720.88,1928.18,277,70.959,1642.71,1860.94,14113,49.42,1684.41,1934.95,4495,205.026,1828.51,2091.6,80.0136,6.19708,1120,42.365,156.436,258.004,2259,84.454,218.081,321.16,22334,22334,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,25026,22641,52.5017,0,2257,131.186
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,2,2.00266,31222,15.611,22,1965.56,2964.05,3049.4,105,491.619,2663.99,2783,5605,99.861,2672.51,2893.56,1769,388.657,2838.71,3054.53,56.8649,20.3598,476,61.665,200.817,303.538,911,118.387,292.369,400.919,8888,8888,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,13708,2460,84.7848,0,3170,131.364
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,3,3.00374,38021,19.0105,18,63.053,3206.4,3206.4,92,191.89,3427.79,11372.2,4292,60.948,3382.49,3704,1383,347.039,3569.87,4223.19,50.133,30.0943,354,63.752,202.535,251.388,660,116.145,278.982,443.721,6799,6799,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,10996,1174,90.3533,0,3830,131.496
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,4,4.00494,43949,21.9745,24,25.537,3910.86,3930.02,77,177.344,4185.57,4500.06,3739,65.169,3961.85,4229.48,1199,296.853,4181.39,4450.43,44.4495,38.6807,316,62.213,177.329,295.949,573,116.244,284.468,406.165,5928,5928,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,9655,618,93.9842,0,4403,131.612
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,5,5.00619,49310,24.655,9,46.629,4217.93,4217.93,77,229.475,4532.1,4758.08,3420,42.703,4503.26,4735.06,1055,257.533,4652.55,4888.77,40.2123,44.6533,275,65.041,250.002,2322.12,529,118.886,281.338,383.761,5365,5365,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,8686,435,95.2308,0,4931,131.715
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,6,6.00755,53666,26.833,9,447.5,5256.24,5256.24,44,49.188,4889.31,5299.06,2811,45.94,5193.28,9388.91,866,318.624,5466.01,9496,38.2748,58.4119,186,68.08,310.91,449.319,436,137.505,399.158,526.061,4352,4352,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,7063,261,96.4364,0,5368,131.789
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,7,7.00886,57368,28.684,12,46.873,5587.42,5587.42,51,206.131,9804.97,10331.5,2358,47.979,9636.41,10262.9,734,580.531,10011.1,10694.8,32.4673,90.2322,193,77.684,289.537,570.137,354,144.091,423.866,555.96,3702,3702,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6094,209,96.6841,0,5722,131.86
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,8,8.00985,61346,30.673,16,1119.31,10924.1,10924.1,51,43.773,10452.3,10812.5,2501,43.593,6128.69,11110.6,812,426.953,7825.38,11423.1,31.7057,86.2235,212,65.213,249.04,370.962,386,141.545,375.941,465.845,3978,3978,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6748,189,97.2755,0,6108,131.938
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,9,9.0109,65005,32.5025,12,44.402,6189.93,6189.93,40,68.917,6522.94,7586.06,2355,51.261,11064.6,11938.2,710,491.95,11570.9,12501.6,28.9493,99.1351,180,65.924,276.434,402.569,364,141.169,397.636,499.37,3661,3661,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,5943,168,97.2509,0,6472,132.007
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,10,10.0121,68757,34.3785,14,1621.54,6861.52,6861.52,39,72.738,7135.74,12395.1,2390,51.092,7045.84,12569.4,777,1516.93,7139.11,12644.9,29.6744,92.0303,180,61.381,237.713,5359.97,350,123.727,266.774,5835.68,3750,3750,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,0,6744,177,97.4426,0,6822,132.074
