exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase A (Read Sensitive)",0.4607,100000,217072.8882,0.7788,334.7625,383.8933,328.7321,281.6676,339.4607,45.6535,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B (Write Burst)",7.1662,100000,13954.3229,21.9466,4936.5217,4981.5950,4683.0233,4708.6319,4737.2501,183.6316,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B-Inject (20% Window)",1.4332,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B-PostBurst (80% Window)",5.7330,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase C (Read Recovery)",12.5209,100000,7986.6413,18.7700,6884.8540,6889.0271,6222.2487,6663.2209,6667.2596,149.2614,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase A (Read Sensitive)",0.4402,100000,227178.2609,0.7458,320.2774,353.5258,309.5918,265.5893,320.4715,50.8837,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B (Write Burst)",7.1373,100000,14010.9818,19.1597,4891.8562,4927.5561,4745.8695,4768.9312,4882.9717,191.4720,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B-Inject (20% Window)",1.4275,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase B-PostBurst (80% Window)",5.7098,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_noaudit,E9-T0-NOAUDIT,0,"Phase C (Read Recovery)",11.7546,100000,8507.2855,16.3893,6663.2209,6667.2596,6241.1290,6464.3716,6476.1335,167.7787,0
