run_id,rep,phase,worker,op_id,op_class,latency_us,materialization_us,lock_wait_us,active_mem_prep_us,active_mem_lookup_us,sst_iter_construct_us
e9_t0_audit,1,0,0,92,ScanNonIntersect,105.21,0.00,0.26,0.00,0.00,2.04
e9_t0_audit,1,0,0,117,GetLive,32.55,0.00,13.17,14.34,0.32,0.00
e9_t0_audit,1,0,0,127,GetLive,43.01,0.00,24.43,26.95,0.36,0.00
e9_t0_audit,1,0,0,167,GetLive,27.25,0.00,11.37,14.52,0.32,0.00
e9_t0_audit,1,0,0,183,ScanNonIntersect,119.17,0.00,27.53,0.00,0.00,5.27
e9_t0_audit,1,0,0,219,GetLive,25.26,0.00,10.82,11.60,0.31,0.00
e9_t0_audit,1,0,0,263,GetLive,24.78,9.25,0.00,12.53,0.14,0.00
e9_t0_audit,1,0,0,280,GetLive,30.98,0.00,16.98,17.91,0.26,0.00
e9_t0_audit,1,0,0,340,GetLive,23.95,9.72,0.00,12.06,0.20,0.00
e9_t0_audit,1,0,0,365,ScanNonIntersect,116.89,0.00,22.33,0.00,0.00,2.48
e9_t0_audit,1,0,0,378,GetLive,33.40,0.00,19.03,20.09,0.35,0.00
e9_t0_audit,1,0,0,419,GetLive,26.78,0.00,11.43,14.12,0.31,0.00
e9_t0_audit,1,0,0,437,GetLive,33.01,0.00,18.73,20.83,0.28,0.00
e9_t0_audit,1,0,0,446,GetLive,14.26,0.00,0.96,2.68,0.39,0.00
e9_t0_audit,1,0,0,538,GetLive,44.57,0.00,28.78,29.79,0.32,0.00
e9_t0_audit,1,0,0,543,GetLive,22.91,14.43,0.00,16.99,0.23,0.00
e9_t0_audit,1,0,0,545,GetLive,25.75,13.22,0.00,14.76,0.17,0.00
e9_t0_audit,1,0,0,576,GetLive,27.16,0.00,13.02,14.07,0.32,0.00
e9_t0_audit,1,0,0,594,GetLive,41.41,0.00,24.73,26.95,0.40,0.00
e9_t0_audit,1,0,0,637,ScanNonIntersect,92.24,0.00,12.12,0.00,0.00,2.93
e9_t0_audit,1,0,0,677,GetLive,45.49,0.00,30.04,31.03,0.44,0.00
e9_t0_audit,1,0,0,695,ScanNonIntersect,128.16,0.00,26.97,0.00,0.00,5.11
e9_t0_audit,1,0,0,723,ScanNonIntersect,97.80,0.00,15.63,0.00,0.00,4.51
e9_t0_audit,1,0,0,729,GetLive,34.71,0.00,20.24,22.09,0.26,0.00
e9_t0_audit,1,0,0,743,ScanNonIntersect,107.06,0.00,16.75,0.00,0.00,2.41
e9_t0_audit,1,0,0,772,GetLive,34.37,0.00,26.69,27.62,0.52,0.00
e9_t0_audit,1,0,0,785,GetLive,37.08,0.00,21.08,23.19,0.37,0.00
e9_t0_audit,1,0,0,795,GetLive,47.37,0.00,31.90,33.41,0.38,0.00
e9_t0_audit,1,0,0,829,ScanNonIntersect,110.15,0.00,24.34,0.00,0.00,2.29
e9_t0_audit,1,0,0,872,GetLive,37.64,0.00,29.49,31.67,0.37,0.00
e9_t0_audit,1,0,0,878,ScanNonIntersect,60.48,0.00,0.80,0.00,0.00,1.94
e9_t0_audit,1,0,0,889,GetLive,45.50,0.00,29.31,31.25,0.44,0.00
e9_t0_audit,1,0,0,897,ScanNonIntersect,101.66,0.00,20.05,0.00,0.00,4.78
e9_t0_audit,1,0,0,904,GetLive,37.99,24.51,0.00,26.30,0.21,0.00
e9_t0_audit,1,0,0,909,GetLive,35.27,0.00,26.39,27.99,0.63,0.00
e9_t0_audit,1,0,0,929,ScanNonIntersect,87.49,0.00,18.92,0.00,0.00,2.42
e9_t0_audit,1,0,0,954,GetLive,35.79,0.00,21.74,22.65,0.45,0.00
e9_t0_audit,1,0,0,977,GetLive,46.13,0.00,30.54,32.48,0.43,0.00
e9_t0_audit,1,0,0,992,ScanNonIntersect,80.89,0.00,27.50,0.00,0.00,2.46
e9_t0_audit,1,0,0,997,ScanNonIntersect,104.75,0.00,22.83,0.00,0.00,1.81
e9_t0_audit,1,0,0,1004,GetLive,27.75,0.00,22.11,22.89,0.27,0.00
e9_t0_audit,1,0,0,1089,GetLive,42.55,0.00,34.01,36.04,0.32,0.00
e9_t0_audit,1,0,0,1100,GetLive,30.76,0.00,16.67,18.77,0.43,0.00
e9_t0_audit,1,0,0,1130,GetLive,38.89,0.00,31.12,32.10,0.52,0.00
e9_t0_audit,1,0,0,1165,GetLive,15.27,0.00,0.68,2.94,0.34,0.00
