exp_id,rep,phase,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t0_audit,1,0,GetLive,58535,1171.9198,6.09,116.50,249.37,883,15.0850,4883,5766,117.42,309.40,401.01,120.9275,620.7759,0.632896,761.9491,17.7756,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,GetDeleted,1465,32.3249,2.46,174.62,315.27,23,15.6997,132,155,169.52,384.36,407.13,4.2360,23.8295,0.868233,28.6124,0.5914,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,ScanIntersect,2651,194.5838,54.49,206.04,349.48,33,12.4481,254,287,200.25,388.10,464.35,4.8110,40.4627,0.232670,0.0000,0.0000,0.0000,0.0000,47.3540,0.1500,5.3178,5409,5096,585,585,0
e9_t0_audit,1,0,ScanNonIntersect,17349,1223.8178,55.52,154.98,296.02,255,14.6983,1465,1720,154.98,355.46,458.48,32.1916,179.0181,0.172583,0.0000,0.0000,0.0000,0.0000,224.2943,0.8624,33.8756,43,45,7,7,0
e9_t0_audit,1,0,Put,18800,208.1284,8.56,29.02,42.97,0,0.0000,0,0,0.00,0.00,0.00,0.0000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,DeleteRange,1200,40.4579,30.79,53.64,74.49,0,0.0000,0,0,0.00,0.00,0.00,0.0000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,1200
e9_t0_audit,1,0,TOTAL_READS,80000,2622.6463,7.77,132.31,267.53,1194,14.9250,6734,7928,132.95,323.99,415.61,162.1662,864.0862,0.391304,790.5614,18.3669,0.0000,0.0000,271.6482,1.0123,39.1933,5452,5141,592,592,0
e9_t0_audit,1,0,TOTAL_ALL,100000,2871.2325,8.21,112.00,251.04,1194,11.9400,6734,7928,132.95,323.99,415.61,162.1662,864.0862,0.357426,790.5614,18.3669,0.0000,0.0000,271.6482,1.0123,39.1933,5452,5141,592,592,1200
e9_t0_audit,1,1,GetLive,16858,25028.7166,789.05,4410.36,4754.50,2945,174.6945,8374,11319,2044.21,4529.52,4821.23,7306.3883,17019.9612,0.971938,24409.1973,37.3138,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,1,GetDeleted,3142,5308.7157,789.05,4513.09,4748.75,542,172.5016,1456,1998,3007.17,4609.82,4859.36,1606.5285,3632.2639,0.986829,5254.5390,7.2899,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,1,ScanIntersect,6791,12617.6507,1103.14,4708.63,4987.64,1104,162.5681,3400,4504,2920.96,4809.56,5051.51,3075.9804,8142.0112,0.889071,0.0000,0.0000,0.0000,0.0000,11273.2915,2.3772,82.6926,19263,18026,11340,11340,0
e9_t0_audit,1,1,ScanNonIntersect,3209,4156.1580,789.05,3928.35,4722.92,540,168.2767,1652,2192,1599.36,4206.76,4815.39,1023.0845,2522.2519,0.853032,0.0000,0.0000,0.0000,0.0000,3569.0509,1.0387,34.8633,60,61,19,19,0
