exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,affected_reads_count,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t0_audit,1,0,0,GetLive,7314,127.0531,5.47,105.09,209.56,81,11.0747,597,678,112.68,243.10,294.05,9.1779,68.6670,0.612696,80.3589,1.9670,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,0,GetDeleted,186,3.7555,2.06,177.40,295.84,1,5.3763,18,19,177.40,310.53,310.53,0.1528,3.1589,0.881847,3.3761,0.0597,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,0,ScanIntersect,335,21.7901,47.66,207.29,318.73,5,14.9254,29,34,206.41,347.58,364.40,0.5614,4.9054,0.250881,0.0000,0.0000,0.0000,0.0000,5.6941,0.0150,0.5648,661,640,73,73,0
e9_t0_audit,1,0,0,ScanNonIntersect,2165,137.0059,49.31,144.02,257.66,22,10.1617,184,206,148.36,275.92,302.18,2.7969,19.7305,0.164426,0.0000,0.0000,0.0000,0.0000,24.0454,0.0949,3.8323,4,6,1,1,0
e9_t0_audit,1,0,0,Put,2350,23.9792,7.73,27.53,40.81,0,0.0000,0,0,0.00,0.00,0.00,0.0000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,0,DeleteRange,150,4.6879,28.91,48.12,92.82,0,0.0000,0,0,0.00,0.00,0.00,0.0000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,150
e9_t0_audit,1,0,1,GetLive,7323,138.6740,5.70,113.43,236.28,201,27.4478,523,724,114.33,278.95,337.41,23.7654,64.7207,0.638087,90.7073,2.0514,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,1,GetDeleted,177,4.8030,2.20,203.19,372.21,5,28.2486,19,24,149.26,372.21,394.98,0.6715,3.6795,0.905873,4.4152,0.0613,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
e9_t0_audit,1,0,1,ScanIntersect,314,21.5088,50.03,199.41,286.83,10,31.8471,29,39,193.69,355.03,464.35,1.4559,4.1366,0.260006,0.0000,0.0000,0.0000,0.0000,5.8330,0.0139,0.5747,601,602,72,72,0
e9_t0_audit,1,0,1,ScanNonIntersect,2186,145.5576,52.16,151.45,264.63,59,26.9899,146,205,154.13,313.94,379.96,6.4901,18.1023,0.168953,0.0000,0.0000,0.0000,0.0000,26.1224,0.0978,3.9707,10,10,1,1,0
