exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
e9_t0_audit,E9-T0-AUDIT,0,"Phase A (Read Sensitive)",0.4869,100000,205398.4653,0.7863,340.4907,388.3386,330.5297,280.9857,319.1151,45.4052,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B (Write Burst)",7.3211,100000,13659.2330,22.5683,4966.5251,5011.8723,4748.7461,4757.3863,4757.3863,188.8220,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B-Inject (20% Window)",1.4642,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B-PostBurst (80% Window)",5.8568,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase C (Read Recovery)",12.9704,100000,7709.8538,20.3565,6859.8685,6864.0264,6535.2643,6643.0638,6635.0180,165.3564,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase A (Read Sensitive)",0.4089,100000,244582.9996,0.7267,304.9373,349.4790,296.0164,249.3688,315.2711,42.9693,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B (Write Burst)",7.0046,100000,14276.3432,19.9980,4945.5036,4987.6358,4722.9193,4754.5045,4748.7461,159.4526,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B-Inject (20% Window)",1.4009,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase B-PostBurst (80% Window)",5.6037,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
e9_t0_audit,E9-T0-AUDIT,0,"Phase C (Read Recovery)",12.3732,100000,8081.9861,18.0976,6889.0271,6889.0271,6480.0588,6667.2596,6659.1846,151.1728,0
