exp_id,rep,phase,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t0_r1,1,0,GetLive,58535,1164.4013,6.21,120.23,245.03,874,14.9312,4865,0,5739,121.91,310.53,393.55,118.9429,612.2982,0.627998,752.2403,18.2197,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,GetDeleted,1465,32.4745,2.52,164.86,304.38,22,15.0171,148,0,170,157.15,335.57,436.78,3.8833,24.2268,0.865608,28.7026,0.6151,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,ScanIntersect,2651,190.5864,53.54,197.12,370.86,41,15.4659,213,0,254,202.69,403.94,459.03,7.1149,34.335,0.217486,0.0,0.0,0.0,0.0,43.4406,0.1333,5.3161,5369,5096,585,585,0
e9_t0_r1,1,0,ScanNonIntersect,17349,1227.1406,55.96,162.97,289.63,261,15.0441,1450,0,1711,163.86,358.05,454.05,33.8382,177.8282,0.172487,0.0,0.0,0.0,0.0,224.7738,0.8222,34.4655,43,45,7,7,0
e9_t0_r1,1,0,Put,18800,217.3033,9.03,30.31,45.52,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,DeleteRange,1200,41.7225,32.18,54.52,65.87,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1200
e9_t0_r1,1,0,TOTAL_READS,80000,2614.6027,7.81,135.31,261.6,1198,14.975,6676,0,7874,136.54,324.58,414.85,163.7794,848.6882,0.387236,780.9428,18.8348,0.0,0.0,268.2144,0.9555,39.7816,5412,5141,592,592,0
e9_t0_r1,1,0,TOTAL_ALL,100000,2873.6285,8.39,113.91,242.81,1198,11.98,6676,0,7874,136.54,324.58,414.85,163.7794,848.6882,0.352331,780.9428,18.8348,0.0,0.0,268.2144,0.9555,39.7816,5412,5141,592,592,1200
e9_t0_r1,1,1,GetLive,16858,26566.6366,1081.96,4383.71,4700.08,2961,175.6436,8785,0,11746,2101.99,4499.43,4740.12,7621.9328,18191.8763,0.971663,25901.971,39.8756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,1,GetDeleted,3142,5816.5474,1623.78,4502.16,4760.27,544,173.1381,1612,0,2156,2992.63,4570.88,4800.82,1656.1732,4084.5389,0.986962,5757.8798,7.9635,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,1,ScanIntersect,6791,13491.9711,1762.19,4688.7,4936.52,1082,159.3285,3654,0,4736,2928.05,4760.27,4993.68,3139.5345,8879.7061,0.890844,0.0,0.0,0.0,0.0,12077.7323,2.3426,85.7446,19257,18031,11344,11344,0
e9_t0_r1,1,1,ScanNonIntersect,3209,4376.423,1022.05,3876.33,4598.66,538,167.6535,1695,0,2233,1700.3,4148.53,4700.08,1042.0667,2701.4783,0.855389,0.0,0.0,0.0,0.0,3767.5913,1.0167,35.6412,61,61,17,17,0
e9_t0_r1,1,1,Put,64000,2994.54,37.84,112.2,173.15,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,1,DeleteRange,6000,591.1405,90.38,177.29,245.77,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6000
e9_t0_r1,1,1,TOTAL_READS,30000,50251.5781,1220.62,4461.43,4795.01,5125,170.8333,15746,0,20871,2296.43,4570.88,4862.3,13459.7072,33857.5996,0.941608,31659.8508,47.8391,0.0,0.0,15845.3236,3.3594,121.3858,19318,18092,11361,11361,0
e9_t0_r1,1,1,TOTAL_ALL,100000,53837.2586,51.94,3637.39,4581.97,5125,51.25,15746,0,20871,2296.43,4570.88,4862.3,13459.7072,33857.5996,0.878895,31659.8508,47.8391,0.0,0.0,15845.3236,3.3594,121.3858,19318,18092,11361,11361,6000
e9_t0_r1,1,2,GetLive,40770,46020.7307,22.94,6237.35,6695.6,1383,33.922,6962,0,8345,5757.89,6691.54,7122.49,7779.4467,37019.0242,0.973441,44894.4739,81.9408,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,2,GetDeleted,19230,22018.9057,9.99,6294.3,6683.44,659,34.2694,3346,0,4005,5831.62,6675.34,7144.1,3733.8394,17997.6864,0.986948,21776.7686,39.1462,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,2,ScanIntersect,19655,27304.271,194.75,6515.49,6926.7,727,36.988,3558,0,4285,6018.3,6901.56,7467.2,4141.2695,19304.9769,0.858703,0.0,0.0,0.0,0.0,23542.8828,4.8744,190.1585,78139,72770,74873,74873,0
e9_t0_r1,1,2,ScanNonIntersect,345,415.3865,198.8,5963.84,6511.55,5,14.4928,61,0,66,5393.15,6511.55,14228.46,28.7911,317.7106,0.834167,0.0,0.0,0.0,0.0,348.1225,0.0826,3.3797,23,22,28,28,0
e9_t0_r1,1,2,Put,17200,898.9796,46.86,112.68,165.56,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,2,DeleteRange,2800,296.7344,98.44,174.31,248.77,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2800
e9_t0_r1,1,2,TOTAL_READS,80000,95759.294,27.78,6324.88,6769.03,2774,34.675,13927,0,16701,5835.16,6756.73,7222.44,15683.3468,74639.3981,0.943227,66671.2425,121.087,0.0,0.0,23891.0053,4.957,193.5382,78162,72792,74901,74901,0
e9_t0_r1,1,2,TOTAL_ALL,100000,96955.008,37.06,6207.19,6724.06,2774,27.74,13927,0,16701,5835.16,6756.73,7222.44,15683.3468,74639.3981,0.931594,66671.2425,121.087,0.0,0.0,23891.0053,4.957,193.5382,78162,72792,74901,74901,2800
e9_t512_r1,1,0,GetLive,58535,752.499,6.65,60.48,113.36,861,14.7091,3988,0,4849,69.48,128.05,156.87,49.117,252.2417,0.400477,320.5586,14.2581,0.393,1.6655,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r1,1,0,GetDeleted,1465,12.1802,2.7,62.49,110.92,28,19.1126,88,0,116,73.77,123.18,162.08,1.8701,5.9086,0.638635,8.247,0.3863,0.0134,0.0631,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r1,1,0,ScanIntersect,2651,171.2459,57.93,121.4,166.66,37,13.957,208,0,245,124.6,176.65,196.17,2.4215,13.4162,0.092485,0.0,0.0,0.0,0.0,17.6424,0.2439,6.4932,6283,5096,137,137,0
e9_t512_r1,1,0,ScanNonIntersect,17349,1146.387,59.93,116.14,164.26,271,15.6205,1191,0,1462,121.1,179.67,202.33,14.9365,74.7714,0.078253,0.0,0.0,0.0,0.0,101.7406,1.4099,39.6047,56,45,2,2,0
e9_t512_r1,1,0,Put,18800,215.9418,8.77,30.25,45.38,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r1,1,0,DeleteRange,1200,41.1536,32.11,52.29,72.22,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1200
e9_t512_r1,1,0,TOTAL_READS,80000,2082.3121,7.84,88.48,134.65,1197,14.9625,5475,0,6672,83.18,157.15,185.31,68.3451,346.3379,0.199145,328.8057,14.6445,0.4064,1.7286,119.3829,1.6537,46.0979,6339,5141,139,139,0
e9_t512_r1,1,0,TOTAL_ALL,100000,2339.4076,8.21,82.82,128.44,1197,11.97,5475,0,6672,83.18,157.15,185.31,68.3451,346.3379,0.17726,328.8057,14.6445,0.4064,1.7286,119.3829,1.6537,46.0979,6339,5141,139,139,1200
e9_t512_r1,1,1,GetLive,16858,943.933,40.57,148.0,202.69,3079,182.6433,6269,0,9348,81.78,167.17,219.44,219.245,426.7147,0.684328,667.4978,8.2858,0.8527,3.3316,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r1,1,1,GetDeleted,3142,139.481,29.1,128.98,161.01,581,184.9141,1125,0,1706,71.31,143.84,177.5,40.162,72.6093,0.808507,116.5738,1.5065,0.1624,0.6469,0.0,0.0,0.0,0,0,0,0,0
