exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t0_r1,1,0,0,GetLive,7314,136.7744,5.82,114.05,225.92,159,21.7391,530,0,689,119.07,299.26,379.96,20.5109,65.1116,0.626013,88.0454,2.0825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,0,GetDeleted,186,4.1627,2.27,164.86,280.31,5,26.8817,18,0,23,161.79,280.31,323.2,0.7647,2.9135,0.883626,3.7468,0.0631,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,0,ScanIntersect,335,24.6339,51.01,240.47,357.62,10,29.8507,32,0,42,210.97,363.08,407.38,2.0927,5.0965,0.291842,0.0,0.0,0.0,0.0,7.4325,0.0157,0.6356,685,640,73,73,0
e9_t0_r1,1,0,0,ScanNonIntersect,2165,146.9098,52.29,164.86,265.11,53,24.4804,181,0,234,157.53,340.08,394.03,7.177,20.2334,0.18658,0.0,0.0,0.0,0.0,29.0239,0.0996,4.1315,4,6,1,1,0
e9_t0_r1,1,0,0,Put,2350,26.13,8.51,30.02,43.76,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,0,DeleteRange,150,4.9904,31.3,48.98,61.73,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t0_r1,1,0,1,GetLive,7323,148.2218,6.57,122.8,259.23,67,9.1493,640,0,707,126.27,318.34,404.92,10.3929,82.6805,0.627933,95.918,2.4213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,1,GetDeleted,177,4.7149,2.64,187.91,377.21,3,16.9492,21,0,24,151.72,377.21,425.8,0.7939,3.382,0.885681,4.2561,0.0723,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,1,ScanIntersect,314,23.6193,55.02,196.05,388.57,3,9.5541,29,0,32,192.99,447.23,453.5,0.8687,4.5947,0.231309,0.0,0.0,0.0,0.0,5.7149,0.0164,0.6414,601,602,72,72,0
e9_t0_r1,1,0,1,ScanNonIntersect,2186,156.5508,57.82,162.38,292.45,30,13.7237,199,0,229,154.23,351.39,455.15,4.7408,21.5186,0.167737,0.0,0.0,0.0,0.0,27.9901,0.1076,4.4018,10,10,1,1,0
e9_t0_r1,1,0,1,Put,2350,27.4361,9.47,29.48,45.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,1,DeleteRange,150,5.2762,32.69,50.79,76.97,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t0_r1,1,0,2,GetLive,7301,145.7874,6.2,122.95,245.92,76,10.4095,657,0,733,122.65,299.99,385.53,10.908,82.4536,0.640396,96.1321,2.2649,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,2,GetDeleted,199,3.6952,2.58,165.16,235.56,1,5.0251,20,0,21,164.06,235.56,304.57,0.2093,2.8967,0.840551,3.1819,0.0904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,2,ScanIntersect,315,21.8089,54.16,188.94,360.45,0,0.0,21,0,21,228.53,448.31,463.5,0.0,3.9693,0.182002,0.0,0.0,0.0,0.0,4.2022,0.0155,0.6154,634,611,68,68,0
e9_t0_r1,1,0,2,ScanNonIntersect,2185,146.4931,54.56,153.57,274.09,20,9.1533,179,0,199,157.82,355.03,462.38,2.9996,20.7371,0.162033,0.0,0.0,0.0,0.0,25.3551,0.1,4.1271,7,7,1,1,0
e9_t0_r1,1,0,2,Put,2350,27.073,8.98,31.15,45.68,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,2,DeleteRange,150,5.3319,32.93,57.37,62.18,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t0_r1,1,0,3,GetLive,7308,136.4917,5.53,117.13,218.11,181,24.7674,550,0,731,117.13,263.98,353.53,18.4746,68.7298,0.638899,89.477,2.0026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,3,GetDeleted,192,3.2093,2.09,143.84,195.81,7,36.4583,13,0,20,143.41,195.81,198.8,0.9854,1.765,0.856988,2.8175,0.0613,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t0_r1,1,0,3,ScanIntersect,360,20.58,45.16,144.98,239.3,8,22.2222,22,0,30,153.85,280.99,312.99,0.9039,2.5715,0.168877,0.0,0.0,0.0,0.0,3.6815,0.0149,0.574,748,717,88,88,0
e9_t0_r1,1,0,3,ScanNonIntersect,2140,139.7047,49.49,161.1,251.04,45,21.028,151,0,196,167.78,329.73,384.59,5.3039,19.4561,0.177231,0.0,0.0,0.0,0.0,26.1944,0.0889,3.7937,6,4,0,0,0
