exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,num_l0_files,pending_compaction_bytes
e9_t0_r1,T0,0,Phase A (Read Sensitive),0.4397,100000,227448.0028,0.7264,298.5383,370.8605,289.629,245.0251,304.3835,45.5154,0,3,0
e9_t0_r1,T0,0,Phase B (Write Burst),7.0598,100000,14164.689,21.3029,4894.8213,4936.5217,4598.6629,4700.0801,4760.2699,173.1494,0,3,0
e9_t0_r1,T0,0,Phase B-Inject (20% Window),1.412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r1,T0,0,Phase B-PostBurst (80% Window),5.6478,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r1,T0,0,Phase C (Read Recovery),12.9412,100000,7727.2784,20.324,6926.699,6926.699,6511.5475,6695.5996,6683.4392,165.5569,0,3,0
e9_t512_r1,Native-T512,512,Phase A (Read Sensitive),0.3593,100000,278323.2271,0.6751,164.4571,166.6641,164.2579,113.3636,110.9175,45.3777,0,5,141742227
e9_t512_r1,Native-T512,512,Phase B (Write Burst),0.6601,100000,151487.6996,1.8331,325.5604,313.3665,344.0162,202.6946,161.006,102.3913,0,6,18305395
e9_t512_r1,Native-T512,512,Phase B-Inject (20% Window),0.132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r1,Native-T512,512,Phase B-PostBurst (80% Window),0.5281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r1,Native-T512,512,Phase C (Read Recovery),0.6492,100000,154042.9309,1.7536,309.9672,309.9672,302.3614,157.8185,144.0194,85.8389,0,5,12937482
e9_v2a_r1,RTP-MC-V2-A,0,Phase A (Read Sensitive),0.422,100000,236970.0114,0.7369,267.8519,294.2281,263.6651,203.9265,216.6654,45.9309,0,4,141585723
e9_v2a_r1,RTP-MC-V2-A,0,Phase B (Write Burst),1.0764,100000,92904.9941,2.9607,893.4137,916.4426,827.2401,715.2761,653.5264,101.8962,0,7,13791938
e9_v2a_r1,RTP-MC-V2-A,0,Phase B-Inject (20% Window),0.2153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r1,RTP-MC-V2-A,0,Phase B-PostBurst (80% Window),0.8611,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r1,RTP-MC-V2-A,0,Phase C (Read Recovery),0.8714,100000,114762.146,2.2888,763.1881,762.2637,1012.8061,582.1032,602.9248,97.4281,0,7,4579677
e9_t512_r2,Native-T512,512,Phase A (Read Sensitive),0.3567,100000,280373.3976,0.6837,168.4919,166.4623,168.594,107.9339,107.8032,47.3725,0,5,141717601
e9_t512_r2,Native-T512,512,Phase B (Write Burst),0.6486,100000,154178.1235,1.7777,321.444,320.2774,328.3339,199.0432,177.0753,92.6493,0,6,18420328
e9_t512_r2,Native-T512,512,Phase B-Inject (20% Window),0.1297,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r2,Native-T512,512,Phase B-PostBurst (80% Window),0.5189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r2,Native-T512,512,Phase C (Read Recovery),0.6224,100000,160660.3903,1.7966,320.2774,319.6957,361.1034,152.4607,138.5412,76.4114,0,5,12935255
e9_v2a_r2,RTP-MC-V2-A,0,Phase A (Read Sensitive),0.4362,100000,229254.3803,0.795,267.5275,314.6985,264.1448,209.9449,220.7737,48.4172,0,4,141728598
e9_v2a_r2,RTP-MC-V2-A,0,Phase B (Write Burst),0.9796,100000,102077.6961,2.9718,1033.2622,1045.2268,891.7911,831.7638,820.2521,98.8553,0,7,14384973
e9_v2a_r2,RTP-MC-V2-A,0,Phase B-Inject (20% Window),0.1959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r2,RTP-MC-V2-A,0,Phase B-PostBurst (80% Window),0.7837,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r2,RTP-MC-V2-A,0,Phase C (Read Recovery),0.8327,100000,120086.3929,2.1239,930.4311,913.6702,1158.6369,769.6899,626.0067,95.673,0,6,4078393
e9_t0_r2,T0,0,Phase A (Read Sensitive),0.5367,100000,186312.8097,0.9029,433.616,452.4039,431.5191,342.9755,448.039,52.9278,0,3,0
e9_t0_r2,T0,0,Phase B (Write Burst),7.2172,100000,13855.7425,21.6361,4948.5012,5008.8363,4742.9946,4754.5045,4812.4743,182.6329,0,3,0
e9_t0_r2,T0,0,Phase B-Inject (20% Window),1.4434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r2,T0,0,Phase B-PostBurst (80% Window),5.7738,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r2,T0,0,Phase C (Read Recovery),12.6306,100000,7917.279,19.5477,6884.854,6884.854,6409.765,6667.2596,6655.1507,182.4117,0,3,0
e9_v2a_r3,RTP-MC-V2-A,0,Phase A (Read Sensitive),0.4141,100000,241467.7567,0.7757,261.5963,282.0091,259.3865,204.1738,235.4193,48.2708,0,4,141296280
e9_v2a_r3,RTP-MC-V2-A,0,Phase B (Write Burst),1.2052,100000,82971.5046,3.2785,1138.4548,1177.7487,961.3792,899.3886,902.1176,105.541,0,3,0
e9_v2a_r3,RTP-MC-V2-A,0,Phase B-Inject (20% Window),0.241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r3,RTP-MC-V2-A,0,Phase B-PostBurst (80% Window),0.9642,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_v2a_r3,RTP-MC-V2-A,0,Phase C (Read Recovery),0.8642,100000,115719.8593,2.1301,714.4097,712.2486,830.7564,548.2105,506.6836,97.7237,0,7,4190540
e9_t0_r3,T0,0,Phase A (Read Sensitive),0.5411,100000,184805.9931,0.8653,415.1049,498.1595,397.866,319.8895,444.5235,51.4729,0,3,0
e9_t0_r3,T0,0,Phase B (Write Burst),7.1999,100000,13889.06,21.4442,4945.5036,4966.5251,4774.7141,4754.5045,4786.3009,179.9961,0,3,0
e9_t0_r3,T0,0,Phase B-Inject (20% Window),1.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r3,T0,0,Phase B-PostBurst (80% Window),5.7599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t0_r3,T0,0,Phase C (Read Recovery),12.7891,100000,7819.1566,19.8551,6843.2618,6843.2618,6728.1356,6622.9676,6626.982,161.6904,0,3,0
e9_t512_r3,Native-T512,512,Phase A (Read Sensitive),0.3552,100000,281558.385,0.6638,160.9085,162.8704,160.811,108.1958,102.702,48.2708,0,5,141773109
e9_t512_r3,Native-T512,512,Phase B (Write Burst),0.7528,100000,132843.1166,1.9133,360.8847,365.7277,345.6879,202.6946,185.8705,477.1822,0,6,18376237
e9_t512_r3,Native-T512,512,Phase B-Inject (20% Window),0.1506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r3,Native-T512,512,Phase B-PostBurst (80% Window),0.6022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
e9_t512_r3,Native-T512,512,Phase C (Read Recovery),0.7173,100000,139416.6827,1.8473,369.067,368.3967,414.351,187.5676,172.4165,88.7479,0,3,0
