exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,"Formal V2 Baseline T=0",0,500000,256,0.6714,0.5558,0.0000,446795.1828,446795.1828,0.5712,107.4771,15.8489,59.3860,40.0284,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9449,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,"Formal V2 Baseline T=0",0,500000,256,0.9115,0.7848,0.0000,329121.8871,329121.8871,0.5019,122.0616,23.9158,56.7132,43.4142,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9468,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.9685,0.7584,0.1405,309743.9324,309743.9324,0.5109,120.0808,24.4580,65.9494,42.0931,0,1,9.7036,0.0000,0.0000,0.7949,0.0000,0.7949,1,9.7036,78.5571,0.7949,6.4354,7.2303,78.5571,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7414,0.6153,0.0000,404613.2345,403938.8791,0.4563,90.5403,14.4719,13.4733,27.8275,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9503,500000,500000,d36a2e36523ba72bee48e28b66604cf2e15d20ef6607dd70ddb145760acf9d9c,PASS
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8606,0.6657,0.0643,348582.5795,348582.5795,0.6644,131.8257,17.4519,71.3112,46.2381,0,1,9.7036,0.0000,0.0000,0.7949,0.0000,0.7949,1,9.7036,78.5571,0.7949,6.4354,7.2303,78.5571,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8092,0.6881,0.0000,370728.8514,370110.9700,0.4578,91.8110,13.6293,24.4284,24.7262,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9471,500000,500000,d36a2e36523ba72bee48e28b66604cf2e15d20ef6607dd70ddb145760acf9d9c,PASS
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,"Formal V2 Baseline T=0",512,500000,256,0.7752,0.6461,0.0000,386990.2435,386990.2435,0.4651,118.8502,24.3545,60.9168,42.7356,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9452,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,"Formal V2 Baseline T=0",256,500000,256,0.8557,0.7282,0.0000,350579.3879,350579.3879,0.5095,103.3262,17.6540,28.2009,42.5031,0,1,3.3189,0.0000,0.0000,0.2719,0.0000,0.2719,1,3.3189,104.1184,0.2719,8.5294,8.8013,104.1184,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,"Formal V2 Baseline T=0",256,500000,256,0.7293,0.6001,0.0000,411354.4485,411354.4485,0.6123,110.3142,15.7246,32.6944,44.2374,0,1,3.3223,0.0000,0.0000,0.2722,0.0000,0.2722,1,3.3223,104.1183,0.2722,8.5294,8.8015,104.1183,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,"Formal V2 Baseline T=0",512,500000,256,0.7919,0.6667,0.0000,378823.4399,378823.4399,0.6911,151.8154,19.4159,75.3995,52.2586,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9452,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_clean_rep02,E5-Cold-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7245,0.5987,0.0000,414066.9405,413376.8289,0.4414,90.8151,13.1029,23.6563,24.5174,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,500000,500000,d36a2e36523ba72bee48e28b66604cf2e15d20ef6607dd70ddb145760acf9d9c,PASS
formal_e5_e5_hot_t256_rep02,E5-Hot-T256,"Formal V2 Baseline T=0",256,500000,256,0.7412,0.6139,0.0000,404751.4316,404751.4316,0.6413,112.1339,16.6563,37.8580,43.6516,0,1,3.3031,0.0000,0.0000,0.2706,0.0000,0.2706,1,3.3031,104.1184,0.2706,8.5294,8.8000,104.1184,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
formal_e5_e5_cold_t0_rep02,E5-Cold-T0,"Formal V2 Baseline T=0",0,500000,256,0.8216,0.7143,0.0000,365130.3820,365130.3820,0.4698,119.0665,23.4565,50.3013,42.5289,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9463,300000,300000,2d83f3e7cca6759bcabeccd03252c6cda5a42270c2d8fcdac8daeb7ec6d85c08,PASS
