exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_e6_e6_c448_t512_rep01,E6-C448-T512,"Formal V2 Baseline T=0",512,500000,256,0.7127,0.5772,0.0000,420932.8497,420932.8497,0.6957,112.2018,24.2661,18.4077,46.9439,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9483,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8151,0.6937,0.0000,368050.4529,367579.3484,0.4986,114.0526,20.7919,15.4226,26.3186,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9510,500000,500000,70c2b0b24680e49d1b6f2d4c1e7d94203faa9d1c702c48ceea55c68ffb97f5b5,PASS
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.9615,0.8212,0.0000,312010.8015,311744.5523,0.5739,110.6490,21.2119,15.3946,31.1662,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9462,500000,500000,90d6f2416221f74ca8d8a97df3f34807ccbf61bbdb4d2e83f57fafc7b1c71fe8,PASS
formal_e6_e6_c384_t512_rep01,E6-C384-T512,"Formal V2 Baseline T=0",512,500000,256,0.6899,0.5425,0.0000,434877.0224,434877.0224,0.6887,112.3379,23.2443,16.9824,43.2828,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8691,0.6594,0.0915,345196.0969,345196.0969,0.8172,125.9688,29.3872,19.7961,51.0691,0,1,9.6940,0.0000,0.0000,0.7941,0.0000,0.7941,1,9.6940,78.5696,0.7941,6.4364,7.2306,78.5696,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c448_t256_rep01,E6-C448-T256,"Formal V2 Baseline T=0",256,500000,256,0.7722,0.5998,0.0000,388511.3873,388511.3873,0.7426,106.4401,23.3289,15.9646,40.0770,0,1,3.4368,0.0000,0.0000,0.2815,0.0000,0.2815,1,3.4368,101.0175,0.2815,8.2754,8.5569,101.0175,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c256_t512_rep01,E6-C256-T512,"Formal V2 Baseline T=0",512,500000,256,0.7661,0.6247,0.0000,391572.5255,391572.5255,0.7464,116.9216,24.5769,15.5163,43.7575,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9482,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c256_t256_rep01,E6-C256-T256,"Formal V2 Baseline T=0",256,500000,256,0.7362,0.5987,0.0000,407525.1751,407525.1751,0.7545,117.4898,22.4008,15.9936,41.6364,0,1,5.0757,0.0000,0.0000,0.4158,0.0000,0.4158,1,5.0757,78.5696,0.4158,6.4364,6.8522,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_oracleflush_rep01,E6-C384-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8063,0.6141,0.0531,372082.0322,372082.0322,0.7520,116.4267,25.1951,16.1592,42.4260,0,1,9.7374,0.0000,0.0000,0.7977,0.0000,0.7977,1,9.7374,78.5694,0.7977,6.4364,7.2341,78.5694,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c448_clean_rep01,E6-C448-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8155,0.6949,0.0000,367875.5366,367326.1758,0.5011,98.7356,18.6661,14.2803,26.7852,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9468,500000,500000,be6c5c8ec3bfc80a6e3520620c40aca2dc6af2185e31a252f4c64e20f017fd01,PASS
formal_e6_e6_c384_t256_rep01,E6-C384-T256,"Formal V2 Baseline T=0",256,500000,256,0.7024,0.5667,0.0000,427112.0854,427112.0854,0.7125,109.0515,21.4705,15.7914,43.5723,0,1,3.5755,0.0000,0.0000,0.2929,0.0000,0.2929,1,3.5755,96.0275,0.2929,7.8666,8.1595,96.0275,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c256_oracleflush_rep01,E6-C256-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8088,0.5997,0.0762,370924.4725,370924.4725,0.7438,113.6387,22.0239,14.6218,45.5982,0,1,9.7153,0.0000,0.0000,0.7959,0.0000,0.7959,1,9.7153,78.5696,0.7959,6.4364,7.2323,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c448_t512_rep02,E6-C448-T512,"Formal V2 Baseline T=0",512,500000,256,0.7778,0.6526,0.0000,385720.1792,385720.1792,0.7574,130.6329,27.9796,19.1356,54.3909,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c384_clean_rep02,E6-C384-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7984,0.6737,0.0000,375729.8590,375248.9248,0.4977,95.6730,17.9452,14.0486,28.1497,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9449,500000,500000,70c2b0b24680e49d1b6f2d4c1e7d94203faa9d1c702c48ceea55c68ffb97f5b5,PASS
formal_e6_e6_c448_t256_rep02,E6-C448-T256,"Formal V2 Baseline T=0",256,500000,256,0.7402,0.5953,0.0000,405318.2948,405318.2948,0.7244,110.6490,23.1038,16.1592,42.9172,0,1,3.4495,0.0000,0.0000,0.2826,0.0000,0.2826,1,3.4495,100.9023,0.2826,8.2659,8.5485,100.9023,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c256_t256_rep02,E6-C256-T256,"Formal V2 Baseline T=0",256,500000,256,0.6731,0.5326,0.0000,445721.6198,445721.6198,0.7034,104.3961,21.5356,14.6839,37.6065,0,1,4.2542,0.0000,0.0000,0.3485,0.0000,0.3485,1,4.2542,78.5696,0.3485,6.4364,6.7849,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_t512_rep02,E6-C384-T512,"Formal V2 Baseline T=0",512,500000,256,0.7614,0.6318,0.0000,394004.9649,394004.9649,0.7273,118.9223,25.2562,16.4158,50.1491,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9443,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c256_t512_rep02,E6-C256-T512,"Formal V2 Baseline T=0",512,500000,256,0.6222,0.5186,0.0000,482193.9105,482193.9105,0.6421,103.8912,19.5221,14.3410,38.7398,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9492,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_oracleflush_rep02,E6-C384-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.7519,0.5610,0.0708,399009.7668,399009.7668,0.6905,107.2819,23.2584,15.1632,41.9149,0,1,9.7374,0.0000,0.0000,0.7977,0.0000,0.7977,1,9.7374,78.5694,0.7977,6.4364,7.2341,78.5694,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c448_oracleflush_rep02,E6-C448-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.9516,0.6620,0.1536,315264.3094,315264.3094,0.7753,122.3578,26.3825,18.1420,49.6352,0,1,9.6940,0.0000,0.0000,0.7941,0.0000,0.7941,1,9.6940,78.5696,0.7941,6.4364,7.2306,78.5696,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c256_clean_rep02,E6-C256-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8980,0.7594,0.0000,334061.8930,333776.8269,0.5328,107.1519,20.5913,14.6573,29.9807,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,500000,500000,90d6f2416221f74ca8d8a97df3f34807ccbf61bbdb4d2e83f57fafc7b1c71fe8,PASS
formal_e6_e6_c256_oracleflush_rep02,E6-C256-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8046,0.6039,0.0735,372869.4584,372869.4584,0.7357,114.3987,22.3330,15.2368,40.1742,0,1,9.7153,0.0000,0.0000,0.7959,0.0000,0.7959,1,9.7153,78.5696,0.7959,6.4364,7.2323,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_t256_rep02,E6-C384-T256,"Formal V2 Baseline T=0",256,500000,256,0.7002,0.5603,0.0000,428464.7482,428464.7482,0.7155,103.5770,21.9706,15.0990,37.0187,0,1,3.5586,0.0000,0.0000,0.2915,0.0000,0.2915,1,3.5586,96.0284,0.2915,7.8666,8.1582,96.0284,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c448_clean_rep02,E6-C448-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8553,0.7208,0.0000,350734.1123,350210.3494,0.5312,107.5422,19.0546,14.7911,27.3759,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9465,500000,500000,be6c5c8ec3bfc80a6e3520620c40aca2dc6af2185e31a252f4c64e20f017fd01,PASS
formal_e6_e6_c384_t512_rep03,E6-C384-T512,"Formal V2 Baseline T=0",512,500000,256,0.7616,0.6307,0.0000,393893.2172,393893.2172,0.7255,118.0607,26.9807,16.3266,47.8050,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9472,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c256_t512_rep03,E6-C256-T512,"Formal V2 Baseline T=0",512,500000,256,0.6881,0.5437,0.0000,435969.8741,435969.8741,0.6565,111.6593,22.5643,15.5446,37.2888,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9489,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c448_oracleflush_rep03,E6-C448-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8373,0.6015,0.0902,358301.4629,358301.4629,0.7394,119.0665,26.9643,18.6209,45.6535,0,1,9.6940,0.0000,0.0000,0.7941,0.0000,0.7941,1,9.6940,78.5696,0.7941,6.4364,7.2306,78.5696,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c448_t256_rep03,E6-C448-T256,"Formal V2 Baseline T=0",256,500000,256,0.7396,0.6031,0.0000,405599.2550,405599.2550,0.7413,113.8455,22.6876,16.0908,47.4299,0,1,3.4285,0.0000,0.0000,0.2809,0.0000,0.2809,1,3.4285,101.0179,0.2809,8.2754,8.5562,101.0179,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c384_oracleflush_rep03,E6-C384-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8989,0.6752,0.0805,333739.3744,333739.3744,0.7602,132.4663,26.1438,16.7373,46.9723,0,1,9.7374,0.0000,0.0000,0.7977,0.0000,0.7977,1,9.7374,78.5694,0.7977,6.4364,7.2341,78.5694,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c256_clean_rep03,E6-C256-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.8281,0.6976,0.0000,362286.2790,361977.1280,0.4980,100.4859,19.3807,14.7374,26.6557,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9489,500000,500000,90d6f2416221f74ca8d8a97df3f34807ccbf61bbdb4d2e83f57fafc7b1c71fe8,PASS
formal_e6_e6_c256_t256_rep03,E6-C256-T256,"Formal V2 Baseline T=0",256,500000,256,0.8134,0.6677,0.0000,368824.3906,368824.3906,0.8041,118.4907,24.3545,15.5823,45.4052,0,1,4.4751,0.0000,0.0000,0.3666,0.0000,0.3666,1,4.4751,78.5696,0.3666,6.4364,6.8030,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_clean_rep03,E6-C384-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.9042,0.7670,0.0000,331800.1358,331375.4316,0.5244,108.3927,19.9043,14.9987,28.6487,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9510,500000,500000,70c2b0b24680e49d1b6f2d4c1e7d94203faa9d1c702c48ceea55c68ffb97f5b5,PASS
formal_e6_e6_c448_clean_rep03,E6-C448-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7515,0.6321,0.0000,399225.5020,398629.3252,0.4694,90.5403,16.6361,13.4325,27.8443,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9489,500000,500000,be6c5c8ec3bfc80a6e3520620c40aca2dc6af2185e31a252f4c64e20f017fd01,PASS
formal_e6_e6_c384_t256_rep03,E6-C384-T256,"Formal V2 Baseline T=0",256,500000,256,0.7255,0.6045,0.0000,413499.2971,413499.2971,0.7507,113.1577,23.2161,14.8720,45.5705,0,1,3.5928,0.0000,0.0000,0.2943,0.0000,0.2943,1,3.5928,95.8912,0.2943,7.8554,8.1497,95.8912,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c448_t512_rep03,E6-C448-T512,"Formal V2 Baseline T=0",512,500000,256,0.7332,0.6176,0.0000,409141.3614,409141.3614,0.7443,121.2507,26.8339,17.5579,50.4539,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,300000,300000,a445c5ebcb70ac90bd41692dcea329670c60d9f246f806809bb711eb51fc917d,PASS
formal_e6_e6_c256_oracleflush_rep03,E6-C256-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8857,0.6798,0.0731,338696.2276,338696.2276,0.7890,125.2837,25.7507,15.1723,53.8009,0,1,9.7153,0.0000,0.0000,0.7959,0.0000,0.7959,1,9.7153,78.5696,0.7959,6.4364,7.2323,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c256_t256_rep04,E6-C256-T256,"Formal V2 Baseline T=0",256,500000,256,0.7538,0.6175,0.0000,397970.1875,397970.1875,0.7333,112.2699,22.7152,14.2198,40.9608,0,1,4.4054,0.0000,0.0000,0.3609,0.0000,0.3609,1,4.4054,78.5696,0.3609,6.4364,6.7973,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
formal_e6_e6_c384_t512_rep04,E6-C384-T512,"Formal V2 Baseline T=0",512,500000,256,0.7453,0.6115,0.0000,402517.5779,402517.5779,0.7237,115.2336,24.5769,16.3266,46.0703,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,300000,300000,6b12456e91ba7f645398292afd77eeb8713b1a812efcf07bf5d0cc8f4037cc6b,PASS
formal_e6_e6_c256_oracleflush_rep04,E6-C256-OracleFlush,"Formal V2 Baseline T=0",0,500000,256,0.8807,0.6011,0.1475,340643.7155,340643.7155,0.7553,116.9925,21.9307,15.4882,38.5058,0,1,9.7153,0.0000,0.0000,0.7959,0.0000,0.7959,1,9.7153,78.5696,0.7959,6.4364,7.2323,78.5696,300000,300000,f3e79be051d71f7c86915f2da81a2ddcb0729de1d80acd3526efe14f3dce7cb8,PASS
