exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_e7_e7_t512_rep01,E7-T512,"Formal V2 Baseline T=0",512,500000,1024,1.6685,1.5221,0.0000,179797.6395,179797.6395,1.9542,373.7934,29.6375,24.4284,43.5723,0,3,124.4786,0.0000,0.0000,0.5424,0.0000,0.5424,4,179.7395,324.1058,0.7832,1.4123,2.1955,556.2126,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t256_rep01,E7-T256,"Formal V2 Baseline T=0",256,500000,1024,1.9827,1.8647,0.0000,151312.5112,151312.5112,2.3165,557.5910,41.5860,25.6107,72.6194,0,4,127.7512,0.0000,0.0000,0.5567,0.0000,0.5567,5,183.7446,274.5683,0.8007,1.1964,1.9971,624.5659,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t2048_rep01,E7-T2048,"Formal V2 Baseline T=0",2048,500000,1024,1.5837,1.4440,0.0000,189430.7492,189430.7492,1.9267,359.3572,33.9050,22.0239,49.2756,0,2,111.7675,0.0000,0.0000,0.4870,0.0000,0.4870,3,167.5877,580.5878,0.7303,2.5299,3.2601,432.5530,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_clean_rep01,E7-CLEAN,"Formal V2 Baseline T=0",0,500000,1024,1.5542,1.4046,0.0000,193022.6435,192528.5055,1.7855,325.7577,27.7769,31.6995,44.8854,0,1,55.7471,0.0000,0.0000,0.2429,0.0000,0.2429,3,166.9206,303.8845,0.7273,1.3242,2.0515,643.8650,500000,500000,16cbeb811997eba3c9fca069eb31fa7947a266a49cc505872374066e7fdd5d53,PASS
formal_e7_e7_t2048_rep02,E7-T2048,"Formal V2 Baseline T=0",2048,500000,1024,1.7184,1.5651,0.0000,174577.5442,174577.5442,2.1234,422.9761,38.8339,26.0331,52.6400,0,3,167.6892,0.0000,0.0000,0.7307,0.0000,0.7307,3,167.6892,580.6434,0.7307,2.5301,3.2608,432.5512,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t512_rep02,E7-T512,"Formal V2 Baseline T=0",512,500000,1024,2.0011,1.8266,0.0000,149917.0521,149917.0521,2.1477,463.2223,39.7866,25.4560,53.8009,0,3,124.7508,0.0000,0.0000,0.5436,0.0000,0.5436,4,180.7362,332.8159,0.7875,1.4502,2.2378,561.5425,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t256_rep02,E7-T256,"Formal V2 Baseline T=0",256,500000,1024,1.9160,1.8002,0.0000,156576.3553,156576.3553,2.3948,519.4291,41.1349,23.9883,73.4158,0,3,68.6872,0.0000,0.0000,0.2993,0.0000,0.2993,5,179.1730,274.0435,0.7807,1.1941,1.9749,619.5104,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_clean_rep02,E7-CLEAN,"Formal V2 Baseline T=0",0,500000,1024,1.5164,1.3713,0.0000,197832.4843,197326.0331,1.9145,344.0162,25.0581,27.7601,38.8339,0,2,111.4854,0.0000,0.0000,0.4858,0.0000,0.4858,3,166.5269,303.8820,0.7256,1.3241,2.0498,643.3785,500000,500000,16cbeb811997eba3c9fca069eb31fa7947a266a49cc505872374066e7fdd5d53,PASS
formal_e7_e7_t512_rep03,E7-T512,"Formal V2 Baseline T=0",512,500000,1024,1.8897,1.7812,0.0000,158753.4080,158753.4080,2.0256,435.4591,37.0187,23.9448,48.8297,0,3,124.6829,0.0000,0.0000,0.5433,0.0000,0.5433,4,180.3036,324.6162,0.7857,1.4145,2.2002,557.0580,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t256_rep03,E7-T256,"Formal V2 Baseline T=0",256,500000,1024,2.0491,1.8967,0.0000,146408.0935,146408.0935,2.3448,535.7317,39.2360,22.9643,61.2128,0,3,68.8321,0.0000,0.0000,0.2999,0.0000,0.2999,5,180.5958,274.3121,0.7869,1.1953,1.9822,621.1566,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_clean_rep03,E7-CLEAN,"Formal V2 Baseline T=0",0,500000,1024,2.0844,1.9257,0.0000,143923.2800,143554.8364,2.0159,383.4283,29.9626,34.8000,48.1539,0,2,111.1368,0.0000,0.0000,0.4843,0.0000,0.4843,3,166.6916,303.6033,0.7263,1.3229,2.0493,643.8825,500000,500000,16cbeb811997eba3c9fca069eb31fa7947a266a49cc505872374066e7fdd5d53,PASS
formal_e7_e7_t2048_rep03,E7-T2048,"Formal V2 Baseline T=0",2048,500000,1024,2.2740,2.1333,0.0000,131928.0426,131928.0426,2.1482,452.4039,45.9866,35.6754,51.2551,0,1,55.8010,0.0000,0.0000,0.2431,0.0000,0.2431,3,167.5199,580.5468,0.7300,2.5297,3.2597,432.3966,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t256_rep04,E7-T256,"Formal V2 Baseline T=0",256,500000,1024,2.4541,2.3354,0.0000,122244.4650,122244.4650,2.4148,596.3845,49.7858,27.9966,78.6188,0,3,68.9212,0.0000,0.0000,0.3003,0.0000,0.3003,5,180.1518,274.8451,0.7850,1.1976,1.9826,621.0536,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t512_rep04,E7-T512,"Formal V2 Baseline T=0",512,500000,1024,2.1404,1.9823,0.0000,140163.3744,140163.3744,2.1172,437.8404,40.9856,29.2451,51.7231,0,2,68.6734,0.0000,0.0000,0.2992,0.0000,0.2992,4,180.0314,327.0239,0.7845,1.4250,2.2095,557.0547,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_clean_rep04,E7-CLEAN,"Formal V2 Baseline T=0",0,500000,1024,1.8928,1.7261,0.0000,158496.5344,158090.7833,2.1536,409.6080,32.0083,35.0539,49.1861,0,2,111.6760,0.0000,0.0000,0.4866,0.0000,0.4866,3,167.2598,303.8815,0.7288,1.3241,2.0530,644.2172,500000,500000,16cbeb811997eba3c9fca069eb31fa7947a266a49cc505872374066e7fdd5d53,PASS
formal_e7_e7_t2048_rep04,E7-T2048,"Formal V2 Baseline T=0",2048,500000,1024,2.2805,2.1258,0.0000,131547.5576,131547.5576,2.0340,421.9521,43.0474,27.7601,48.5053,0,1,55.7524,0.0000,0.0000,0.2429,0.0000,0.2429,3,167.6186,580.5457,0.7304,2.5297,3.2601,432.5032,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_clean_rep05,E7-CLEAN,"Formal V2 Baseline T=0",0,500000,1024,1.8433,1.6985,0.0000,162751.8280,162335.1834,2.2180,615.4752,37.3793,41.8388,60.0737,0,2,111.0679,0.0000,0.0000,0.4840,0.0000,0.4840,3,166.8481,303.8046,0.7270,1.3238,2.0508,643.8898,500000,500000,16cbeb811997eba3c9fca069eb31fa7947a266a49cc505872374066e7fdd5d53,PASS
formal_e7_e7_t256_rep05,E7-T256,"Formal V2 Baseline T=0",256,500000,1024,2.0066,1.8554,0.0000,149505.5173,149505.5173,2.3864,567.4758,43.4932,26.7527,78.1912,0,4,124.6391,0.0000,0.0000,0.5431,0.0000,0.5431,5,180.5499,325.7007,0.7867,1.4192,2.2060,557.5495,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
formal_e7_e7_t512_rep05,E7-T512,"Formal V2 Baseline T=0",512,500000,1024,1.6490,1.5352,0.0000,181923.6526,181923.6526,2.0612,422.4638,34.1317,24.3545,47.3438,0,3,124.2356,0.0000,0.0000,0.5413,0.0000,0.5413,4,180.1065,584.1198,0.7848,2.5453,3.3301,435.2105,300000,300000,64d14cb9127c1459c3096080337c78b1c7fec5ecf3a8f09e1cb070fdcca40f50,PASS
