exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_f1_t512_rep01,T512,"Formal V2 Baseline T=0",512,500000,256,1.6692,1.6184,179729.0896,179729.0896,1.0950,301.2641,129.9225,137.2045,95.9633,99,19,25.2265,289.0171,254.8144,1.0333,10.4372,11.4705,19,25.2265,341.2822,1.0333,13.9789,15.0122,87.3455,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t0_rep01,T0,"Formal V2 Baseline T=0",0,500000,256,18.8434,18.7972,15920.6568,15920.6568,8.0565,6324.8850,6043.8794,6218.4796,164.9561,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t2048_rep01,T2048,"Formal V2 Baseline T=0",2048,500000,256,4.4407,4.3783,67556.7947,67556.7947,2.4121,1313.4727,1086.5573,1092.4990,145.5988,99,4,21.6059,137.9037,120.5018,0.8850,4.9358,5.8207,4,21.6059,120.5018,0.8850,4.9358,5.8207,135.8555,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t256_rep01,T256,"Formal V2 Baseline T=0",256,500000,256,3.6062,3.5429,83188.9090,83188.9090,1.5829,541.2788,177.6126,160.8110,1197.9013,99,36,25.7641,413.7491,362.5558,1.0553,14.8503,15.9056,36,25.7641,451.8454,1.0553,18.5076,19.5629,89.2896,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t1024_rep01,T1024,"Formal V2 Baseline T=0",1024,500000,256,2.4188,2.3590,124026.0603,124026.0603,1.4696,533.7875,366.6153,380.4198,102.2054,99,9,23.9954,272.2940,231.2486,0.9829,9.4719,10.4548,9,23.9954,317.7383,0.9829,13.0146,13.9974,86.4898,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_clean_rep01,CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.6946,0.6491,431932.6576,417534.9023,0.4814,95.2681,14.1768,0.0000,27.1611,81,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9465,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
formal_f1_t64_rep01,T64,"Formal V2 Baseline T=0",64,500000,256,11.5251,11.4785,26030.0794,26030.0794,1.7571,493.3531,118.7782,85.9951,12898.1171,99,154,25.9623,1378.0335,1308.4436,1.0634,53.5939,54.6573,154,25.9623,1392.1052,1.0634,57.0206,58.0840,83.8637,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t2048_rep02,T2048,"Formal V2 Baseline T=0",2048,500000,256,5.2091,5.1456,57591.0611,57591.0611,2.9314,1407.4114,1153.0340,1169.2160,188.3649,99,4,21.6350,137.9610,120.5020,0.8862,4.9358,5.8219,4,21.6350,120.5020,0.8862,4.9358,5.8219,135.8273,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t1024_rep02,T1024,"Formal V2 Baseline T=0",1024,500000,256,2.4275,2.3641,123582.3302,123582.3302,1.5875,531.5282,341.5239,355.4590,97.4871,99,9,23.9562,272.3192,231.2384,0.9812,9.4715,10.4528,9,23.9562,317.7006,0.9812,13.0130,13.9943,86.4622,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f1_t64_rep02,T64,"Formal V2 Baseline T=0",64,500000,256,10.0219,9.9641,29934.5542,29934.5542,1.9099,494.5504,123.7746,93.0995,7292.8073,99,153,25.9612,1274.4594,1205.2082,1.0634,49.3653,50.4287,153,25.9612,1289.4384,1.0634,52.8154,53.8788,84.6252,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
