exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_f3_clean_rep01,F3-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7000,0.6623,428595.2854,414308.7759,0.5057,100.7298,14.9714,0.0000,27.5757,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9448,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
formal_f3_t0_rep01,F3-T0,"Formal V2 Baseline T=0",0,500000,256,19.4411,19.3974,15431.2250,15431.2250,10.7109,6347.9220,6102.7603,6256.2744,209.9449,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9442,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_t256_rep01,F3-T256,"Formal V2 Baseline T=0",256,500000,256,3.7261,3.6780,80512.7022,80512.7022,1.6339,469.4388,181.1999,165.5569,2395.9276,0,38,25.4329,518.7553,463.8705,1.0417,19.0001,20.0419,39,25.8252,552.7448,1.0578,22.6404,23.6982,90.9435,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_t2048_rep01,F3-T2048,"Formal V2 Baseline T=0",2048,500000,256,4.6625,4.6138,64343.1470,64343.1470,2.8919,1324.6626,1120.6595,1141.2175,166.8662,0,4,21.5874,137.9125,120.4984,0.8842,4.9356,5.8198,4,21.5874,120.4984,0.8842,4.9356,5.8198,135.8264,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_t2048_rep02,F3-T2048,"Formal V2 Baseline T=0",2048,500000,256,4.8827,4.8247,61441.6933,61441.6933,3.1824,1350.5987,1139.1448,1163.5619,178.4756,0,4,21.6078,137.8880,120.4999,0.8851,4.9357,5.8207,4,21.6078,120.4999,0.8851,4.9357,5.8207,135.8733,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_t256_rep02,F3-T256,"Formal V2 Baseline T=0",256,500000,256,2.2673,2.2220,132317.9182,132317.9182,1.3022,374.4735,131.5863,119.6451,1134.3233,0,38,25.4028,413.1038,367.6278,1.0405,15.0580,16.0985,39,25.8030,541.7865,1.0569,22.1916,23.2485,82.8654,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_t0_rep02,F3-T0,"Formal V2 Baseline T=0",0,500000,256,18.1759,18.1150,16505.3812,16505.3812,9.1605,6267.6576,6029.2481,6195.9123,175.4731,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9442,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_clean_rep02,F3-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7030,0.6639,426753.5274,412528.4099,0.5158,100.7298,15.2461,0.0000,30.0353,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9471,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
formal_f3_t256_rep03,F3-T256,"Formal V2 Baseline T=0",256,500000,256,3.5873,3.5271,83629.3446,83629.3446,1.7464,485.6415,178.2595,158.8739,1360.4551,0,38,25.4214,408.2002,366.5006,1.0413,15.0119,16.0531,39,25.8248,461.8581,1.0578,18.9177,19.9755,97.4681,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f3_clean_rep03,F3-CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7077,0.6591,423880.5772,409751.2246,0.5059,104.0172,15.0351,0.0000,28.4929,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9489,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
