exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_f4a_wbs_16mb_rep01,F4A-WBS-16MB,"Formal V2 Baseline T=0",0,500000,256,9.8739,9.8074,30383.1425,30383.1425,4.9931,3556.7442,3241.8243,3411.1022,179.1257,99,2,21.4306,0.0000,0.0000,0.8778,0.0000,0.8778,2,21.4306,0.0000,0.8778,0.0000,0.8778,153.1389,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f4a_wbs_64mb_rep01,F4A-WBS-64MB,"Formal V2 Baseline T=0",0,500000,256,19.6676,19.5997,15253.4878,15253.4878,9.2457,6378.7685,6058.5462,6226.0202,185.4206,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9489,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f4a_wbs_128mb_rep01,F4A-WBS-128MB,"Formal V2 Baseline T=0",0,500000,256,18.3869,18.3174,16315.9213,16315.9213,7.4446,6271.4566,6021.9458,6184.6594,160.9085,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9461,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_f4b_wbs_16mb_rep01,F4B-WBS-16MB,"Formal V2 Baseline T=0",0,1000000,256,4.7651,4.7242,275066.1883,275066.1883,0.0000,0.0000,0.0000,0.0000,59.6023,0,23,314.2760,827.2921,731.6950,0.9821,2.2865,3.2687,24,328.2182,731.6950,1.0257,2.2865,3.3122,498.6491,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4b_wbs_64mb_rep01,F4B-WBS-64MB,"Formal V2 Baseline T=0",0,1000000,256,3.2725,3.2500,400529.5515,400529.5515,0.0000,0.0000,0.0000,0.0000,30.0171,0,5,258.1546,0.0000,0.0000,0.8067,0.0000,0.8067,5,258.1546,261.8925,0.8067,0.8184,1.6251,365.8726,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4b_wbs_128mb_rep01,F4B-WBS-128MB,"Formal V2 Baseline T=0",0,1000000,256,3.1842,3.1583,411626.8188,411626.8188,0.0000,0.0000,0.0000,0.0000,28.1668,0,2,186.4391,0.0000,0.0000,0.5826,0.0000,0.5826,2,186.4391,0.0000,0.5826,0.0000,0.5826,450.6433,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4b_wbs_128mb_rep02,F4B-WBS-128MB,"Formal V2 Baseline T=0",0,1000000,256,2.8494,2.8220,459993.9327,459993.9327,0.0000,0.0000,0.0000,0.0000,24.8916,0,2,186.2869,0.0000,0.0000,0.5821,0.0000,0.5821,2,186.2869,0.0000,0.5821,0.0000,0.5821,450.4894,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4b_wbs_64mb_rep02,F4B-WBS-64MB,"Formal V2 Baseline T=0",0,1000000,256,3.0949,3.0668,423513.3551,423513.3551,0.0000,0.0000,0.0000,0.0000,27.0461,0,5,256.5518,0.0000,0.0000,0.8017,0.0000,0.8017,5,256.5518,261.8925,0.8017,0.8184,1.6201,365.1185,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4b_wbs_16mb_rep02,F4B-WBS-16MB,"Formal V2 Baseline T=0",0,1000000,256,5.3904,5.3560,243158.3385,243158.3385,0.0000,0.0000,0.0000,0.0000,66.2297,0,23,312.3374,625.5591,574.1858,0.9761,1.7943,2.7704,24,325.6401,731.0813,1.0176,2.2846,3.3023,496.2600,1000000,1000000,3aac79399f6e0d3525d8d7bcec3d3a6e5f10fdf0660e26ed23ed93b42a3911a5,PASS
formal_f4a_wbs_128mb_rep02,F4A-WBS-128MB,"Formal V2 Baseline T=0",0,500000,256,19.5756,19.5065,15325.2250,15325.2250,9.2224,6378.7685,6110.1607,6279.0615,196.2884,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9372,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
