exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_ls24_dp_clean_rep01,LS24-DP-CLEAN,"Formal V2 Baseline T=0",0,100663296,256,1.0598,1.0398,283061.9329,264327.0071,0.7886,109.3824,21.7982,0.0000,43.7575,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,26363.1863,100663296,100663296,e203b2baaabeaf315b922d146387f6c4895786dc46a09abe40a337e43f8116d5,PASS
formal_ls24_dp_t0_rep01,LS24-DP-T0,"Formal V2 Baseline T=0",0,100663296,256,50.0030,49.9415,5999.6459,5999.6459,20.5727,12482.9086,12147.1301,12384.9637,233.9971,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,26363.1205,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_t256_rep01,LS24-DP-T256,"Formal V2 Baseline T=0",256,100663296,256,8.7231,8.7001,34391.4456,34391.4456,2.1602,536.0565,213.1494,187.3405,8267.3899,1,75,23.5222,1053.3342,996.4634,1.0688,45.2777,46.3465,75,23.5222,3680.1837,1.0688,167.2217,168.2905,17186.6549,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_t2048_rep01,LS24-DP-T2048,"Formal V2 Baseline T=0",2048,100663296,256,7.6596,7.6017,39166.3744,39166.3744,3.9360,1559.1745,1299.2245,1246.0237,237.5688,1,9,22.0003,328.9039,313.3073,0.9997,14.2362,15.2358,9,22.0003,1881.6545,0.9997,85.4994,86.4990,18273.6835,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_t2048_rep02,LS24-DP-T2048,"Formal V2 Baseline T=0",2048,100663296,256,7.4018,7.3430,40530.7243,40530.7243,3.9694,1727.3026,1280.4671,1153.0340,218.1143,1,9,22.0150,519.7072,470.4653,1.0003,21.3772,22.3775,9,22.0150,1980.2373,1.0003,89.9788,90.9792,18333.3059,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_t256_rep02,LS24-DP-T256,"Formal V2 Baseline T=0",256,100663296,256,20.0199,19.9596,14985.0604,14985.0604,4.3442,5579.2901,2056.6382,207.7933,23513.4194,1,77,23.5110,4167.5533,3938.5168,1.0683,178.9599,180.0282,77,23.5110,5699.1305,1.0683,258.9594,260.0277,17394.9831,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_t0_rep02,LS24-DP-T0,"Formal V2 Baseline T=0",0,100663296,256,51.3925,51.3290,5837.4262,5837.4262,23.1256,12558.7776,12139.7719,12362.4704,230.7586,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,26363.1677,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_clean_rep02,LS24-DP-CLEAN,"Formal V2 Baseline T=0",0,100663296,256,3.4401,3.3825,87207.2123,81435.2576,1.9096,907.6005,224.6875,0.0000,52.9920,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,26363.3363,100663296,100663296,e203b2baaabeaf315b922d146387f6c4895786dc46a09abe40a337e43f8116d5,PASS
formal_ls24_dp_t256_rep03,LS24-DP-T256,"Formal V2 Baseline T=0",256,100663296,256,7.8072,7.7436,38425.8279,38425.8279,4.0056,3604.4757,2091.8297,138.3734,2324.4263,1,77,23.4997,70.3817,67.7123,1.0678,3.0767,4.1445,77,23.4997,1447.5854,1.0678,65.7760,66.8438,17104.4117,60410929,60410929,ed9dd343099ce277ce346bffca051f12293c402ac8d096fc5dd6b30355d64125,PASS
formal_ls24_dp_clean_rep03,LS24-DP-CLEAN,"Formal V2 Baseline T=0",0,100663296,256,3.5671,3.5403,84101.2541,78534.8724,2.1752,960.7969,246.3650,0.0000,47.4299,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,26363.2052,100663296,100663296,e203b2baaabeaf315b922d146387f6c4895786dc46a09abe40a337e43f8116d5,PASS
