exp_id,group_name,desc,threshold,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
formal_clean_rep01,CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.6175,0.5873,485864.3839,469668.9044,0.4722,84.7535,12.5208,0.0000,28.2351,81,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9465,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
formal_t0_rep01,T0,"Formal V2 Baseline T=0",0,500000,256,18.8219,18.7558,15938.8786,15938.8786,8.3102,6363.3265,6065.8929,6218.4796,178.9087,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9478,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t64_rep01,T64,"Formal V2 Baseline T=0",64,500000,256,13.0797,13.0142,22936.2894,22936.2894,1.7071,480.6646,114.8850,80.4500,18296.5169,99,153,25.9568,1368.1806,1297.3842,1.0632,53.1409,54.2040,153,25.9568,1380.4536,1.0632,56.5434,57.6066,83.0693,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t256_rep01,T256,"Formal V2 Baseline T=0",256,500000,256,2.8235,2.7521,106252.5368,106252.5368,1.3792,470.2929,145.6871,144.4564,1209.5716,99,38,25.4624,517.9809,457.8595,1.0429,18.7539,19.7969,39,25.8289,543.1166,1.0580,22.2461,23.3040,86.1021,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t2048_rep01,T2048,"Formal V2 Baseline T=0",2048,500000,256,4.9867,4.9215,60159.7803,60159.7803,2.8694,1363.7565,1137.0759,1137.7652,165.4566,99,4,21.6029,137.9363,120.5024,0.8849,4.9358,5.8206,4,21.6029,120.5024,0.8849,4.9358,5.8206,135.8203,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t2048_rep02,T2048,"Formal V2 Baseline T=0",2048,500000,256,5.0794,5.0249,59062.5914,59062.5914,2.8699,1404.8553,1155.1319,1179.1769,181.1999,99,4,21.6244,137.9195,120.5012,0.8857,4.9357,5.8215,4,21.6244,120.5012,0.8857,4.9357,5.8215,135.8557,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t256_rep02,T256,"Formal V2 Baseline T=0",256,500000,256,3.7442,3.6835,80124.5622,80124.5622,1.6039,527.0382,171.1674,166.4623,2390.1274,99,38,25.8107,519.7864,458.0015,1.0572,18.7597,19.8169,38,25.8107,542.0537,1.0572,22.2025,23.2597,84.4590,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t64_rep02,T64,"Formal V2 Baseline T=0",64,500000,256,8.8750,8.8214,33802.9543,33802.9543,1.9344,531.8504,125.8925,100.6078,6248.6971,99,154,25.9824,1163.1885,1095.5343,1.0642,44.8731,45.9373,154,25.9824,1180.3526,1.0642,48.3472,49.4115,85.4276,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_t0_rep02,T0,"Formal V2 Baseline T=0",0,500000,256,18.9338,18.8692,15844.6918,15844.6918,8.2017,6347.9220,6062.2184,6233.5700,164.4571,99,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9469,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
formal_clean_rep02,CLEAN,"Formal V2 Baseline T=0",0,500000,256,0.7117,0.6632,421502.6195,407452.5322,0.5086,96.8395,14.5070,0.0000,28.2180,81,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9503,500000,500000,5b733ae23b6c18b59bf386efa687aded4025be78593c050a205bf8bb73be06dd,PASS
