exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_clean_t0000_r01,ls24_clean,1,0.0145614,3000,1,1888,15.49,31.594,142.339,0,0,0,0,0,0,0,0,664,85.485,197.401,567.508,100,0.968296,148,14.872,52.225,107.271,0,0,0,0,2700,2700,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,558,6946,7.43603,0,0,26317.7
ls24_clean_t0000_r01,ls24_clean,2,0.0282955,6000,2,1821,14.511,21.655,139.423,0,0,0,0,0,0,0,0,725,84.315,100.083,585.107,100,0.904513,141,15.619,34.185,47.875,0,0,0,0,2687,2687,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,656,7347,8.19693,0,0,26317.8
ls24_clean_t0000_r01,ls24_clean,3,0.042328,9000,3,1810,14.219,22.324,147.193,0,0,0,0,0,0,0,0,742,83.33,112.379,621.864,100,0.938766,145,14.617,34.659,49.537,0,0,0,0,2697,2697,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,677,7462,8.31798,0,0,26317.8
ls24_clean_t0000_r01,ls24_clean,4,0.0567269,12000,4,1752,14.16,19.451,128.001,0,0,0,0,0,0,0,0,820,81.357,106.917,574.156,100,0.921852,150,13.082,26.231,32.107,0,0,0,0,2722,2722,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,736,8010,8.41528,0,0,26317.9
ls24_clean_t0000_r01,ls24_clean,5,0.0695503,15000,5,1864,13.393,20.135,121.095,0,0,0,0,0,0,0,0,695,77.716,107.327,621.8,100,0.91641,131,13.591,24.572,32.121,0,0,0,0,2690,2690,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,672,7208,8.52792,0,0,26317.9
ls24_clean_t0000_r01,ls24_clean,6,0.0821588,18000,6,1761,13.024,18.561,123.507,0,0,0,0,0,0,0,0,794,72.148,96.219,536.692,100,0.810277,160,12.358,21.131,26.327,0,0,0,0,2715,2715,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,761,7803,8.88603,0,0,26317.9
ls24_clean_t0000_r01,ls24_clean,7,0.0945102,21000,7,1827,12.755,18.424,121.757,0,0,0,0,0,0,0,0,736,71.323,97.149,549.23,100,0.838728,146,13.146,23.991,33.105,0,0,0,0,2709,2709,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,667,7420,8.24781,0,0,26318
ls24_clean_t0000_r01,ls24_clean,8,0.106932,24000,8,1801,13.057,18.411,122.627,0,0,0,0,0,0,0,0,720,74.143,102.183,573.683,100,0.875125,154,12.723,26.265,35.391,0,0,0,0,2675,2675,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,681,7242,8.59523,0,0,26318
ls24_clean_t0000_r01,ls24_clean,9,0.119101,27000,9,1796,12.6,17.654,116.873,0,0,0,0,0,0,0,0,775,69.633,96.705,541.904,100,0.799844,150,12.905,24.953,33.103,0,0,0,0,2721,2721,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,706,7716,8.38281,0,0,26318.1
ls24_clean_t0000_r01,ls24_clean,10,0.131245,30000,10,1781,12.569,17.16,117.249,0,0,0,0,0,0,0,0,768,69.639,94.793,596.323,100,0.821365,161,13.183,30.14,47.27,0,0,0,0,2710,2710,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,702,7629,8.42636,0,0,26318.1
ls24_clean_t0000_r01,ls24_clean,11,0.143382,33000,11,1796,12.819,17.6,119.931,0,0,0,0,0,0,0,0,734,71.384,95.653,571.884,100,0.828289,159,12.407,28.768,35.39,0,0,0,0,2689,2689,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,680,7392,8.42418,0,0,26318.2
ls24_clean_t0000_r01,ls24_clean,12,0.156242,36000,12,1821,12.988,17.708,133.222,0,0,0,0,0,0,0,0,744,73.169,98.55,621.606,100,0.87487,146,13.195,29.246,33.729,0,0,0,0,2711,2711,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,705,7483,8.61016,0,0,26318.2
ls24_clean_t0000_r01,ls24_clean,13,0.168599,39000,13,1795,12.891,18.557,121.99,0,0,0,0,0,0,0,0,756,72.223,95.81,568.309,100,0.83287,141,13.395,26.781,37.977,0,0,0,0,2692,2692,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,723,7531,8.75939,0,0,26318.2
ls24_clean_t0000_r01,ls24_clean,14,0.180732,42000,14,1825,13.339,17.943,118.111,0,0,0,0,0,0,0,0,749,73.609,94.439,546.637,100,0.809429,146,13.587,25.819,38.15,0,0,0,0,2720,2720,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,727,7501,8.83568,0,0,26318.3
ls24_clean_t0000_r01,ls24_clean,15,0.192956,45000,15,1796,13.337,18.002,119.011,0,0,0,0,0,0,0,0,727,73.031,93.428,564.569,100,0.855802,168,12.613,26.684,39.206,0,0,0,0,2691,2691,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,692,7318,8.6392,0,0,26318.3
ls24_clean_t0000_r01,ls24_clean,16,0.205659,48000,16,1821,13.463,19.082,127.763,0,0,0,0,0,0,0,0,756,74.816,94.667,563.138,100,0.834833,137,13.568,26.749,38.055,0,0,0,0,2714,2714,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,680,7582,8.23045,0,0,26318.4
ls24_clean_t0000_r01,ls24_clean,17,0.218494,51000,17,1741,13.2,17.202,123.847,0,0,0,0,0,0,0,0,814,72.699,94.484,564.267,100,0.827232,132,13.4,28.3,36.4,0,0,0,0,2687,2687,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,751,7971,8.61041,0,0,26318.4
