exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_dp_t0000_r01,ls24_density_preserved,1,0.0158401,3000,1,1235,15.395,30.026,41.749,19,14.905,30.831,30.831,828,15.474,29.324,39.745,801,86.925,119.538,231.124,100,0.943093,149,15.962,48.186,114.667,0,0,0,0,3032,3032,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,629,8154,7.16156,0,0,26317.6
ls24_dp_t0000_r01,ls24_density_preserved,2,0.0294782,6000,2,1181,13.986,18.564,23.977,27,14.067,19.479,42.138,850,14.007,19.208,24.776,786,84.127,117.644,134.263,100,0.865452,156,14.149,30.209,40.535,0,0,0,0,3000,3000,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,584,8070,6.74832,0,0,26317.7
ls24_dp_t0000_r01,ls24_density_preserved,3,0.0421424,9000,3,1207,12.993,18.205,25.846,22,11.688,16.061,16.387,834,13.111,18.113,24.896,783,77.816,113.019,143.75,100,0.814698,152,12.418,26.057,31.782,0,0,0,0,2998,2998,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,619,8069,7.12477,0,0,26317.7
ls24_dp_t0000_r01,ls24_density_preserved,4,0.0539057,12000,4,1290,12.621,17.073,22.711,21,12.214,14.014,15.943,790,12.638,16.549,21.242,739,77.048,97.097,117.77,100,0.784645,160,11.37,20.276,37.784,0,0,0,0,3000,3000,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,620,7693,7.4582,0,0,26317.8
ls24_dp_t0000_r01,ls24_density_preserved,5,0.0647738,15000,5,1275,12.286,16.263,21.895,15,12.833,14.814,14.814,854,12.27,15.861,20.665,688,72.105,93.615,99.001,100,0.743743,163,11.346,25.897,34.548,0,0,0,0,2995,2995,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,570,7381,7.16891,0,0,26317.8
ls24_dp_t0000_r01,ls24_density_preserved,6,0.0762215,18000,6,1258,12.327,16.254,19.921,25,12.052,16.087,16.323,832,12.368,16.042,19.701,760,73.043,92.853,100.638,100,0.748268,135,11.746,19.139,25.931,0,0,0,0,3010,3010,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,628,7883,7.37869,0,0,26317.9
ls24_dp_t0000_r01,ls24_density_preserved,7,0.0875938,21000,7,1256,12.347,15.885,20.778,17,11.908,15.963,15.963,823,12.456,16.097,22.029,737,73.599,94.484,108.309,100,0.760027,152,11.551,24.723,43.354,0,0,0,0,2985,2985,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,626,7720,7.5006,0,0,26317.9
ls24_dp_t0000_r01,ls24_density_preserved,8,0.0993986,24000,8,1297,13.015,16.747,23.449,16,12.49,14.228,14.228,827,12.99,16.81,25.36,718,78.455,97.55,109.134,100,0.801125,140,12.942,27.494,35.21,0,0,0,0,2998,2998,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,592,7581,7.24336,0,0,26317.9
ls24_dp_t0000_r01,ls24_density_preserved,9,0.111109,27000,9,1203,12.674,15.764,18.598,20,13.21,15.431,15.431,870,12.596,16.273,20.599,760,74.714,92.294,98.778,100,0.765808,160,11.863,24.355,31.705,0,0,0,0,3013,3013,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,607,7880,7.15211,0,0,26318
ls24_dp_t0000_r01,ls24_density_preserved,10,0.12271,30000,10,1277,12.816,15.461,17.297,24,12.61,14.375,17.61,795,12.925,15.9,19.648,736,76.053,93.115,98.722,100,0.773554,155,11.214,26.242,30.505,0,0,0,0,2987,2987,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,612,7752,7.31707,0,0,26318
ls24_dp_t0000_r01,ls24_density_preserved,11,0.134217,33000,11,1251,12.622,16.295,24.982,17,12.647,20.515,20.515,858,12.655,16.409,21.949,734,74.491,94.368,100.491,100,0.763647,140,12.519,26.843,37.769,0,0,0,0,3000,3000,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,604,7716,7.25962,0,0,26318.1
