exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_dp_t0000_r01,ls24_density_preserved,1,1.00029,126372,42.124,43155,12.678,19.707,845.052,741,12.667,23.059,1338.83,28680,12.692,19.803,802.314,27845,74.601,513.152,1948.27,100,1.4832,20828,17.863,87.019,144.945,5233,48.139,129.698,202.122,126482,126482,7.00201,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,22765,284703,7.40402,0,5208,26323.6
ls24_dp_t0000_r01,ls24_density_preserved,2,2.01269,137046,45.682,652,3583.03,4409.22,4932.15,15,3767.77,4267,4267,403,3604.16,4420.1,4748.49,1027,3789.41,4579.94,4808.51,100,36.0572,6328,43.205,186.584,268.351,2147,89.207,242.136,306.252,10572,10572,9.00202,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,900,8777,9.3004,0,7377,26325.4
ls24_dp_t0000_r01,ls24_density_preserved,3,3.01524,145003,48.3343,483,4757.21,6797.77,10187.7,8,4981.9,5630.43,5630.43,317,4721.66,6450.06,9849.05,792,4915.35,6762.65,10368.9,100,47.5439,4823,42.446,173.812,258.444,1537,87.428,229.212,289.654,7960,7960,11.002,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,673,6708,9.11801,0,8914,26326.8
ls24_dp_t0000_r01,ls24_density_preserved,4,4.0184,152262,50.754,425,5744,8713.79,11337.5,5,6048.62,10041.4,10041.4,278,5650.52,6994.6,10960.6,686,5915.92,8229.12,11426.9,100,55.0271,4450,42.442,183.157,255.815,1404,90.237,246.674,361.755,7248,7248,13.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,616,5726,9.71302,0,10321,26328.1
ls24_dp_t0000_r01,ls24_density_preserved,5,5.02463,158549,52.8497,375,6209.68,8302.17,9849.96,5,5277.25,9083.39,9083.39,256,6424.12,8335.3,9698.64,627,6689.24,8335.23,9967.86,100,62.3432,3736,30.547,158.5,216.495,1288,80.17,213.962,297.916,6287,6287,14.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,563,5242,9.69854,0,11609,26329.3
ls24_dp_t0000_r01,ls24_density_preserved,6,6.0318,164461,54.8203,357,7075.53,8104.35,8997.93,7,7291.54,7997.1,7997.1,260,7130.61,7916.11,8081.51,556,7437.66,8212.42,8619.77,100,66.6357,3544,36.26,170.247,251.107,1189,82.452,232.973,296.346,5913,5913,15.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,478,4696,9.2385,0,12798,26330.3
ls24_dp_t0000_r01,ls24_density_preserved,7,7.04053,169772,56.5907,309,8051.52,8690.01,10598.1,7,7037.93,8610.24,8610.24,206,8037.7,8565.95,9141.99,568,8127.54,8882.48,10678.8,100,71.8369,3174,33.143,164.583,245.248,1052,80.341,212.949,281.088,5316,5316,16.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,542,4642,10.4552,0,13848,26331.2
ls24_dp_t0000_r01,ls24_density_preserved,8,8.04893,175190,58.3967,320,7971.91,9392.66,9934.06,2,7663.7,7663.7,7663.7,194,7851.45,9323.24,10161.5,536,8072.04,9535.61,10425.5,100,75.0425,3263,29.466,160.488,238.888,1097,76.43,200.804,303.668,5412,5412,17.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,486,4428,9.89011,0,14947,26332.2
ls24_dp_t0000_r01,ls24_density_preserved,9,9.05692,180398,60.1327,323,7634.96,9993.02,11337.7,3,8103.62,8661.27,8661.27,213,7697.37,9921.74,10317.2,534,7759.4,10189.8,11122.4,100,73.0555,3081,26.378,111.613,184.104,1054,69.48,165.807,244.919,5208,5208,19.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,471,4408,9.65362,0,16001,26333.1
ls24_dp_t0000_r01,ls24_density_preserved,10,10.0655,185438,61.8127,297,7485.76,10833.6,11410.1,6,6094.24,8856.47,8856.47,205,7392.28,10845.5,11435.5,555,7683.31,11122.2,12535.6,100,75.0686,3004,25.17,99.499,168.806,974,67.93,157.09,226.4,5041,5041,20.0021,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,572,4453,11.3831,0,16974,26334
