exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_dp_pilot_t0256,ls24_density_preserved,1,0.0162983,3000,1,1229,15.253,26.22,42.506,19,15.454,161.488,161.488,825,15.319,26.85,39.698,801,93.918,131.503,259.534,100,0.989551,149,15.359,34.099,58.435,0,0,0,0,3023,3023,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2967,8167,26.6481,0,0,26317.5
ls24_dp_pilot_t0256,ls24_density_preserved,2,0.0307879,6000,2,1183,14.388,18.97,23.686,27,14.335,19.83,22.515,853,14.381,19.509,35.131,785,94.709,118.817,136.766,100,0.93187,155,13.829,29.594,34.683,0,0,0,0,3003,3003,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2819,8057,25.9195,0,0,26317.5
ls24_dp_pilot_t0256,ls24_density_preserved,3,0.0444159,9000,3,1213,13.41,17.847,23.199,22,12.935,22.614,42.708,834,13.372,17.481,23.505,784,89.434,112.753,130.819,100,0.893768,153,13.051,27.397,31.535,0,0,0,0,3006,3006,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2918,8068,26.5611,0,0,26317.5
ls24_dp_pilot_t0256,ls24_density_preserved,4,0.0571568,12000,4,1288,13.132,17.551,22.882,21,13.312,15.128,15.561,790,13.066,16.816,21.58,735,89.952,106.369,113.507,100,0.877748,160,12.052,21.013,31.282,0,0,0,0,2994,2994,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2814,7680,26.8153,0,0,26317.6
ls24_dp_pilot_t0256,ls24_density_preserved,5,0.0688597,15000,5,1275,12.871,17.309,24.738,15,12.209,14.702,14.702,854,12.745,16.241,25.266,692,79.413,95.655,106.341,100,0.8055,163,12.501,26.361,39.004,0,0,0,0,2999,2999,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2602,7403,26.007,0,0,26317.6
ls24_dp_pilot_t0256,ls24_density_preserved,6,0.0809329,18000,6,1255,12.701,15.379,20.26,25,13.191,14.151,15.417,828,12.727,16.178,21.095,758,79.01,91.95,103.263,100,0.798652,134,11.861,20.596,25.273,0,0,0,0,3000,3000,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2853,7902,26.5272,0,0,26317.7
ls24_dp_pilot_t0256,ls24_density_preserved,7,0.0929604,21000,7,1257,12.817,15.78,20.112,17,12.457,14.581,14.581,827,12.833,15.809,20.707,739,80.075,94.632,103.023,100,0.80844,153,12.029,21.18,39.25,0,0,0,0,2993,2993,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2819,7733,26.7153,0,0,26317.7
ls24_dp_pilot_t0256,ls24_density_preserved,8,0.104665,24000,8,1299,12.718,15.809,20.366,16,11.837,15.96,15.96,829,12.567,15.225,19.558,717,79.606,92.152,97.464,100,0.802862,140,12.364,27.657,34.903,0,0,0,0,3001,3001,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2680,7594,26.0853,0,0,26317.7
ls24_dp_pilot_t0256,ls24_density_preserved,9,0.116601,27000,9,1203,12.612,15.319,19.869,20,12.611,15.783,15.783,868,12.635,15.612,21.455,761,78.47,88.928,98.065,100,0.786779,160,12.234,25.655,32.644,0,0,0,0,3012,3012,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2837,7869,26.4992,0,0,26317.8
ls24_dp_pilot_t0256,ls24_density_preserved,10,0.128478,30000,10,1277,12.768,15.393,21.545,24,12.57,14.292,15.939,796,12.779,15.663,20.132,736,78.965,90.648,97.735,100,0.793097,155,11.845,25.097,32.366,0,0,0,0,2988,2988,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2762,7743,26.2922,0,0,26317.8
ls24_dp_pilot_t0256,ls24_density_preserved,11,0.140702,33000,11,1251,13.107,15.93,20.399,17,12.537,14.826,14.826,858,13.053,15.797,20.295,734,81.944,93.986,102.45,100,0.825112,140,12.652,29.312,37.812,0,0,0,0,3000,3000,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2764,7740,26.3138,0,0,26317.9
ls24_dp_pilot_t0256,ls24_density_preserved,12,0.153499,36000,12,1202,13.403,16.167,21.784,24,13.1,15.436,27.067,854,13.378,16.175,20.973,763,84.396,95.429,104.692,100,0.848162,160,12.352,26.389,38.517,0,0,0,0,3003,3003,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2858,7901,26.5638,0,0,26317.9
ls24_dp_pilot_t0256,ls24_density_preserved,13,0.166078,39000,13,1237,13.08,15.642,20.082,13,12.588,17.105,17.105,814,13.066,15.694,20.769,779,81.893,92.884,101.377,100,0.82149,156,12.607,24.309,27.653,0,0,0,0,2999,2999,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2991,8004,27.2033,0,0,26318
ls24_dp_pilot_t0256,ls24_density_preserved,14,0.178486,42000,14,1268,13.44,16.286,20.349,13,13.597,16.798,16.798,851,13.358,15.938,21.566,734,82.8,94.034,100.471,100,0.832192,139,12.829,31.318,41.206,0,0,0,0,3005,3005,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2730,7710,26.1494,0,0,26318
ls24_dp_pilot_t0256,ls24_density_preserved,15,0.190926,45000,15,1243,13.413,16.009,22.414,29,13.396,15.029,17.564,841,13.389,16.306,23.569,741,82.9,94.285,100.179,100,0.831503,133,13.222,24.039,39.035,0,0,0,0,2987,2987,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2783,7773,26.3642,0,0,26318
ls24_dp_pilot_t0256,ls24_density_preserved,16,0.202899,48000,16,1281,12.937,15.788,20.495,18,12.842,14.523,14.523,809,12.931,15.65,20.329,749,79.768,89.334,95.421,100,0.797796,152,11.693,19.363,26.833,0,0,0,0,3009,3009,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2841,7803,26.6911,0,0,26318.1
ls24_dp_pilot_t0256,ls24_density_preserved,17,0.214598,51000,17,1262,12.648,15.204,18.64,21,12.421,14.333,14.407,821,12.747,15.357,20.378,745,77.403,89.013,94.597,100,0.778743,150,12.336,28.152,34.97,0,0,0,0,2999,2999,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2833,7779,26.6962,0,0,26318.1
ls24_dp_pilot_t0256,ls24_density_preserved,18,0.226257,54000,18,1253,12.801,15.392,21.456,18,12.97,15.474,15.474,855,12.725,15.247,20.426,727,78.216,88.161,95.295,100.138,0.784633,145,12.473,25.833,32.552,0,0,0,0,2998,2998,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2750,7696,26.3259,0,0,26318.2
ls24_dp_pilot_t0256,ls24_density_preserved,19,0.238023,57001,19,1243,12.641,15.248,19.498,24,12.748,15.851,16.882,820,12.62,15.195,18.457,754,77.833,87.891,92.385,100,0.782272,164,11.764,22.585,31.133,0,0,0,0,3005,3005,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2837,7828,26.601,0,0,26318.2
ls24_dp_pilot_t0256,ls24_density_preserved,20,0.249857,60000,20,1221,12.501,14.77,19.337,22,13.041,15.643,22.026,835,12.575,15.126,18.108,767,77.64,86.195,93.463,100,0.777675,160,12.244,24.228,80.375,0,0,0,0,3005,3005,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2869,7946,26.528,0,0,26318.3
ls24_dp_pilot_t0256,ls24_density_preserved,21,0.261214,63000,21,1250,12.184,14.433,18.223,28,12.239,14.473,17.588,827,12.325,14.905,18.861,748,75.467,84.144,91.085,100,0.756888,137,12.247,20.783,30.986,0,0,0,0,2990,2990,1.00196,0,0,0,0,0,0,0,0,26311.9,0,0,0,0,0,2762,7856,26.0124,0,0,26318.3
