exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_t0000_r01,ls24_large_scale,1,0.0527019,3000,1,1842,49.407,239.079,591.044,16,63.559,582.686,582.686,29,76.42,179.147,191.785,658,182.285,834.217,1069.18,100,2.87691,148,24.077,368.342,623.022,316,56.876,320.927,733.803,3009,3009,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2534,6943,26.7384,0,315,26317.8
ls24_t0000_r01,ls24_large_scale,2,0.108398,6000,2,1757,99.77,280.204,374.275,21,176.573,346.976,412.353,40,119.802,252.204,404.15,727,193.988,762.407,934.472,100,2.81517,141,23.54,98.01,120.79,316,59.463,153.368,190.427,3002,3002,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2844,7367,27.8523,0,630,26317.9
ls24_t0000_r01,ls24_large_scale,3,0.168302,9000,3,1762,106.83,334.417,428.197,13,147.461,302.066,302.066,34,133.222,325.88,384.369,739,232.674,753.929,959.6,100,2.91067,145,21.268,114.966,157.167,298,57.926,139.719,215.866,2991,2991,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2938,7452,28.2772,0,930,26317.9
ls24_t0000_r01,ls24_large_scale,4,0.237268,12000,4,1691,122.239,412.77,509.526,14,28.656,362.142,362.142,41,33.843,449.87,492.747,819,243.078,841.309,1019.83,100,3.15712,149,20.888,93.437,145.653,289,56.287,130.291,183.252,3003,3003,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,3195,7983,28.5829,0,1217,26318
ls24_t0000_r01,ls24_large_scale,5,0.328118,15000,5,1820,159.152,612.35,747.158,20,119.526,640.58,640.58,33,120.258,687.529,755.995,700,307.689,949.711,1241.3,100,3.86811,132,27.141,136.117,200.743,295,64.902,156.177,239.625,3000,3000,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2770,7207,27.7639,0,1511,26318
ls24_t0000_r01,ls24_large_scale,6,0.472231,18000,6,1718,221.561,1024.59,1178.19,18,154.202,912.759,912.759,26,315.204,1026.93,1168.2,795,458.695,1303.92,1749.78,100,5.67186,160,35.058,169.786,216.617,291,88.405,219.215,300.244,3008,3008,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,3118,7812,28.527,0,1802,26318.1
ls24_t0000_r01,ls24_large_scale,7,0.662345,21000,7,1765,207.386,1394.91,1594.75,19,259.46,1590.48,1590.48,38,65.473,1306.66,1478.99,733,680.484,1888.32,2496.3,100,7.95054,146,49.198,157.807,257.204,286,106.375,268.411,428.04,2987,2987,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2900,7409,28.1308,0,2091,26318.2
ls24_t0000_r01,ls24_large_scale,8,0.908993,24000,8,1749,546.732,1676.86,1996.15,11,89.115,1490.17,1490.17,37,555.524,1805.44,1940.14,721,745.727,2108.65,2484.47,100,9.1092,154,57.518,207.821,317.532,328,115.971,287.016,389.764,3000,3000,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,2851,7261,28.1942,0,2419,26318.2
ls24_t0000_r01,ls24_large_scale,9,1.17465,27000,9,1737,236.38,1907.22,3198.38,24,1449.92,1824.51,3404.38,32,80.816,3462.61,3616.79,776,709.253,2428.34,2930.99,100,9.64642,150,59.057,259.599,317.704,283,135.51,281.814,330.226,3002,3002,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,3046,7729,28.2691,0,2702,26318.3
ls24_t0000_r01,ls24_large_scale,10,1.46735,30000,10,1739,260.443,2024.62,3526.52,24,204.319,1850.31,1952.63,26,982.089,2101.01,3225.74,767,885.733,2672.27,3794.76,100,11.3699,158,59.744,210.119,308.016,285,126.331,304.708,413.774,2999,2999,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,3011,7610,28.3495,0,2987,26318.3
