exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_t0000_r01,ls24_large_scale,1,1.00034,25115,8.37167,14754,121.126,1333.41,1722.42,137,119.526,1337.52,1590.48,289,117.923,1332.2,1672.07,6182,285.915,1619.94,2207.14,100,5.02339,1230,29.904,150.538,317.532,2532,70.871,219.215,347.309,25124,25124,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,24262,62277,28.0359,0,2530,26318.2
ls24_t0000_r01,ls24_large_scale,2,2.00418,34932,11.644,5699,288.304,2203.24,3338.77,73,223.823,2195.54,3404.38,108,261.043,2199.31,3616.79,2477,860.695,2656.18,3644.83,100,11.3,508,59.931,229.384,296.465,944,128.133,281.814,377.652,9809,9809,1.00196,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,9766,24771,28.2769,0,3475,26318.4
ls24_t0000_r01,ls24_large_scale,3,3.00746,42827,14.2757,4593,325.888,2690.37,3069.01,46,1598.37,2611.47,2763.79,106,1534.83,2597.05,2774.9,1960,963.083,3223.09,4060.68,100,13.9053,389,65.724,244.262,342.975,805,129.008,299.151,379.665,7899,7899,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,7746,19627,28.298,0,4280,26318.6
ls24_t0000_r01,ls24_large_scale,4,4.01145,49115,16.3717,3680,519.016,3124.65,5509.1,31,2668.92,3151.22,4801.54,66,1516.5,3132.23,5894.77,1577,1058.04,3713.54,5625.88,100,16.7873,306,67.994,209.649,295.585,622,130.477,279.258,363.832,6282,6282,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,6199,15790,28.1914,0,4903,26318.7
ls24_t0000_r01,ls24_large_scale,5,5.01574,54908,18.3027,3327,333.01,3476.07,6566.58,35,2515.93,3491.9,5751.78,91,361.011,3443.86,6778.17,1483,1209.6,4092.77,6689.94,100,18.6474,284,70.387,244.175,323.224,573,135.23,297.907,426.779,5793,5793,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,5813,14762,28.2527,0,5476,26318.8
ls24_t0000_r01,ls24_large_scale,6,6.02045,60181,20.0603,3064,390.432,3793.79,7132.4,35,217.171,3698.12,7577.19,66,92.077,3766.45,6766.66,1307,1035.05,4347.6,6633.52,100,19.8996,264,65.913,273.697,359.987,544,132.066,318.261,420.215,5280,5280,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,5134,13061,28.2165,0,6020,26318.9
ls24_t0000_r01,ls24_large_scale,7,7.02542,65583,21.861,3152,250.762,4086.95,7539.58,29,1765.76,6490.16,7419.66,57,73.935,3989.82,4205.23,1357,784.113,4668.28,7482.63,100,18.2745,279,66.456,230.633,348.447,521,131.283,313.75,474.171,5395,5395,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,5366,13613,28.2734,0,6541,26319
ls24_t0000_r01,ls24_large_scale,8,8.03062,70112,23.3707,2576,518.3,4399.56,7908.97,22,66.293,4341.95,4398.46,57,263.009,4320.76,7802.74,1166,1082.3,5083.75,8505.93,100,23.3442,209,63.729,224.941,311.134,499,132.226,290.87,376.987,4529,4529,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,4558,11548,28.3,0,7040,26319.1
ls24_t0000_r01,ls24_large_scale,9,9.03479,74691,24.897,2654,255.364,4630.03,8806.1,24,2073.42,4675.17,5311.75,44,507.299,4602.13,8481.45,1162,969.192,5213.64,8840.56,100,22.8036,231,66.317,206.875,291.842,465,135.417,309.297,423.031,4580,4580,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,4564,11591,28.2513,0,7505,26319.2
ls24_t0000_r01,ls24_large_scale,10,10.0383,78751,26.2503,2386,456.783,4899.2,9665.01,19,3912.44,9754.32,9754.32,34,67.9,4627.93,4845.95,1010,1179.31,5601.04,9551.22,100,25.7235,193,65.516,178.264,243.832,417,131.478,296.083,408.399,4059,4059,2.00197,0,0,0,0,0,0,0,0,26312,0,0,0,0,0,3989,10122,28.2687,0,7922,26319.3
