exp_id,group_name,second_idx,phase,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p99_us,total_ops,overall_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,db_dir_mb
p6_d0_clean_rep1,D0,1,warmup,98902,11.839,19.059,27.41,49558,11.787,19.035,27.214,39684,132.397,270.342,430.322,60.2013,2.34888,10014,18.126,33.135,51.782,0,0,198158,198158,11.002,0,0,0,0,0,0,602.135,0,0,0,0,197119,624444,23.9932,0,612.4
p6_d0_clean_rep1,D0,2,warmup,117891,10.664,14.9,19.091,58679,10.588,14.738,18.963,47373,117.515,213.496,246.109,59.9719,1.98832,11697,16.202,28.738,37.531,0,0,235640,235640,23.0021,0,0,0,0,0,0,602.135,0,0,0,0,239385,735062,24.5662,0,624.257
p6_d0_clean_rep1,D0,3,warmup,116383,10.89,14.874,20.192,58385,10.819,14.855,20.066,46837,118.889,216.508,239.666,60.0974,2.00697,11579,16.529,28.915,37.739,0,0,233184,233184,35.0022,0,0,0,0,0,0,602.135,0,0,0,0,235879,726127,24.5195,0,635.997
p6_d0_clean_rep1,D0,4,warmup,114710,10.944,16.037,19.75,57318,10.862,15.976,19.799,45974,119.788,229.01,270.564,59.9549,2.04993,11354,17.256,30.418,38.224,0,0,229356,229356,47.0023,0,0,0,0,0,0,602.135,0,0,0,0,231890,707653,24.6811,0,647.505
p6_d0_clean_rep1,D0,5,warmup,113979,10.984,16.033,19.895,57234,10.879,15.965,19.809,46072,119.839,229.932,266.764,59.649,2.06059,11422,17.066,30.119,37.327,0,0,228707,228707,58.0024,0,0,0,0,0,0,602.135,0,0,0,0,229368,704692,24.556,0,659.084
p6_d0_clean_rep1,D0,6,warmup,109858,10.992,16.633,20.627,55403,10.91,16.565,20.448,43589,127.637,243.765,278.75,59.8296,2.18324,10900,16.829,29.476,37.917,0,0,219750,219750,6.002,0,0,0,0,0,0,661.45,0,0,59.3158,0,221102,703307,23.9182,0,666.395
p6_d0_clean_rep1,D0,7,warmup,103716,10.845,16.353,20.533,51474,10.756,16.268,20.342,41129,138.747,260.403,305.741,60.0599,2.35443,10295,15.688,27.1,34.024,0,0,206614,206614,18.0021,0,0,0,0,0,0,661.45,0,0,0,0,223330,734470,23.317,0,676.829
p6_d0_clean_rep1,D0,8,warmup,102739,11.05,16.459,20.455,51420,10.952,16.334,20.42,41292,138.537,255.738,302.668,60.1283,2.34576,10318,15.825,26.97,33.587,0,0,205769,205769,31.0022,0,0,0,0,0,0,661.45,0,0,0,0,224509,733873,23.4258,0,687.287
p6_d0_clean_rep1,D0,9,warmup,101064,11.271,16.815,21.593,50516,11.173,16.817,21.402,40679,140.785,265.829,306.028,60.0906,2.3868,10266,16.243,27.733,34.655,0,0,202525,202525,43.0023,0,0,0,0,0,0,661.45,0,0,0,0,216922,723349,23.0702,0,697.697
p6_d0_clean_rep1,D0,10,warmup,99524,11.518,17.254,21.585,49727,11.414,17.231,21.785,39695,143.842,276.187,311.598,60.1662,2.43645,10142,17.054,29.706,36.969,0,0,199088,199088,55.0024,0,0,0,0,0,0,661.45,0,0,0,0,214185,703717,23.3342,0,707.981
p6_d0_clean_rep1,D0,11,main,98571,11.509,17.724,23.799,49290,11.39,17.588,23.392,39763,142.583,271.335,317.237,59.9625,2.42994,9850,17.06,30.069,38.502,0,0,197474,197474,3.00198,0,0,0,0,0,0,713.412,0,0,51.9619,0,213035,702104,23.279,0,715.088
p6_d0_clean_rep1,D0,12,main,95272,11.089,15.676,20.64,47436,10.997,15.57,20.55,38124,155.192,271.177,297.82,60.1313,2.60082,9427,15.341,25.318,31.438,0,0,190259,190259,14.0021,0,0,0,0,0,0,713.412,0,0,0,0,217050,763776,22.1293,0,724.641
p6_d0_clean_rep1,D0,13,main,93006,11.428,16.315,21.234,46870,11.383,16.103,21.181,37707,156.994,271.721,298.526,59.9936,2.636,9246,15.748,26.163,34.083,0,0,186829,186829,25.0021,0,0,0,0,0,0,713.412,0,0,0,0,212575,752511,22.0265,0,734.02
