exp_id,protocol_suite,group,main_duration_sec,total_ops,put_count,get_aff_count,get_del_count,get_ctrl_count,scan_count,del_range_count,del_range_logical_ratio_pct,del_range_active_rate_ops_per_sec,del_range_length_keys,cumulative_covered_keys_req,final_union_coverage_ratio_pct,final_logical_deleted_keys,del_range_rate_sec,get_rate_sec,scan_rate_sec,put_rate_sec,scan_us_per_key,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,data_scale_mb,value_size_bytes,block_cache_mb
p1_range_del_ratio_0pct_rep1,P1,p1_range_del_ratio_0pct,1.00067,200000,9997,0,0,150051,39952,0,0.0,0.0,0,0,0.0,0,0.0,149950.53314279433,39925.25008244476,9990.306494648587,0.668314,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_0pct_rep2,P1,p1_range_del_ratio_0pct,0.500453,200000,9997,0,0,150051,39952,0,0.0,0.0,0,0,0.0,0,0.0,299830.35369954817,79831.67250471073,19975.901832939355,0.645366,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_0pct_rep3,P1,p1_range_del_ratio_0pct,0.500549,200000,9997,0,0,150051,39952,0,0.0,0.0,0,0,0.0,0,0.0,299772.8494113463,79816.36163492485,19972.070666408283,0.650699,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_0_5pct_rep1,P1,p1_range_del_ratio_0_5pct,1.00077,200000,9997,18728,24863,105472,39950,990,0.49500000000000005,989.2382865193802,100,99000,31.35,156750,989.2382865193802,148948.30980145288,39919.26216813054,9989.308232660851,0.739156,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_0_5pct_rep2,P1,p1_range_del_ratio_0_5pct,1.0007,200000,9997,18702,24946,105415,39950,990,0.49500000000000005,989.3074847606676,100,99000,31.35,156750,989.3074847606676,148958.72888977718,39922.05456180674,9990.006995103427,0.742863,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_0_5pct_rep3,P1,p1_range_del_ratio_0_5pct,1.00077,200000,9997,18719,24887,105457,39950,990,0.49500000000000005,989.2382865193802,100,99000,31.35,156750,989.2382865193802,148948.30980145288,39919.26216813054,9989.308232660851,0.76842,0.0,0.0,57.2733,0,0,0,128.0,256,128.0
p1_range_del_ratio_1pct_rep1,P1,p1_range_del_ratio_1pct,2.00103,200000,9997,24111,43070,80891,39947,1984,0.992,991.4893829677716,100,198400,50.1642,250821,991.4893829677716,73997.89108609066,19963.218942244745,4995.927097544764,2.1115,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_1pct_rep2,P1,p1_range_del_ratio_1pct,2.50109,200000,9997,24123,43181,80768,39947,1984,0.992,793.2541411944392,100,198400,50.1642,250821,793.2541411944392,59202.98749745111,15971.836279382189,3997.057283024601,2.17298,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_1pct_rep3,P1,p1_range_del_ratio_1pct,2.50087,200000,9997,24067,43093,80912,39947,1984,0.992,793.3239232747004,100,198400,50.1642,250821,793.3239232747004,59208.19554794932,15973.241312023416,3997.408901702208,2.28048,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_2pct_rep1,P1,p1_range_del_ratio_2pct,8.00227,200000,9997,22836,66629,56569,39969,4000,2.0,499.8581652456116,100,400000,69.1932,345966,499.8581652456116,18249.07182586941,4994.7077516754625,1249.2705194900948,8.01899,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_2pct_rep2,P1,p1_range_del_ratio_2pct,7.50169,200000,9997,23045,66375,56614,39969,4000,2.0,533.2131826295141,100,400000,69.1932,345966,533.2131826295141,19466.813478029617,5327.999424129763,1332.6330466868133,7.08342,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_2pct_rep3,P1,p1_range_del_ratio_2pct,8.00228,200000,9997,22848,66716,56470,39969,4000,2.0,499.8575406009287,100,400000,69.1932,345966,499.8575406009287,18249.049021029005,4994.70151006963,1249.268958346871,7.75369,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_5pct_rep1,P1,p1_range_del_ratio_5pct,52.0089,200000,9997,11370,89848,38904,39906,9975,4.987500000000001,191.79409677958967,100,997500,79.3456,396728,191.79409677958967,2694.192724706733,767.291751988602,192.21710130381533,61.5995,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_5pct_rep2,P1,p1_range_del_ratio_5pct,54.5128,200000,9997,11333,89889,38900,39906,9975,4.987500000000001,182.98454674865354,100,997500,79.3456,396728,182.98454674865354,2570.442171379933,732.0482528873953,183.38812168885107,65.9468,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_5pct_rep3,P1,p1_range_del_ratio_5pct,54.0139,200000,9997,11471,89795,38856,39906,9975,4.987500000000001,184.67468559019068,100,997500,79.3456,396728,184.67468559019068,2594.184089650997,738.809824878411,185.08198815490087,71.3034,0.0,0.0,57.2762,0,0,0,128.0,256,128.0
p1_range_del_ratio_10pct_rep1,P1,p1_range_del_ratio_10pct,203.038,200000,9997,5418,93648,31016,40048,19873,9.936499999999999,97.8782296909938,100,1987300,79.9832,399916,97.8782296909938,640.6780996660723,197.243865680316,49.23708862380441,342.007,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_10pct_rep2,P1,p1_range_del_ratio_10pct,209.551,200000,9997,5397,93678,31007,40048,19873,9.936499999999999,94.83610195131496,100,1987300,79.9832,399916,94.83610195131496,620.7653506783552,191.11338051357427,47.70676350864468,344.475,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_10pct_rep3,P1,p1_range_del_ratio_10pct,202.054,200000,9997,5351,93645,31085,40048,19873,9.936499999999999,98.35489522602869,100,1987300,79.9832,399916,98.35489522602869,643.7932433903808,198.20444039712157,49.476872519227534,326.161,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p6_d0_clean_rep1,P6,D0,60.0,10430242,521072,2607103,0,5212156,2089911,0,0.0,0.0,0,0,0.0,0,0.0,130320.98333333334,34831.85,8684.533333333333,2.882,765.0,377.0,644.0,0,0,0,1024.0,1024,128.0
