exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,db_dir_mb
p7_ratio_000_rep1,p7-ratio-000,1,0.0164316,2000,1,1477,16.644,34.246,49.236,0,0,0,0,0,0,0,0,430,135.094,189.206,329.243,100.233,1.38907,98,12.789,36.107,192.107,0,0,0,0,2005,2005,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,956,4418,17.7894,0,130.788
p7_ratio_000_rep1,p7-ratio-000,2,0.0250944,4000,2,1535,13.834,19.821,26.247,0,0,0,0,0,0,0,0,376,117.834,151.315,175.576,100,1.17432,90,11.942,18.273,27.415,0,0,0,0,2001,2001,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,1302,3640,26.3456,0,130.813
p7_ratio_000_rep1,p7-ratio-000,3,0.0331473,6000,3,1508,12.953,18.643,22.327,0,0,0,0,0,0,0,0,399,105.808,148.329,213.41,100,1.05959,94,11.032,22.12,26.432,0,0,0,0,2001,2001,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,1867,3202,36.8317,0,130.84
p7_ratio_000_rep1,p7-ratio-000,4,0.0404592,8000,4,1500,12.495,17.857,21.277,0,0,0,0,0,0,0,0,398,95.495,134.934,157.796,100,0.935998,100,9.969,19.17,33.779,0,0,0,0,1998,1998,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2315,2807,45.1972,0,130.867
p7_ratio_000_rep1,p7-ratio-000,5,0.0476948,10000,5,1492,10.003,18.044,41.138,0,0,0,0,0,0,0,0,422,88.626,140.722,185.195,100,0.89768,86,10.601,18.204,29.315,0,0,0,0,2000,2000,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2757,2531,52.1369,0,130.892
p7_ratio_000_rep1,p7-ratio-000,6,0.0538233,12000,6,1534,7.293,16.999,23.856,0,0,0,0,0,0,0,0,366,81.031,132.873,153.598,100,0.822523,104,10.174,19.108,20.51,0,0,0,0,2004,2004,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2723,2082,56.6701,0,130.921
p7_ratio_000_rep1,p7-ratio-000,7,0.0599081,14000,7,1491,6.225,16.389,19.484,0,0,0,0,0,0,0,0,414,72.493,122.352,136.276,100,0.754189,97,10.091,18.538,24.017,0,0,0,0,2002,2002,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3284,1939,62.8757,0,130.948
p7_ratio_000_rep1,p7-ratio-000,8,0.0656769,16000,8,1504,5.786,16.302,19.104,0,0,0,0,0,0,0,0,407,68.473,118.973,138.472,100,0.716339,88,10.734,17.249,23.489,0,0,0,0,1999,1999,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3547,1647,68.2903,0,130.973
p7_ratio_000_rep1,p7-ratio-000,9,0.0710456,18000,9,1536,5.624,16.475,19.336,0,0,0,0,0,0,0,0,373,69.439,107.645,130.187,100,0.708174,91,9.835,23.214,29.229,0,0,0,0,2000,2000,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3501,1379,71.7418,0,130.999
p7_ratio_000_rep1,p7-ratio-000,10,0.0765171,20000,10,1490,5.643,16.154,19.783,0,0,0,0,0,0,0,0,412,63.597,100.578,123.272,100,0.673917,98,10.279,19.924,23.137,0,0,0,0,2000,2000,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3948,1253,75.9085,0,131.026
p7_ratio_000_rep1,p7-ratio-000,11,0.081763,22000,11,1493,5.399,14.096,17.315,0,0,0,0,0,0,0,0,423,60.719,97.965,111.163,100,0.643353,87,9.406,16.242,23.417,0,0,0,0,2003,2003,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4151,1126,78.6621,0,131.051
p7_ratio_000_rep1,p7-ratio-000,12,0.086697,24000,12,1488,5.283,14.253,17.327,0,0,0,0,0,0,0,0,391,60.166,93.689,116.283,100,0.634016,117,9.088,20.48,27.903,0,0,0,0,1996,1996,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4074,937,81.3011,0,131.084
p7_ratio_000_rep1,p7-ratio-000,13,0.0914315,26000,13,1485,5.254,13.468,15.944,0,0,0,0,0,0,0,0,404,55.953,87.468,101.534,100,0.596661,108,8.465,16.508,28.327,0,0,0,0,1997,1997,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4372,756,85.2574,0,131.114
p7_ratio_000_rep1,p7-ratio-000,14,0.0961253,28000,14,1488,5.201,13.486,16.248,0,0,0,0,0,0,0,0,410,54.915,83.605,102.975,100,0.583907,105,9.078,17.771,19.314,0,0,0,0,2003,2003,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4444,737,85.7749,0,131.143
p7_ratio_000_rep1,p7-ratio-000,15,0.100663,30000,15,1493,5.113,13.157,15.729,0,0,0,0,0,0,0,0,396,53.451,84.446,119.925,100,0.580864,109,9.516,16.851,18.673,0,0,0,0,1998,1998,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4431,633,87.5,0,131.174
p7_ratio_000_rep1,p7-ratio-000,16,0.105105,32000,16,1502,5.109,13.602,17.848,0,0,0,0,0,0,0,0,405,49.957,80.387,96.213,100,0.549833,97,9.226,18.156,24.331,0,0,0,0,2004,2004,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4601,532,89.6357,0,131.202
p7_ratio_000_rep1,p7-ratio-000,17,0.10967,34000,17,1471,5.041,13.441,16.435,0,0,0,0,0,0,0,0,417,50.323,75.612,93.906,100,0.545864,108,8.632,17.269,21.51,0,0,0,0,1996,1996,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4724,508,90.2905,0,131.232
p7_ratio_000_rep1,p7-ratio-000,18,0.113985,36000,18,1511,5.05,13.062,17.022,0,0,0,0,0,0,0,0,395,49.488,77.109,93.718,100,0.541794,92,8.811,17.852,33.016,0,0,0,0,1998,1998,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4591,468,90.7492,0,131.258
p7_ratio_000_rep1,p7-ratio-000,19,0.118267,38000,19,1504,5.005,12.348,15.807,0,0,0,0,0,0,0,0,406,49.433,72.855,89.659,100,0.529206,97,9.607,16.413,21.869,0,0,0,0,2007,2007,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4742,417,91.917,0,131.285
p7_ratio_000_rep1,p7-ratio-000,20,0.122727,40000,20,1452,5.017,10.745,15.507,0,0,0,0,0,0,0,0,433,48.028,74.533,99.075,100,0.525072,108,8.246,17.993,20.67,0,0,0,0,1993,1993,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4990,392,92.7165,0,131.315
p7_ratio_000_rep1,p7-ratio-000,21,0.126866,42000,21,1517,4.952,10.289,14.231,0,0,0,0,0,0,0,0,400,47.429,71.354,90.133,100,0.513877,85,8.861,18,22.741,0,0,0,0,2002,2002,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4757,362,92.9283,0,131.339
p7_ratio_000_rep1,p7-ratio-000,22,0.131085,44000,22,1523,5.13,11.144,18.007,0,0,0,0,0,0,0,0,376,50.007,74.55,93.888,100,0.538991,102,8.537,17.491,19.621,0,0,0,0,2001,2001,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4632,293,94.0508,0,131.368
p7_ratio_000_rep1,p7-ratio-000,23,0.135532,46000,23,1473,5.178,10.767,14.478,0,0,0,0,0,0,0,0,415,51.136,71.493,85.124,100,0.54146,114,8.82,17.288,21.357,0,0,0,0,2002,2002,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4852,344,93.3795,0,131.4
p7_ratio_000_rep1,p7-ratio-000,24,0.139663,48000,24,1539,5.096,10.166,13.993,0,0,0,0,0,0,0,0,380,50.802,70.001,85.652,100,0.533988,82,9.722,17.639,22.589,0,0,0,0,2001,2001,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4688,281,94.3449,0,131.423
p7_ratio_000_rep1,p7-ratio-000,25,0.143647,50000,25,1525,4.92,10.264,16.171,0,0,0,0,0,0,0,0,376,48.186,67.67,81.696,100,0.50966,92,8.122,24.135,33.826,0,0,0,0,1993,1993,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4634,281,94.2828,0,131.45
p7_ratio_000_rep1,p7-ratio-000,26,0.147555,52000,26,1540,4.987,10.114,13.948,0,0,0,0,0,0,0,0,365,48.311,69.901,80.867,100,0.510622,100,8.706,16.531,24.514,0,0,0,0,2005,2005,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,4527,286,94.0578,0,131.477
