exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,db_dir_mb
p7_ratio_010_rep1,p7-ratio-010,1,1.00028,164079,82.0395,95128,7.309,113.638,737.003,7831,8.768,198.401,1028.82,18528,2.988,179.143,1032.92,32829,63.944,194.469,998.27,84.7774,1.18934,8156,14.155,57.668,100.736,1646,40.633,110.682,185.111,164118,164118,4.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,337957,34170,90.8177,0,133.129
p7_ratio_010_rep2,p7-ratio-010,1,1.00013,173572,86.786,99275,6.603,118.001,511.7,8655,7.168,190.006,1109.11,20490,2.25,183.596,1081.36,34747,57.586,192.432,954.885,83.9985,1.10595,8672,13.096,52.855,88.908,1750,38.078,105.208,150.225,173589,173589,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,357430,34355,91.2312,0,133.283
p7_ratio_010_rep3,p7-ratio-010,1,1.00032,163497,81.7485,94874,7.208,119.844,747.778,7795,7.756,209.897,1067.87,18399,2.541,193.031,1060.32,32705,62.371,201.055,1100.63,84.8177,1.17061,8134,13.922,55.355,97.086,1640,39.594,113.463,147.009,163547,163547,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,336568,34480,90.7074,0,133.126
p7_ratio_020_rep1,p7-ratio-020,1,1.00027,93970,46.985,52597,10.476,285.762,1118.23,4682,12.404,724.864,1442.15,11283,3.959,796.777,1459.88,18918,81.984,443.246,1442.33,83.4904,1.77068,4639,18.112,76.931,118.726,1886,45.403,121.434,165.04,94005,94005,2.00197,0,0,0,0,0,0,0,0,130.67,0,0,0,0,179145,32500,84.6441,0,132.142
p7_ratio_020_rep1,p7-ratio-020,2,2.00817,132361,66.1805,14459,15.081,1794.54,2168.06,3486,15.288,1848.42,2189.92,10088,5.687,1816.66,2199.4,7616,100.191,1946.03,2310.49,64.2727,4.47189,1942,45.785,114.909,182.135,783,91.472,178.2,232.559,38374,38374,3.00198,0,0,0,0,0,0,0,0,130.67,0,0,0,0,74060,220,99.7038,0,132.724
p7_ratio_020_rep1,p7-ratio-020,3,3.01159,161747,80.8735,8863,16.587,2492.66,2863.61,3012,16.619,2544.14,2865,9604,5.855,2469.2,2818.1,5911,109.806,2647.95,2988.1,56.3627,6.48844,1460,48.975,122.932,186.68,568,90.124,180.071,261.2,29418,29418,3.00198,0,0,0,0,0,0,0,0,130.67,0,0,0,0,54200,120,99.7791,0,133.163
p7_ratio_020_rep1,p7-ratio-020,4,4.01505,182734,91.367,5449,23.179,3134.94,3365.28,2213,22.891,3093.04,3393.12,7596,8.424,3111.56,3348.74,4211,155.988,3263.91,3538.81,51.3071,9.90929,1075,63.206,152.978,234.924,399,126.499,250.269,330.631,20943,20943,4.00198,0,0,0,0,0,0,0,0,130.67,0,0,0,0,37569,63,99.8326,0,133.483
p7_ratio_020_rep1,p7-ratio-020,5,5.01839,199162,99.581,3899,25.303,3521.19,3744.65,1759,25.414,3536.78,3773.7,6396,9.55,3509.5,3712.51,3189,166.855,3662,3876.18,47.6475,13.2646,836,66.122,205.339,307.787,350,142.547,298.767,411.455,16429,16429,4.00198,0,0,0,0,0,0,0,0,130.67,0,0,0,0,27751,41,99.8525,0,133.734
p7_ratio_020_rep2,p7-ratio-020,1,1.00037,85007,42.5035,48743,13.709,339.741,1096.84,3937,15.108,915.716,1378.14,9337,5.425,914.214,1315.55,17147,99.085,804.176,1281.99,84.9214,1.99058,4176,21.538,92.342,149.813,1700,57.637,140.156,198.222,85040,85040,2.00197,0,0,0,0,0,0,0,0,130.681,0,0,0,0,161178,32562,83.1929,0,132.013
p7_ratio_020_rep2,p7-ratio-020,2,2.00741,116303,58.1515,12635,17.163,1752.56,1988.25,2672,17.195,1776.21,2018.75,7580,6.728,1740.99,1985.21,6159,152.499,1891.85,2151.68,67.6532,5.47407,1594,56.009,131.622,185.658,638,113,199.87,247.503,31278,31278,3.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,61287,256,99.584,0,132.491
p7_ratio_020_rep2,p7-ratio-020,3,3.01032,139648,69.824,8002,22.801,2263.28,2554.41,2269,22.77,2284.26,2549.92,6745,7.14,2263.65,2544.56,4690,166.659,2432.47,2765.01,60.3345,7.70487,1170,59.357,135.249,212.153,483,113.024,200.79,295.499,23359,23359,3.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,44221,113,99.7451,0,132.843
p7_ratio_020_rep2,p7-ratio-020,4,4.01306,159850,79.925,6015,26.348,2758.84,3049.89,2095,26.33,2769.65,2994.46,6627,9.743,2724,2970.22,4048,183.578,2929.6,3260.71,55.6519,10.2409,1004,65.613,163.156,242.316,385,135.582,255.179,320.555,20174,20174,3.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,37128,62,99.8333,0,133.144
p7_ratio_020_rep2,p7-ratio-020,5,5.01564,179691,89.8455,5238,25.971,3040.4,3236.27,2100,26.103,3020.3,3263.08,7168,10.032,3017.53,3234.46,4003,178.286,3220.71,3444.54,51.3288,11.3369,1016,64.89,191.605,310.601,363,138.825,281.21,381.073,19888,19888,4.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,35597,58,99.8373,0,133.446
p7_ratio_020_rep2,p7-ratio-020,6,6.01933,195652,97.826,3823,26.219,3427.37,3698.4,1699,26.247,3446.58,3744.65,6123,10.047,3403.27,3626.86,3109,175.204,3593.89,3798.17,48.8054,13.3083,813,67.117,197.139,315.118,346,141.793,304.676,429.368,15913,15913,4.00198,0,0,0,0,0,0,0,0,130.681,0,0,0,0,27354,44,99.8394,0,133.691
p7_ratio_020_rep3,p7-ratio-020,1,1.00026,85208,42.604,48852,14.011,349.25,1074.45,3955,15.259,876.056,1174.15,9382,5.416,908.24,1328.2,17185,106.267,682.359,1268.88,84.8903,2.01614,4180,21.854,90.383,136.525,1701,57.222,135.973,191.319,85255,85255,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,161864,32306,83.362,0,132.019
