exp_id,group_name,desc,elapsed_sec,total_ops,overall_iops,phase_a_dur_sec,phase_a_iops,phase_a_scan_us_per_key,phase_a_scan_p99_us,phase_a_get_del_p95_us,phase_b_dur_sec,phase_b_iops,phase_b_scan_us_per_key,phase_b_scan_p99_us,phase_b_get_del_p95_us,phase_b_max_p99_scan_us,phase_c_dur_sec,phase_c_iops,phase_c_scan_us_per_key,phase_c_scan_p99_us,phase_c_get_del_p95_us,phase_c_get_ctrl_p99_us,flush_start_sec,flush_end_sec,flush_duration_ms,put_count,put_p50_us,put_p95_us,put_p99_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,tombstones_count,union_deleted_keys,union_coverage_ratio_pct,block_cache_hits,block_cache_misses,block_cache_hit_rate,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,l1_files_final,l2_files_final,pending_compact_mb,total_sst_mb,sha256_checksum,sample_verified_ok,sample_verified_notfound,full_scan_ok
p8_default_ratio_020-r01,p8-default-ratio-020,"P8 Default DeleteRange 2.0% (No Flush)",5.40848,200000,36979,0.92814,96968.1,1.74395,1377.07,792.66,0.554894,36042.9,4.51247,2045.81,1668.18,2215.36,3.92544,22927.3,8.70897,3659.86,2975.36,3468.49,0,0,0,10000,32.983,124.294,209.299,40000,7395.8,513553,69.4385,107.979,2008.11,3470.6,4.48255,4000,81.734,182.982,297.746,4000,272830,54.566,398700,33151,92.3235,0,0,0,0,0,0,0,0,0,130,d3dc029010eda5a0f21529db90f0f5718e18b9497699f513054ba91f650b72d1,4495,5505,PASS
p8_default_ratio_020-r02,p8-default-ratio-020,"P8 Default DeleteRange 2.0% (No Flush)",5.5746,200000,35877,0.932993,96463.7,1.75824,1280.66,818.947,0.566059,35332,4.59329,2032.91,1636.15,2221.1,4.07555,22082.9,8.88867,3673.94,3003.27,3474.05,0,0,0,10000,35.271,121.149,199.087,40000,7175.4,498249,69.4385,110.862,2102.61,3463.21,4.56195,4000,83.538,186.395,276.218,4000,272830,54.566,399015,32851,92.3932,0,0,0,0,0,0,0,0,0,130,d3dc029010eda5a0f21529db90f0f5718e18b9497699f513054ba91f650b72d1,4495,5505,PASS
p8_default_ratio_020-r03,p8-default-ratio-020,"P8 Default DeleteRange 2.0% (No Flush)",5.61083,200000,35645.3,1.13005,79642.7,2.0608,1504.73,979.723,0.624651,32017.9,5.14741,2067.37,1715.53,2190.05,3.85613,23339.5,8.33352,3675.39,2993.98,3501.08,0,0,0,10000,39.093,123.088,195.801,40000,7129.07,495023,69.4372,122.972,1965.43,3464.45,4.58485,4000,91.759,189.536,269.759,4000,272831,54.5662,396232,32843,92.3456,0,0,0,0,0,0,0,0,0,130,,4495,5505,FAIL
p8_flush_ratio_020-r01,p8-flush-ratio-020,"P8 Oracle Flush DeleteRange 2.0% (Flush at 2000 del ranges)",2.77366,200000,72106.9,0.918733,97961,1.7289,1201.88,697.565,0.41808,47837.8,3.80006,1946.63,1481.09,2113.49,1.43685,62637.2,3.65965,1598.92,895.795,1468.35,1.27201,1.30196,29.9485,10000,27.691,102.76,159.215,40000,14421.4,1.00138e+06,69.4372,97.73,810.573,1642.45,2.61467,4000,79.247,158.377,226.084,4000,272830,54.566,390143,55502,87.5457,10,87,1,0,163860,0,0,0,0,87,d3dc029010eda5a0f21529db90f0f5718e18b9497699f513054ba91f650b72d1,4495,5505,PASS
p8_flush_ratio_020-r02,p8-flush-ratio-020,"P8 Oracle Flush DeleteRange 2.0% (Flush at 2000 del ranges)",2.73107,200000,73231.2,0.931007,96669.5,1.74562,1284.16,602.584,0.348939,57316.7,3.12812,1870.9,1376.85,1964.61,1.45113,62020.7,3.74628,1624.84,861.625,1483.93,1.22062,1.26596,45.3361,10000,27.164,100.523,151.295,40000,14646.2,1.01701e+06,69.4385,93.435,792.593,1636.76,2.58929,4000,78.367,150.436,198.401,4000,272830,54.566,390879,55421,87.5821,10,87,1,0,163860,0,0,0,0,87,d3dc029010eda5a0f21529db90f0f5718e18b9497699f513054ba91f650b72d1,4495,5505,PASS
p8_flush_ratio_020-r03,p8-flush-ratio-020,"P8 Oracle Flush DeleteRange 2.0% (Flush at 2000 del ranges)",2.94358,200000,67944.5,1.03249,87168.1,1.87325,1534.79,885.978,0.355849,56203.5,3.35936,1978.57,1454.83,2144.32,1.55524,57868.8,3.93592,1765.92,934.149,1597.28,1.32279,1.34755,24.7613,10000,27.622,101.822,157.277,40000,13588.9,943592,69.4385,97.928,893.872,1750.79,2.74897,4000,77.952,155.032,219.405,4000,272830,54.566,392287,55372,87.6308,10,87,1,0,163860,0,0,0,0,87,d3dc029010eda5a0f21529db90f0f5718e18b9497699f513054ba91f650b72d1,4495,5505,PASS
p8_default_ratio_050-r01,p8-default-ratio-050,"P8 Default DeleteRange 5.0% (No Flush)",30.9443,200000,6463.23,4.37364,20577.8,7.87782,3906.29,3191.14,2.91506,6860.91,39.0504,8528.45,5117.88,9909.75,23.6556,3804.6,113.848,12763.2,10999.3,12051.4,0,0,0,10000,62.421,208.082,327.387,40000,1292.65,56766.2,43.9147,183.552,9226.36,11926.8,34.7858,10000,122.312,289.474,405.808,10000,429084,85.8168,359374,31324,91.9826,0,0,0,0,0,0,0,0,0,130,9523e46b107f588513040e43ab772a43dfd94293cf34ace6fd6826a1d602dcfc,1431,8569,PASS
p8_default_ratio_050-r02,p8-default-ratio-050,"P8 Default DeleteRange 5.0% (No Flush)",27.0226,200000,7401.23,5.31137,16944.8,9.42185,4042.61,3451.87,2.21156,9043.4,29.7363,5864.94,4837.37,9173.27,19.4996,4615.47,91.6767,12171.2,10794.3,11706.8,0,0,0,10000,55.297,184.17,299.819,40000,1480.25,65004.5,43.9147,170.614,8106.82,11760.3,29.9843,10000,116.749,270.965,390.257,10000,429084,85.8168,360140,31375,91.9863,0,0,0,0,0,0,0,0,0,130,9523e46b107f588513040e43ab772a43dfd94293cf34ace6fd6826a1d602dcfc,1431,8569,PASS
p8_default_ratio_050-r03,p8-default-ratio-050,"P8 Default DeleteRange 5.0% (No Flush)",26.791,200000,7465.21,5.54446,16232.4,9.81172,4035.99,3480.11,2.66974,7491.38,35.9119,8632.48,4856.64,9621.84,18.5768,4844.77,86.8062,12311.9,10049.7,11918.8,0,0,0,10000,58.687,187.338,297.645,40000,1493.04,65566.4,43.9147,173.875,7799.32,11501,29.6501,10000,117.033,269.977,370.278,10000,429084,85.8168,359735,31432,91.9646,0,0,0,0,0,0,0,0,0,130,9523e46b107f588513040e43ab772a43dfd94293cf34ace6fd6826a1d602dcfc,1431,8569,PASS
p8_flush_ratio_050-r01,p8-flush-ratio-050,"P8 Oracle Flush DeleteRange 5.0% (Flush at 5000 del ranges)",13.771,200000,14523.2,5.60876,16046.3,10.0648,4093.06,3463.71,1.57266,12717.3,20.8278,4873.98,4431.68,5313.82,6.58962,13657.8,32.2285,4536.96,3705.18,4321.84,7.06232,7.12292,60.6014,10000,62.297,223.069,340.357,40000,2904.65,127557,43.9147,162.787,3706.6,4596.82,16.0466,10000,124.873,305.733,421.494,10000,429084,85.8168,293608,44488,86.8416,13,47,1,0,316555,0,0,0,0,47,9523e46b107f588513040e43ab772a43dfd94293cf34ace6fd6826a1d602dcfc,1431,8569,PASS
