exp_id,group_name,progress_pct_idx,phase_label,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,db_dir_mb
p8_default_ratio_020-r01,p8-default-ratio-020,1,PhaseA,0.0179296,2000,1,1456,17.946,33.298,58.269,1,18.387,18.387,18.387,2,2.341,2.341,2.341,408,143.859,179.141,390.56,99.6716,1.57019,103,14.857,42.238,90.497,38,36.297,65.863,67.481,2008,2008,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,810,4279,15.9167,0,130.791
p8_default_ratio_020-r01,p8-default-ratio-020,2,PhaseA,0.0286465,4000,2,1442,17.253,33.913,49.201,8,17.036,24.834,24.834,8,2.467,3.207,3.207,417,129.669,163.122,230.445,99.3861,1.2815,99,13.263,29.478,84.949,29,38.394,78.41,86.196,2003,2003,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,1430,3791,27.3894,0,130.82
p8_default_ratio_020-r01,p8-default-ratio-020,3,PhaseA,0.0382638,6000,3,1431,15.368,43.475,60.388,7,17.447,42.798,42.798,22,2.211,3.009,38.049,404,114.066,156.538,201.115,98.1955,1.15124,101,12.806,36.931,59.158,34,39.063,60.559,84.342,1999,1999,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,1929,3134,38.0999,0,130.85
p8_default_ratio_020-r01,p8-default-ratio-020,4,PhaseA,0.047374,8000,4,1423,14.503,55.634,67.741,13,12.743,54.774,54.774,22,2.264,44.081,53.607,386,102.856,156.129,185.553,98.0984,1.05764,109,12.009,38.902,42.517,44,35.097,56.004,86.456,1997,1997,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2174,2715,44.4672,0,130.883
p8_default_ratio_020-r01,p8-default-ratio-020,5,PhaseA,0.0565874,10000,5,1383,13.666,69.645,81.167,19,13.603,83.863,83.863,45,1.775,66.711,71.708,413,92.334,163.24,193.526,96.2591,0.998113,95,11.852,37.129,50.831,44,34.766,45.462,52.564,1999,1999,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2748,2328,54.1371,0,130.912
p8_default_ratio_020-r01,p8-default-ratio-020,6,PhaseA,0.0647817,12000,6,1389,10.345,64.771,78.347,24,12.887,70.201,75.529,58,1.798,58.708,71.042,411,87.135,138.985,178.018,96.2847,0.923119,87,11.939,30.696,64.727,33,35.453,50.747,57.104,2002,2002,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,2898,2120,57.7521,0,130.938
p8_default_ratio_020-r01,p8-default-ratio-020,7,PhaseA,0.0727506,14000,7,1349,7.253,73.286,96.778,43,7.498,55.518,121.336,62,1.707,65.767,106.698,414,81.018,140.926,167.909,96.372,0.874572,107,10.847,28.645,37.259,32,34.347,63.739,68.01,2007,2007,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3187,1802,63.8805,0,130.97
p8_default_ratio_020-r01,p8-default-ratio-020,8,PhaseA,0.081344,16000,8,1351,6.965,91.942,109.796,36,7.654,85.683,100.007,63,1.802,72.439,86.709,416,74.007,167.065,206.661,94.5457,0.879231,89,11.58,36.543,64.152,40,33.957,59.321,59.566,1995,1995,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3459,1577,68.6855,0,130.997
p8_default_ratio_020-r01,p8-default-ratio-020,9,PhaseA,0.0898037,18000,9,1319,6.932,97.371,112.832,41,6.205,99.125,122.688,83,1.645,89.038,116.972,400,68.665,166.116,200.409,92.4925,0.853465,113,11.44,38.289,45.452,46,34.507,59.962,82.908,2002,2002,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3469,1315,72.5125,0,131.031
p8_default_ratio_020-r01,p8-default-ratio-020,10,PhaseA,0.098529,20000,10,1306,6.574,108.522,133.447,51,6.331,81.525,119.207,96,1.721,108.975,119.781,403,68.893,171.01,196.893,92.1737,0.884291,106,12.372,37.684,52.378,45,35.579,58.27,61.412,2007,2007,1.00196,0,0,0,0,0,0,0,0,130.686,0,0,0,0,3692,1140,76.4073,0,131.063
