exp_id,group_name,second_idx,phase_label,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,db_dir_mb
p8_default_ratio_020-r01,p8-default-ratio-020,1,PhaseB,1.00024,92556,46.278,119580,8.53,317.821,1263.06,4580,10.392,770.826,1477.77,10954,3.102,908.01,1483.7,18615,79.637,465.369,1508.41,83.7364,1.80574,4554,16.678,78.259,129.066,1846,43.624,122.739,168.699,160129,160129,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,176078,32651,84.3572,0,132.131
p8_default_ratio_020-r01,p8-default-ratio-020,2,PhaseC,2.01449,128132,64.066,39649,14.547,1833.43,2168.53,3178,16.003,1862.38,2213.92,9119,5.855,1848.53,2170.43,7076,116.221,1960.08,2293.66,64.9479,4.78839,1806,49.874,124.856,188.021,727,99.695,182.769,278.208,61555,61555,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,68859,226,99.6729,0,132.673
p8_default_ratio_020-r01,p8-default-ratio-020,3,PhaseC,3.02001,155751,77.8755,28841,13.867,2457.04,2780.76,2811,17.319,2451.56,2775.15,8689,5.935,2456.81,2767.76,5529,117.631,2640.22,2956.82,57.6099,7.07237,1371,50.402,124.425,179.277,552,104.888,186.496,284.773,47793,47793,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,51171,118,99.7699,0,133.085
p8_default_ratio_020-r01,p8-default-ratio-020,4,PhaseC,4.02574,176584,88.292,20847,18.655,3009.85,3249.68,2221,25.606,2997.85,3218.13,7316,9.099,3004.25,3258.58,4183,168.12,3199.32,3477.74,51.8711,10.4947,1059,61.831,163.785,236.112,388,126.515,245.094,340.769,36014,36014,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,37613,69,99.8169,0,133.401
p8_default_ratio_020-r01,p8-default-ratio-020,5,PhaseC,5.03096,192755,96.3775,15754,25.448,3349.3,3580.69,1694,28.819,3346.24,3651.98,6148,10.721,3338.3,3538.62,3202,220.576,3522.34,3759.32,49.9319,13.183,831,71.531,201.248,362.251,343,145.557,272.734,426.788,27972,27972,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,27983,45,99.8394,0,133.651
p8_default_ratio_020-r02,p8-default-ratio-020,1,PhaseB,1.00027,92518,46.259,119535,9.075,321.719,1224.75,4578,11.213,779.039,1436.15,10940,3.534,909.471,1445.38,18608,83.07,485.409,1408.33,83.7444,1.81079,4549,16.515,77.501,129.943,1846,43.258,125.162,174.082,160056,160056,2.00197,0,0,0,0,0,0,0,0,130.686,0,0,0,0,176254,32412,84.467,0,132.129
p8_default_ratio_020-r02,p8-default-ratio-020,2,PhaseC,2.0135,126836,63.418,38270,14.213,1841.84,2150.2,3067,15.69,1847.07,2148.86,8761,5.844,1833.16,2146.82,6819,116.902,1993.68,2299.47,65.1049,5.03476,1752,49.857,114.854,164.883,701,99.944,167.936,242.46,59370,59370,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,66537,197,99.7048,0,132.655
p8_default_ratio_020-r02,p8-default-ratio-020,3,PhaseC,3.01902,153356,76.678,27847,13.839,2428.99,2734.83,2669,16.8,2429.56,2760.24,8260,6.013,2432.63,2740.68,5304,117.904,2607.25,2904.72,58.059,7.00227,1290,50.901,111.793,167.52,531,99.555,154.518,205.57,45901,45901,3.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,49332,104,99.7896,0,133.045
p8_default_ratio_020-r02,p8-default-ratio-020,4,PhaseC,4.02419,174563,87.2815,21223,17.866,2940.55,3124.2,2270,24.084,2936.23,3111.41,7384,8.876,2923.55,3104.49,4279,164.572,3136.79,3350.16,52.6422,10.4911,1098,61.737,173.18,250.595,394,128.979,247.621,301.034,36648,36648,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,38420,56,99.8545,0,133.371
p8_default_ratio_020-r02,p8-default-ratio-020,5,PhaseC,5.03056,191199,95.5995,16256,21.548,3320.86,3523.48,1748,27.031,3302.79,3553.27,6278,10.132,3312.6,3491.57,3282,178.166,3477.94,3715.27,49.5817,12.4462,868,65.575,186.466,275.665,350,140.561,281.134,365.198,28782,28782,4.00198,0,0,0,0,0,0,0,0,130.686,0,0,0,0,28754,37,99.8715,0,133.632
