condition,workload,sub_state,rep,ops,total_time_ms,latency_us_per_op,visible_keys,write_del_ranges,write_cache_invalidations,view_mat_count,view_mat_ms,lock_attempt_count,lock_contended_count,lock_contended_wait_ms,lock_race_hit_count,active_mem_iter_prep_count,active_mem_iter_prep_ms,active_mem_cover_lookup_count,active_mem_cover_lookup_ms,imm_mem_iter_prep_count,imm_mem_iter_prep_ms,imm_mem_cover_lookup_count,imm_mem_cover_lookup_ms,active_mem_iter_construct_count,active_mem_iter_construct_ms,imm_mem_iter_construct_count,imm_mem_iter_construct_ms,sst_iter_construct_count,sst_iter_construct_ms,scan_range_del_reseek_count,scan_boundary_advance_count,scan_range_del_child_next_count,scan_covered_skip_count
CLEAN,get_live,Warm-steady,1,5000,11.931,2.386,5000,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
CLEAN,scan_intersect,Warm-steady,1,5000,96.728,19.346,250000,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5000,0.3250,5000,0.1265,5000,4.6447,0,0,0,0
T0-MEM,get_live,Cold-build,1,1,2.716,2716.155,1,20000,20000,1,2.6749,1,0,0.0000,0,1,2.6761,1,0.0006,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
T0-MEM,get_live,Warm-steady,1,4999,13.221,2.645,4999,20000,20000,0,0.0000,0,0,0.0000,0,4999,0.4716,4999,0.7234,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
T0-MEM,get_live,Re-invalidated,1,1,2.693,2693.106,1,1,1,1,2.6835,1,0,0.0000,0,1,2.6840,1,0.0004,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
T0-MEM,scan_intersect,Cold-build,1,1,2.667,2667.201,40,20000,20000,1,2.5645,1,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,2.5670,1,0.0002,1,0.0069,4,4,0,0
T0-MEM,scan_intersect,Warm-steady,1,4999,90.970,18.198,199960,20000,20000,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,4999,1.1760,4999,0.1235,4999,4.7643,19996,19996,0,0
T0-MEM,scan_intersect,Re-invalidated,1,1,2.776,2776.332,40,1,1,1,2.7418,1,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,2.7429,1,0.0001,1,0.0037,4,4,0,0
POSTFLUSH-SST,get_live,Warm-steady,1,5000,12.511,2.502,5000,20000,20000,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
POSTFLUSH-SST,scan_intersect,Warm-steady,1,5000,97.820,19.564,200000,20000,20000,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5000,0.3052,5000,0.1326,5000,7.3383,20000,20000,0,0
CLEAN,get_live,Warm-steady,2,5000,10.851,2.170,5000,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0
