exp_id,desc,preload_mode,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_count,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_aff_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_span,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,block_cache_hits,block_cache_misses,block_cache_hit_rate,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,pending_compact_mb,total_sst_mb,sample_verified_ok,sample_verified_notfound,full_scan_ok
s1_clean_point_heavy_rep1,"S1 Clean Baseline (No Tombstones) - Point Heavy",clean,1.01112,200000,197800,0,0,0,0,0,740,9.234,15.914,20.513,9.56002,75709,0.949,1.718,2.841,1.08293,113425,9.55,16.253,21.176,9.9147,10126,10014.6,610455,99.9944,60.9563,164.7,311.833,403.068,135.902,2.2295,0,0,0,0,0,84482,361101,18.9599,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_clean_point_heavy_rep2,"S1 Clean Baseline (No Tombstones) - Point Heavy",clean,1.01033,200000,197956,0,0,0,0,0,732,9.74,17.051,21.56,9.77081,75697,1.018,1.558,2.99,1.09006,113439,10.12,16.647,21.781,10.076,10132,10028.4,614785,99.9944,61.3042,174.151,331.435,403.317,131.359,2.14274,0,0,0,0,0,83925,362200,18.812,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_clean_point_heavy_rep3,"S1 Clean Baseline (No Tombstones) - Point Heavy",clean,1.00946,200000,198126,0,0,0,0,0,736,9.58,16.678,22.302,9.59443,75733,1.015,1.54,2.954,1.09116,113405,9.999,17.202,23.285,10.2312,10126,10031.1,614537,99.9944,61.2631,172.43,355.763,444.708,137.477,2.24405,0,0,0,0,0,84690,361552,18.9785,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_clean_scan_heavy_rep1,"S1 Clean Baseline (No Tombstones) - Scan Heavy",clean,3.01889,200000,66249.4,0,0,0,0,0,76,11.225,15.56,19.35,10.7813,7979,2.591,4.075,5.966,2.56503,12049,12.442,17.409,22.865,12.1773,179896,59590,3.58483e+06,99.9947,60.1583,141.126,236.716,279.983,114.587,1.90475,0,0,0,0,0,834163,2394129,25.8391,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_clean_scan_heavy_rep2,"S1 Clean Baseline (No Tombstones) - Scan Heavy",clean,3.01925,200000,66241.5,0,0,0,0,0,76,11.862,15.093,17.232,11.0384,7961,2.768,4.327,6.433,2.76006,12042,12.712,17.589,23.464,12.4485,179921,59591.2,3.58531e+06,99.9947,60.165,144.326,241.152,296.78,118.253,1.96547,0,0,0,0,0,834473,2395399,25.8361,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_clean_scan_heavy_rep3,"S1 Clean Baseline (No Tombstones) - Scan Heavy",clean,3.01853,200000,66257.4,0,0,0,0,0,75,11.678,18.253,21.861,11.643,7958,2.652,4.31,6.296,2.66983,12080,12.621,17.43,22.717,12.3636,179887,59594.2,3.58503e+06,99.9947,60.1574,143.484,247.873,282.768,117.466,1.95264,0,0,0,0,0,833127,2392380,25.8293,0,0,0,0,0,0,0,602,6085,3915,PASS
s1_tombstone_point_heavy_rep1,"S1 Tombstone State (Flushed Tombstones) - Point Heavy",tombstone_seg_20,1.00928,200000,198162,0,0,0,0,0,734,10.857,18.133,28.7,11.3176,75704,1.203,2.023,2.691,1.33284,113434,10.861,17.848,23.535,11.0467,10128,10034.9,614914,99.9944,61.2773,179.842,330.569,423.722,140.028,2.28515,0,0,0,0,0,109546,586581,15.7365,885,609,0,0,400000,0,0,923,6085,3915,PASS
s1_tombstone_point_heavy_rep2,"S1 Tombstone State (Flushed Tombstones) - Point Heavy",tombstone_seg_20,1.01081,200000,197861,0,0,0,0,0,734,10.508,16.856,20.705,10.3674,75746,1.154,1.732,2.15,1.21215,113400,10.544,16.651,21.54,10.3914,10120,10011.8,613584,99.9944,61.2863,173.984,311.414,414.065,130.701,2.13263,0,0,0,0,0,95491,532776,15.1991,649,438,0,0,300000,0,0,923,6085,3915,PASS
s1_tombstone_point_heavy_rep3,"S1 Tombstone State (Flushed Tombstones) - Point Heavy",tombstone_seg_20,1.01106,200000,197812,0,0,0,0,0,734,10.621,16.809,20.416,10.5768,75713,1.178,1.789,2.422,1.26239,113414,10.651,17.15,22.493,10.6546,10139,10028.1,615308,99.9944,61.3586,179.345,321.982,415.931,137.716,2.24445,0,0,0,0,0,106543,574377,15.6469,828,567,0,0,380000,0,0,923,6085,3915,PASS
s1_tombstone_scan_heavy_rep1,"S1 Tombstone State (Flushed Tombstones) - Scan Heavy",tombstone_seg_20,3.01872,200000,66253.3,0,0,0,0,0,77,13.278,18.674,29.786,12.9428,7976,2.895,4.445,5.672,2.87798,12069,13.945,19.752,25.634,13.7463,179878,59587.6,3.58455e+06,99.9947,60.1559,150.669,254.592,296.384,122.639,2.03868,0,0,0,0,0,861692,2639607,24.6106,966,705,0,0,400000,0,0,602,6085,3915,PASS
