exp_id,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_live_count,get_aff_live_p50_us,get_aff_live_p95_us,get_aff_live_p99_us,get_aff_live_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_span,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio,overlap_factor,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,pending_compact_mb,total_sst_mb,sample_verified_ok,sample_verified_notfound,full_scan_ok
p1_range_del_ratio_0pct_rep1,1.00067,200000,199865.0,9997,7.683,16.232,22.093,8.66949,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150051,4.937,10.719,15.943,5.36998,39952,39925.1,3992260.0,99.9939,99.9939,62.176,106.119,152.402,66.8273,0.668314,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114.508,10000,0,PASS
p1_range_del_ratio_0pct_rep2,0.500453,200000,399638.0,9997,7.628,16.233,21.755,8.6187,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150051,4.698,10.049,15.931,5.12529,39952,79831.7,7982680.0,99.9939,99.9939,60.435,101.991,153.732,64.5327,0.645366,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114.532,10000,0,PASS
p1_range_del_ratio_0pct_rep3,0.500549,200000,399561.0,9997,7.619,16.311,22.049,8.66947,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150051,4.748,10.011,15.76,5.18083,39952,79816.3,7981140.0,99.9939,99.9939,59.885,105.912,157.517,65.0659,0.650699,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,114.526,10000,0,PASS
p1_range_del_ratio_0_5pct_rep1,1.00077,200000,199847.0,9997,8.364,20.832,35.114,9.85574,18728,5.027,10.591,162.601,9.50146,24863,1.751,3.835,156.924,6.49731,105472,5.201,14.021,120.837,8.7824,39950,39919.4,3325670.0,99.9939,83.3097,60.101,121.019,187.263,61.5789,0.739156,990,31.81,44.241,59.873,32.5779,990,156750,0.3135,1.26316,0.0,0.0,0.0,0,0,0,0,114.529,6810,3190,PASS
p1_range_del_ratio_0_5pct_rep2,1.0007,200000,199860.0,9997,8.077,20.204,36.22,9.57902,18702,4.822,10.842,156.777,9.37645,24946,1.742,3.896,152.929,6.18925,105415,5.036,15.511,116.819,8.71832,39950,39922.1,3326540.0,99.9939,83.3257,58.885,127.475,185.138,61.8996,0.742863,990,30.528,43.615,57.964,31.5183,990,156750,0.3135,1.26316,0.0,0.0,0.0,0,0,0,0,114.529,6811,3189,PASS
p1_range_del_ratio_0_5pct_rep3,1.00077,200000,199847.0,9997,8.053,20.018,35.175,9.51219,18719,5.042,10.588,153.698,9.41794,24887,1.763,3.965,153.988,6.42695,105457,5.223,15.845,122.292,8.82247,39950,39919.3,3325680.0,99.9939,83.31,61.876,129.976,195.211,64.0171,0.76842,990,30.831,44.86,64.122,32.1362,990,156750,0.3135,1.26316,0.0,0.0,57.2733,0,0,0,0,114.529,6810,3190,PASS
p1_range_del_ratio_1pct_rep1,2.00103,200000,99948.5,9997,14.581,69.045,113.931,24.5955,24111,8.568,175.117,1767.72,65.8691,43070,5.664,259.985,1797.79,72.2649,80891,6.791,94.997,1521.78,41.6464,39947,19963.2,1422710.0,99.9939,71.2668,79.318,272.116,1890.46,150.48,2.1115,1984,43.713,123.573,170.548,61.1908,1984,250821,0.501642,1.582,0.0,0.0,0.0,0,0,0,0,114.527,4905,5095,PASS
p1_range_del_ratio_1pct_rep2,2.50109,200000,79965.0,9997,15.398,71.967,112.925,25.677,24123,9.491,210.66,1712.4,70.1456,43181,5.782,243.697,1759.39,72.2719,80768,6.871,92.689,1486.04,42.4823,39947,15971.8,1135480.0,99.9939,71.0929,80.758,289.273,1860.87,154.484,2.17298,1984,44.68,132.637,198.562,63.8795,1984,250821,0.501642,1.582,0.0,0.0,0.0,0,0,0,0,114.526,4904,5096,PASS
p1_range_del_ratio_1pct_rep3,2.50087,200000,79972.1,9997,15.585,69.937,116.703,25.6008,24067,9.88,221.899,1749.78,70.2733,43093,5.826,323.395,1830.14,79.4802,80912,7.26,104.321,1533.97,45.9716,39947,15973.2,1138920.0,99.9939,71.3016,84.408,297.497,1918.19,162.602,2.28048,1984,46.637,128.326,186.065,64.6487,1984,250821,0.501642,1.582,0.0,0.0,0.0,0,0,0,0,114.523,4905,5095,PASS
p1_range_del_ratio_2pct_rep1,8.00227,200000,24992.9,9997,45.185,121.202,200.906,48.8433,22836,17.105,2251.69,4143.8,270.63,66629,8.537,3066.97,4397.8,333.556,56569,15.092,1555.93,3905.34,190.575,39969,4994.71,270857.0,99.9923,54.2288,144.473,2852.17,4505.1,434.86,8.01899,4000,100.935,185.142,262.752,100.244,4000,345966,0.691932,2.31237,0.0,0.0,0.0,0,0,0,0,114.527,2985,7015,PASS
