config_base,elapsed_sec_mean,total_ops_mean,overall_iops_mean,put_count_mean,put_p50_us_mean,put_p95_us_mean,put_p99_us_mean,put_mean_us_mean,get_aff_count_mean,get_aff_p50_us_mean,get_aff_p95_us_mean,get_aff_p99_us_mean,get_aff_mean_us_mean,get_del_count_mean,get_del_p50_us_mean,get_del_p95_us_mean,get_del_p99_us_mean,get_del_mean_us_mean,get_ctrl_count_mean,get_ctrl_p50_us_mean,get_ctrl_p95_us_mean,get_ctrl_p99_us_mean,get_ctrl_mean_us_mean,scan_count_mean,scan_ops_sec_mean,scan_keys_sec_mean,scan_avg_span_mean,scan_avg_keys_returned_mean,scan_p50_us_mean,scan_p95_us_mean,scan_p99_us_mean,scan_mean_us_mean,scan_us_per_key_mean,del_range_count_mean,del_range_p50_us_mean,del_range_p95_us_mean,del_range_p99_us_mean,del_range_mean_us_mean,block_cache_hits_mean,block_cache_misses_mean,block_cache_hit_rate_mean,compaction_read_mb_mean,compaction_write_mb_mean,flush_write_mb_mean,stall_micros_mean,compaction_drop_keys_mean,l0_files_final_mean,pending_compact_mb_mean,total_sst_mb_mean,sample_verified_ok_mean,sample_verified_notfound_mean,elapsed_sec_std,total_ops_std,overall_iops_std,put_count_std,put_p50_us_std,put_p95_us_std,put_p99_us_std,put_mean_us_std,get_aff_count_std,get_aff_p50_us_std,get_aff_p95_us_std,get_aff_p99_us_std,get_aff_mean_us_std,get_del_count_std,get_del_p50_us_std,get_del_p95_us_std,get_del_p99_us_std,get_del_mean_us_std,get_ctrl_count_std,get_ctrl_p50_us_std,get_ctrl_p95_us_std,get_ctrl_p99_us_std,get_ctrl_mean_us_std,scan_count_std,scan_ops_sec_std,scan_keys_sec_std,scan_avg_span_std,scan_avg_keys_returned_std,scan_p50_us_std,scan_p95_us_std,scan_p99_us_std,scan_mean_us_std,scan_us_per_key_std,del_range_count_std,del_range_p50_us_std,del_range_p95_us_std,del_range_p99_us_std,del_range_mean_us_std,block_cache_hits_std,block_cache_misses_std,block_cache_hit_rate_std,compaction_read_mb_std,compaction_write_mb_std,flush_write_mb_std,stall_micros_std,compaction_drop_keys_std,l0_files_final_std,pending_compact_mb_std,total_sst_mb_std,sample_verified_ok_std,sample_verified_notfound_std,elapsed_sec_min,total_ops_min,overall_iops_min,put_count_min,put_p50_us_min,put_p95_us_min,put_p99_us_min,put_mean_us_min,get_aff_count_min,get_aff_p50_us_min,get_aff_p95_us_min,get_aff_p99_us_min,get_aff_mean_us_min,get_del_count_min,get_del_p50_us_min,get_del_p95_us_min,get_del_p99_us_min,get_del_mean_us_min,get_ctrl_count_min,get_ctrl_p50_us_min,get_ctrl_p95_us_min,get_ctrl_p99_us_min,get_ctrl_mean_us_min,scan_count_min,scan_ops_sec_min,scan_keys_sec_min,scan_avg_span_min,scan_avg_keys_returned_min,scan_p50_us_min,scan_p95_us_min,scan_p99_us_min,scan_mean_us_min,scan_us_per_key_min,del_range_count_min,del_range_p50_us_min,del_range_p95_us_min,del_range_p99_us_min,del_range_mean_us_min,block_cache_hits_min,block_cache_misses_min,block_cache_hit_rate_min,compaction_read_mb_min,compaction_write_mb_min,flush_write_mb_min,stall_micros_min,compaction_drop_keys_min,l0_files_final_min,pending_compact_mb_min,total_sst_mb_min,sample_verified_ok_min,sample_verified_notfound_min,elapsed_sec_max,total_ops_max,overall_iops_max,put_count_max,put_p50_us_max,put_p95_us_max,put_p99_us_max,put_mean_us_max,get_aff_count_max,get_aff_p50_us_max,get_aff_p95_us_max,get_aff_p99_us_max,get_aff_mean_us_max,get_del_count_max,get_del_p50_us_max,get_del_p95_us_max,get_del_p99_us_max,get_del_mean_us_max,get_ctrl_count_max,get_ctrl_p50_us_max,get_ctrl_p95_us_max,get_ctrl_p99_us_max,get_ctrl_mean_us_max,scan_count_max,scan_ops_sec_max,scan_keys_sec_max,scan_avg_span_max,scan_avg_keys_returned_max,scan_p50_us_max,scan_p95_us_max,scan_p99_us_max,scan_mean_us_max,scan_us_per_key_max,del_range_count_max,del_range_p50_us_max,del_range_p95_us_max,del_range_p99_us_max,del_range_mean_us_max,block_cache_hits_max,block_cache_misses_max,block_cache_hit_rate_max,compaction_read_mb_max,compaction_write_mb_max,flush_write_mb_max,stall_micros_max,compaction_drop_keys_max,l0_files_final_max,pending_compact_mb_max,total_sst_mb_max,sample_verified_ok_max,sample_verified_notfound_max
s1_clean_point_heavy,1.0103033333333333,200000.0,197960.66666666666,0.0,0.0,0.0,0.0,0.0,736.0,9.518,16.547666666666668,21.458333333333332,9.641753333333334,75713.0,0.9939999999999999,1.6053333333333333,2.9283333333333332,1.08805,113423.0,9.889666666666667,16.700666666666667,22.080666666666662,10.073966666666665,10128.0,10024.699999999999,613259.0,99.9944,61.17453333333333,170.427,333.01033333333334,417.031,134.91266666666667,2.20543,0.0,0.0,0.0,0.0,0.0,84365.66666666667,361617.6666666667,18.9168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,6085.0,3915.0,0.0008303212229813449,0.0,163.05009455174977,0.0,0.0,0.0,0.0,0.0,4.0,0.25863487777173444,0.5795966988633852,0.898822748562436,0.11308284323155984,18.33030277982336,0.038999999999999965,0.097986393613263,0.07774531068388196,0.004468030886195846,17.08800749063506,0.30031705468276804,0.4767707345604743,1.0859651621177067,0.15825979695846068,3.4641016151377544,8.85042371866988,2431.499126053719,0.0,0.19010955613364888,5.033821311886243,22.007327900800046,23.969308438083917,3.176722577332381,0.05477638816132378,0.0,0.0,0.0,0.0,0.0,395.54561473151506,552.4349132099946,0.09123469734700661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00946,200000,197800.0,0,0.0,0.0,0.0,0.0,732,9.234,15.914,20.513,9.56002,75697,0.949,1.54,2.841,1.08293,113405,9.55,16.253,21.176,9.9147,10126,10014.6,610455.0,99.9944,60.9563,164.7,311.833,403.068,131.359,2.14274,0,0,0,0,0,83925,361101,18.812,0,0,0,0,0,0,0,602,6085,3915,1.01112,200000,198126.0,0,0.0,0.0,0.0,0.0,740,9.74,17.051,22.302,9.77081,75733,1.018,1.718,2.99,1.09116,113439,10.12,17.202,23.285,10.2312,10132,10031.1,614785.0,99.9944,61.3042,174.151,355.763,444.708,137.477,2.24405,0,0,0,0,0,84690,362200,18.9785,0,0,0,0,0,0,0,602,6085,3915
s1_clean_scan_heavy,3.0188900000000003,200000.0,66249.43333333333,0.0,0.0,0.0,0.0,0.0,75.66666666666667,11.588333333333333,16.302,19.480999999999998,11.154233333333332,7966.0,2.6703333333333332,4.237333333333333,6.2316666666666665,2.6649733333333336,12057.0,12.591666666666667,17.476,23.01533333333333,12.3298,179901.33333333334,59591.799999999996,3585056.6666666665,99.99470000000001,60.16023333333334,142.97866666666667,241.91366666666667,286.51033333333334,116.76866666666666,1.9409533333333335,0.0,0.0,0.0,0.0,0.0,833921.0,2393969.3333333335,25.834833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,6085.0,3915.0,0.00036000000000002697,0.0,7.9500524107239805,0.0,0.0,0.0,0.0,0.0,0.5773502691896278,0.32782973222899353,1.7056737671665123,2.317278792031723,0.4423739858234597,11.357816691600547,0.0899129208364031,0.14084151849981302,0.24005485484224875,0.09760566394084585,20.223748416156685,0.13736933185152095,0.09842255838983222,0.39554055839235164,0.13872342988839328,17.616280348968044,2.163330765278192,241.1085509336619,0.0,0.004152509281546448,1.6587710310146244,5.6173627560745265,9.002143985369996,1.9299208101197636,0.032002550419198465,0.0,0.0,0.0,0.0,0.0,704.8772942860338,1515.8200200991932,0.0050212880153726255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01853,200000,66241.5,0,0.0,0.0,0.0,0.0,75,11.225,15.093,17.232,10.7813,7958,2.591,4.075,5.966,2.56503,12042,12.442,17.409,22.717,12.1773,179887,59590.0,3584830.0,99.9947,60.1574,141.126,236.716,279.983,114.587,1.90475,0,0,0,0,0,833127,2392380,25.8293,0,0,0,0,0,0,0,602,6085,3915,3.01925,200000,66257.4,0,0.0,0.0,0.0,0.0,76,11.862,18.253,21.861,11.643,7979,2.768,4.327,6.433,2.76006,12080,12.712,17.589,23.464,12.4485,179921,59594.2,3585310.0,99.9947,60.165,144.326,247.873,296.78,118.253,1.96547,0,0,0,0,0,834473,2395399,25.8391,0,0,0,0,0,0,0,602,6085,3915
s1_tombstone_point_heavy,1.0103833333333334,200000.0,197945.0,0.0,0.0,0.0,0.0,0.0,734.0,10.661999999999999,17.266000000000002,23.273666666666667,10.753933333333334,75721.0,1.1783333333333335,1.848,2.421,1.2691266666666667,113416.0,10.685333333333332,17.216333333333335,22.522666666666666,10.697566666666667,10129.0,10024.933333333332,614602.0,99.9944,61.3074,177.72366666666667,321.32166666666666,417.90599999999995,136.14833333333334,2.220743333333333,0.0,0.0,0.0,0.0,0.0,103860.0,564578.0,15.527499999999998,787.3333333333334,538.0,0.0,0.0,360000.0,0.0,0.0,923.0,6085.0,3915.0,0.0009636562319279745,0.0,189.51780918953236,0.0,0.0,0.0,0.0,0.0,0.0,0.17807582654588458,0.7512116878749957,4.701563605156624,0.4992516132506075,22.11334438749598,0.024501700621249536,0.1542108945567725,0.270501386318074,0.060626364177091635,17.08800749063506,0.1612647926031389,0.6012506410252979,0.9978308139826791,0.32975615738501773,9.539392014169456,11.871113399059617,903.3559652761473,0.0,0.04456826225017311,3.2481659953477324,9.594557641357593,5.1224877745095805,4.857099580339416,0.07897526279369599,0.0,0.0,0.0,0.0,0.0,7401.663529234493,28209.21493058607,0.28790963860211466,123.14354767235405,89.11228871485683,0.0,0.0,52915.02622129181,0.0,0.0,0.0,0.0,0.0,1.00928,200000,197812.0,0,0.0,0.0,0.0,0.0,734,10.508,16.809,20.416,10.3674,75704,1.154,1.732,2.15,1.21215,113400,10.544,16.651,21.54,10.3914,10120,10011.8,613584.0,99.9944,61.2773,173.984,311.414,414.065,130.701,2.13263,0,0,0,0,0,95491,532776,15.1991,649,438,0,0,300000,0,0,923,6085,3915,1.01106,200000,198162.0,0,0.0,0.0,0.0,0.0,734,10.857,18.133,28.7,11.3176,75746,1.203,2.023,2.691,1.33284,113434,10.861,17.848,23.535,11.0467,10139,10034.9,615308.0,99.9944,61.3586,179.842,330.569,423.722,140.028,2.28515,0,0,0,0,0,109546,586581,15.7365,885,609,0,0,400000,0,0,923,6085,3915
s1_tombstone_scan_heavy,3.0195666666666665,200000.0,66234.66666666667,0.0,0.0,0.0,0.0,0.0,76.0,13.878333333333332,18.997,26.513666666666666,13.525966666666667,7970.333333333333,3.078,4.618333333333333,5.957999999999999,3.03537,12052.666666666666,14.296666666666667,20.432666666666666,27.259666666666664,14.217500000000001,179901.0,59578.4,3584996.6666666665,99.99459999999999,60.1727,153.22433333333333,259.8643333333334,300.7223333333333,125.06700000000001,2.0784533333333335,0.0,0.0,0.0,0.0,0.0,858887.3333333334,2644219.3333333335,24.517866666666666,966.3333333333334,705.0,0.0,0.0,400000.0,0.0,0.0,602.0,6085.0,3915.0,0.0019807153589884584,0.0,43.457143639837604,0.0,0.0,0.0,0.0,0.0,1.0,0.527215642155402,1.1122495223644733,3.5197699261930944,0.5367453617250298,8.144527815247129,0.16488480827535323,0.15821925715074434,0.317097776718791,0.13643158761811716,18.876793513023745,0.3068522988887862,0.6521666453701328,1.4656569630487652,0.4132944833892659,27.184554438136374,43.14209081627366,3630.665687354447,0.0001732050807544329,0.022989562849257985,2.225959643240032,6.080490468155783,9.410080144894259,2.378173458770403,0.038790516023035154,0.0,0.0,0.0,0.0,0.0,6440.562190782226,6726.83955014035,0.18476623970123274,1.527525231651959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01815,200000,66185.0,0,0.0,0.0,0.0,0.0,75,13.278,18.082,22.79,12.9428,7961,2.895,4.445,5.672,2.87798,12032,13.945,19.752,25.634,13.7463,179878,59531.4,3581610.0,99.9944,60.1559,150.669,254.592,294.264,122.639,2.03868,0,0,0,0,0,851520,2639607,24.3051,965,705,0,0,400000,0,0,602,6085,3915,3.02183,200000,66265.7,0,0.0,0.0,0.0,0.0,77,14.266,20.235,29.786,13.9993,7976,3.215,4.755,6.299,3.11997,12069,14.51,21.052,28.48,14.5186,179931,59616.2,3588830.0,99.9947,60.1989,154.742,266.516,311.519,127.392,2.11618,0,0,0,0,0,863450,2651938,24.6379,968,705,0,0,400000,0,0,602,6085,3915
s2_seg2000_point_heavy,1.01047,200000.0,197927.33333333334,0.0,0.0,0.0,0.0,0.0,75975.66666666667,10.740666666666668,17.432,23.515666666666664,10.759466666666667,76001.66666666667,1.3416666666666668,2.0076666666666667,2.459,1.4261066666666666,37997.0,10.691333333333333,17.423666666666666,23.563666666666666,10.716700000000001,10025.666666666666,9921.773333333333,600035.3333333334,99.99129999999998,60.47653333333333,142.96,287.74466666666666,401.6116666666667,133.87133333333333,2.21361,0.0,0.0,0.0,0.0,0.0,102937.33333333333,570060.3333333334,15.285266666666667,797.3333333333334,551.3333333333334,0.0,0.0,366800.0,0.0,0.0,927.0,5971.0,4029.0,4.358898943546943e-05,0.0,8.144527815251246,0.0,0.0,0.0,0.0,0.0,16.62327685305751,0.053594153910042054,0.27719307350653627,0.5560704391831452,0.0642943491555313,18.77054430039948,0.011015141094572228,0.052051256789181655,0.0072111025509280155,0.018798822658170188,7.810249675906654,0.06642539674953668,0.3583871277450318,0.8554141297250901,0.09462489101711012,16.072751268321426,16.132855709183737,1680.953400107617,0.0,0.07806416164497754,0.5977566394445007,7.2592430275706485,8.687894585763202,0.5698748400599293,0.009152414981850413,0.0,0.0,0.0,0.0,0.0,8458.467611413625,18998.43197038466,0.9000792094773287,87.55760008893195,60.57502235520293,0.0,0.0,39990.49887160699,0.0,0.0,0.0,0.0,0.0,1.01044,200000,197918.0,0,0.0,0.0,0.0,0.0,75958,10.679,17.122,22.993,10.6854,75985,1.329,1.957,2.453,1.40524,37992,10.615,17.019,22.817,10.609,10014,9909.76,598943.0,99.9913,60.405,142.311,282.002,395.488,133.218,2.20323,0,0,0,0,0,94805,549925,14.7046,703,482,0,0,321000,0,0,927,5971,4029,1.01052,200000,197933.0,0,0.0,0.0,0.0,0.0,75991,10.776,17.656,24.1,10.8009,76022,1.349,2.061,2.467,1.44172,38006,10.736,17.701,24.497,10.7865,10044,9940.11,601971.0,99.9913,60.5598,143.488,295.904,411.555,134.266,2.22052,0,0,0,0,0,111688,587669,16.3221,876,594,0,0,394800,0,0,927,5971,4029
s2_seg2000_scan_heavy,3.019973333333333,200000.0,66225.8,0.0,0.0,0.0,0.0,0.0,7958.666666666667,14.356666666666667,21.429000000000002,28.967,14.350433333333333,7997.333333333333,3.2723333333333335,4.966666666666667,7.238333333333333,3.25043,3981.0,14.414333333333333,21.527,29.39,14.422033333333333,180063.0,59624.06666666667,3575186.6666666665,99.99426666666666,59.962133333333334,129.74633333333335,244.59799999999998,329.74533333333335,125.262,2.0890166666666667,0.0,0.0,0.0,0.0,0.0,814088.0,2690708.6666666665,23.227766666666668,976.0,716.0,0.0,0.0,400000.0,0.0,0.0,602.0,5971.0,4029.0,0.0009345765529549361,0.0,20.505608988756837,0.0,0.0,0.0,0.0,0.0,17.243356208503396,0.07173794904604783,0.9902792535441691,1.733501658493583,0.1054281904109773,14.977761292440555,0.09592879303594598,0.297305118242746,0.20687274671481834,0.03508739517262597,4.358898943540674,0.10617124532251304,1.0860621529175936,2.0644667592383255,0.08948364841317871,32.07802986469088,28.80023148055412,1271.4296415190977,0.0002886751345900378,0.010365487607117134,1.3096397723547364,9.171989315301236,43.57995987071735,0.4069447136897085,0.006843934053841732,0.0,0.0,0.0,0.0,0.0,8615.622264236055,7025.591600237861,0.23510927955598523,2.6457513110645907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01899,200000,66206.6,0,0.0,0.0,0.0,0.0,7940,14.299,20.698,27.341,14.2315,7985,3.162,4.732,7.039,3.21122,3976,14.298,20.888,27.039,14.334,180028,59595.2,3573760.0,99.9941,59.9502,128.384,234.364,300.289,124.84,2.08175,0,0,0,0,0,804145,2686092,22.9563,974,716,0,0,400000,0,0,602,5971,4029,3.02085,200000,66247.4,0,0.0,0.0,0.0,0.0,7974,14.437,22.556,30.791,14.4324,8014,3.336,5.301,7.452,3.27887,3984,14.506,22.781,30.907,14.5129,180091,59652.8,3576200.0,99.9946,59.9689,130.996,252.076,379.807,125.652,2.09534,0,0,0,0,0,819345,2698794,23.3659,979,716,0,0,400000,0,0,602,5971,4029
s2_seg200_point_heavy,1.0100133333333334,200000.0,198017.0,0.0,0.0,0.0,0.0,0.0,7626.666666666667,10.508000000000001,17.158,22.352333333333334,10.3735,76387.66666666667,1.2,1.8503333333333334,2.2613333333333334,1.28148,105984.33333333333,10.412666666666667,17.103333333333335,22.626,10.414566666666667,10001.333333333334,9902.176666666666,593378.3333333334,99.99129999999998,59.924033333333334,163.67966666666666,299.0183333333333,408.6756666666667,127.79233333333333,2.1326066666666663,0.0,0.0,0.0,0.0,0.0,100344.33333333333,558306.6666666666,15.234566666666666,776.0,529.6666666666666,0.0,0.0,352000.0,0.0,0.0,927.0,5985.0,4015.0,0.0008844395588922225,0.0,174.4333683674084,0.0,0.0,0.0,0.0,0.0,8.962886439832573,0.27929196193231215,0.1826499384067787,0.371377615552329,0.24898700769317342,37.44774136490994,0.041146081222881985,0.03156474826976025,0.12354081646700146,0.0408728259360666,32.65475973473405,0.271950975974224,0.11527937080559543,0.23903137869325713,0.21977448289857004,7.505553499465145,10.111233027347675,851.1464817135209,0.0,0.05770930023257388,3.9583457824365644,4.735028651796448,2.291364731624665,3.0393457080979287,0.05279433713319356,0.0,0.0,0.0,0.0,0.0,2671.15337136102,10337.267788605152,0.2675401714384837,43.139309220245984,28.67635495200417,0.0,0.0,19078.784028338912,0.0,0.0,0.0,0.0,0.0,1.00901,200000,197886.0,0,0.0,0.0,0.0,0.0,7621,10.198,17.029,21.941,10.1208,76354,1.161,1.814,2.163,1.2525,105950,10.118,17.016,22.35,10.2036,9994,9891.58,592788.0,99.9913,59.858,160.645,293.686,406.056,125.804,2.09797,0,0,0,0,0,98042,547726,14.926,731,503,0,0,334000,0,0,927,5985,4015,1.01068,200000,198215.0,0,0.0,0.0,0.0,0.0,7637,10.74,17.367,22.663,10.6186,76428,1.243,1.871,2.4,1.32823,106015,10.654,17.234,22.766,10.6422,10009,9911.72,594354.0,99.9913,59.9648,168.157,302.731,410.307,131.291,2.19337,0,0,0,0,0,103273,568382,15.4018,817,560,0,0,372000,0,0,927,5985,4015
s2_seg200_scan_heavy,3.0198066666666663,200000.0,66229.40000000001,0.0,0.0,0.0,0.0,0.0,819.0,13.763666666666666,20.034000000000002,28.26,13.624933333333333,8071.0,3.0429999999999997,4.585999999999999,6.604666666666667,2.9848133333333333,11021.666666666666,13.987666666666668,20.533,28.48266666666667,13.961033333333333,180088.33333333334,59635.700000000004,3568780.0,99.9946,59.842999999999996,140.746,253.13400000000001,337.62466666666666,119.30633333333333,1.9936566666666666,0.0,0.0,0.0,0.0,0.0,823143.6666666666,2647673.0,23.716166666666666,972.6666666666666,716.0,0.0,0.0,400000.0,0.0,0.0,602.0,5985.0,4015.0,0.00024501700621249134,0.0,5.400000000005093,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.06353214409520053,0.6452449147416824,3.9697656102092456,0.1907048592284256,17.320508075688775,0.09995498987044116,0.08217663901620732,0.5590575402705283,0.06739588216896748,21.50193789716024,0.12058330453812034,0.10965856099730559,0.6118344002533164,0.05154962010852697,25.482019804819476,9.414350747663226,858.6035173466272,0.0,0.022293272527826313,0.1122007130101902,13.345994043157672,22.803753470280565,0.769331094739675,0.013110519949007728,0.0,0.0,0.0,0.0,0.0,809.9520561942902,2364.839952301212,0.03142965690766246,2.5166114784235964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01956,200000,66224.0,0,0.0,0.0,0.0,0.0,817,13.699,19.334,25.855,13.5112,8051,2.977,4.497,5.976,2.93022,10998,13.884,20.408,27.804,13.9043,180059,59626.0,3567800.0,99.9946,59.8175,140.621,237.921,320.301,118.466,1.97909,0,0,0,0,0,822412,2646055,23.6815,970,716,0,0,400000,0,0,602,5985,4015,3.02005,200000,66234.8,0,0.0,0.0,0.0,0.0,820,13.826,20.605,32.842,13.8451,8081,3.158,4.659,7.046,3.06014,11040,14.12,20.613,28.992,14.005,180105,59644.8,3569400.0,99.9946,59.8588,140.838,262.871,363.46,119.976,2.00451,0,0,0,0,0,824014,2650387,23.7428,975,716,0,0,400000,0,0,602,5985,4015
s2_seg20_point_heavy,1.0096833333333333,200000.0,198081.66666666666,0.0,0.0,0.0,0.0,0.0,759.0,10.401000000000002,17.524,24.052000000000003,10.386429999999999,75796.66666666667,1.1673333333333333,1.8123333333333334,2.3326666666666664,1.25749,113431.33333333333,10.513333333333334,18.022000000000002,24.242,10.659266666666667,10013.0,9916.963333333333,609616.6666666666,99.99129999999998,61.47220000000001,176.28,343.199,454.1413333333333,136.93233333333333,2.227586666666667,0.0,0.0,0.0,0.0,0.0,94358.33333333333,531845.3333333334,15.068266666666666,649.3333333333334,434.6666666666667,0.0,0.0,300000.0,0.0,0.0,923.0,6085.0,3915.0,0.0006928443788712253,0.0,136.3867051194223,0.0,0.0,0.0,0.0,0.0,7.0,0.3024020502575996,1.5925529818502127,2.805999465431166,0.4950692201096729,14.011899704655239,0.04735328218121033,0.11755991380284914,0.24365823058811958,0.06397187585181467,18.448125469363827,0.31611759415339935,1.2548529794362386,1.962734571968405,0.4851881834230236,24.43358344574123,27.081898628665986,1139.6281557303225,0.0,0.07925282329355948,4.706450998363846,32.255062486375664,42.3039750181154,7.361980191044605,0.12082934591122046,0.0,0.0,0.0,0.0,0.0,1579.8235133499375,1670.5987948437432,0.24451794071874014,6.806859285554057,5.773502691896254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00908,200000,197933.0,0,0.0,0.0,0.0,0.0,754,10.159,15.924,20.815,9.83449,75781,1.117,1.697,2.1,1.18382,113411,10.183,16.598,22.036,10.0998,9996,9892.7,608343.0,99.9913,61.3843,171.131,305.999,405.375,128.502,2.08967,0,0,0,0,0,93220,530678,14.8681,644,428,0,0,300000,0,0,923,6085,3915,1.01044,200000,198201.0,0,0.0,0.0,0.0,0.0,767,10.74,19.109,25.793,10.7913,75808,1.211,1.932,2.586,1.29901,113447,10.813,18.966,25.795,10.9646,10041,9946.18,610540.0,99.9913,61.5382,180.36,363.383,480.976,142.094,2.31482,0,0,0,0,0,96162,533759,15.3408,657,438,0,0,300000,0,0,923,6085,3915
s2_seg20_scan_heavy,3.0201166666666666,200000.0,66222.7,0.0,0.0,0.0,0.0,0.0,81.0,13.801,18.789666666666665,35.42766666666667,13.686599999999999,7931.666666666667,3.042,4.570666666666667,6.462,2.971686666666667,11900.333333333334,14.118,20.41,27.667666666666666,14.067866666666667,180087.0,59629.23333333334,3588076.6666666665,99.99473333333333,60.17306666666667,146.81333333333333,259.517,336.891,120.961,2.01022,0.0,0.0,0.0,0.0,0.0,866023.0,2640660.6666666665,24.69633333333333,965.0,705.0,0.0,0.0,400000.0,0.0,0.0,602.0,6085.0,3915.0,0.0021223179152366884,0.0,46.51354641392543,0.0,0.0,0.0,0.0,0.0,1.0,0.0857729561108863,1.590145066757535,27.55925356995964,0.3874758444083969,5.859465277082444,0.013999999999999995,0.08540686935682212,0.3708139695318935,0.011722006369787197,10.969655114603146,0.12557467897629646,0.22567897553826236,1.1141231230583681,0.18741692381781744,15.874507866387544,47.04108133677883,3926.7586293702616,0.00011547005383150256,0.018470877979495766,3.282121468400182,5.198153422129833,30.703478483715813,2.0684663400693752,0.03452434068885316,0.0,0.0,0.0,0.0,0.0,9689.739057374043,9229.344306793024,0.27302809989693905,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0179,200000,66178.6,0,0.0,0.0,0.0,0.0,80,13.749,17.759,19.263,13.4289,7925,3.026,4.479,6.193,2.96127,11888,13.973,20.155,26.978,13.9084,180075,59585.5,3584410.0,99.9946,60.1556,143.302,253.652,311.07,118.697,1.97266,0,0,0,0,0,854942,2634625,24.3835,963,705,0,0,400000,0,0,602,6085,3915,3.02213,200000,66271.3,0,0.0,0.0,0.0,0.0,82,13.9,20.621,67.249,14.1322,7936,3.052,4.648,6.885,2.98438,11909,14.191,20.584,28.953,14.2743,180105,59679.0,3592220.0,99.9948,60.1924,149.804,263.555,370.841,122.752,2.04057,0,0,0,0,0,872905,2651285,24.8866,967,705,0,0,400000,0,0,602,6085,3915
