exp_id,second_idx,get_ctrl_ops,get_ctrl_p99_us,get_aff_ops,get_aff_p99_us,scan_ops,scan_p99_us,scan_us_per_key,put_ops,put_p99_us,compaction_read_mb_delta,compaction_write_mb_delta,write_stall_micros_delta,l0_files,pending_compact_mb,block_cache_hits,block_cache_misses,is_reclaiming
s3_control_rep1,1,33744,23.972,67784,23.946,44878,364.395,2.21249,11307,38.151,256.198,173.624,0,0,0,215582,721159,0
s3_control_rep1,2,35126,21.515,71677,21.411,47100,244.677,2.08826,11748,37.763,324.502,225.035,0,0,0,233505,764541,0
s3_control_rep1,3,30129,26.651,62045,26.447,40155,305.118,2.4023,10048,43.431,263.612,181.524,0,0,0,200911,649765,0
s3_control_rep1,4,33960,22.26,69674,22.328,44844,291.066,2.11717,11076,39.964,127.869,136.582,0,0,0,186889,684379,0
s3_control_rep1,5,37470,19.651,78196,19.663,50058,272.96,1.91802,12293,38.187,0,0,0,0,0,198127,716287,0
s3_control_rep1,6,34795,23.296,73673,22.602,46002,298.52,2.08549,11387,39.402,0,0,0,0,0,184053,697744,0
s3_control_rep1,7,33557,19.871,72157,19.776,45233,261.309,2.1628,11166,33.522,0,0,0,0,0,192197,753387,0
s3_control_rep1,8,33624,20.149,73255,20.169,44929,254.515,2.16489,11243,32.257,0,0,0,0,0,193352,745481,0
s3_control_rep1,9,33452,20.319,73219,19.979,44651,251.689,2.1469,11027,35.795,0,0,0,0,0,191407,743414,0
s3_control_rep1,10,33465,20.457,73734,20.009,44655,251.745,2.13591,11195,33.522,0,0,0,0,0,189838,745284,0
s3_control_rep1,11,31877,21.349,70927,20.79,42367,277.028,2.27029,10628,34.097,0,0,0,0,0,183889,742029,0
s3_control_rep1,12,29701,21.106,65750,20.936,39694,278.078,2.42282,9978,33.949,0,0,0,0,0,179471,750989,0
s3_control_rep1,13,29511,21.571,65645,21.113,38919,286.803,2.42947,9640,33.296,0,0,0,0,0,176830,737535,0
s3_control_rep1,14,30289,21.252,68204,21.149,39847,276.677,2.39019,10271,35.131,0,0,0,0,0,181388,751739,0
s3_control_rep1,15,29906,21.393,68687,21.282,39853,277.096,2.37305,9955,36.606,0,0,0,0,0,181787,750815,0
s3_control_rep1,16,29692,21.754,67975,21.263,39104,279.808,2.38835,9619,36.909,0,0,0,0,0,178172,737255,0
s3_control_rep1,17,28831,21.998,66311,21.563,38341,292.31,2.46875,9545,35.639,0,0,0,0,0,174651,746378,0
s3_control_rep1,18,27183,22.191,63213,21.708,36092,299.76,2.63239,9072,30.41,0,0,0,0,0,172945,773196,0
s3_control_rep1,19,26782,21.906,63732,21.788,36065,297.869,2.58971,9181,30.7,0,0,0,0,0,170427,774370,0
s3_control_rep1,20,26889,22.092,63428,21.643,36083,297.267,2.61409,8913,31.313,0,0,0,0,0,170645,769602,0
s3_control_rep1,21,27136,22.066,65152,21.771,36515,297.17,2.56467,9240,32.829,0,0,0,0,0,174915,776013,0
s3_control_rep1,22,27325,22.056,64879,21.769,36135,296.523,2.55929,9107,32.444,0,0,0,0,0,171681,770184,0
s3_control_rep1,23,25348,23.141,62000,22.875,33849,320.448,2.73894,8525,33.586,108.325,127.854,0,0,226.034,170229,785579,0
s3_control_rep1,24,25855,22.372,62878,21.958,34563,320.254,2.64505,8811,31.601,67.3235,79.6454,0,0,0,145632,765659,0
s3_control_rep1,25,28609,20.693,70325,20.231,38112,287.841,2.4146,9604,31.438,0,0,0,0,0,151933,794011,0
s3_control_rep1,26,28467,20.823,69625,20.396,37934,287.703,2.40645,9333,32.369,0,0,0,0,0,151471,791727,0
s3_control_rep1,27,27550,21.136,69017,20.755,37608,288.32,2.42042,9447,32.249,0,0,0,0,0,148513,782938,0
s3_control_rep1,28,28003,20.866,70128,20.781,37549,287.385,2.40865,9376,33.235,0,0,0,0,0,146369,784385,0
s3_control_rep1,29,26858,21.288,66755,21.102,35854,303.815,2.54613,8975,31.818,0,0,0,0,0,149104,795494,0
s3_control_rep1,30,26107,21.482,64853,21.118,34655,308.254,2.62668,8642,30.48,0,0,0,0,0,147085,802834,0
s3_control_rep1,31,25903,21.279,66393,21.011,35120,303.289,2.59693,8636,31.073,0,0,0,0,0,149566,804438,0
s3_control_rep1,32,25601,22.063,64152,21.381,33932,305.862,2.61074,8469,32.639,0,0,0,0,0,144254,783395,0
s3_control_rep1,33,25732,21.853,66405,21.614,34520,304.487,2.59125,8613,31.763,0,0,0,0,0,148048,797137,0
s3_control_rep1,34,25630,22.575,65812,21.606,33858,309.894,2.61748,8605,35.466,0,0,0,0,0,143403,781949,0
s3_control_rep1,35,25159,22.141,64473,21.792,33338,317.877,2.70407,8480,32.775,0,0,0,0,0,143642,796851,0
s3_control_rep1,36,22374,26.209,57663,25.557,29693,402.76,3.03314,7329,37.355,0,0,0,0,0,134257,751750,0
s3_control_rep1,37,22842,24.413,59045,24.124,30262,400.823,2.95241,7550,37.81,0,0,0,0,0,134744,768783,0
s3_control_rep1,38,22599,23.814,59433,23.435,30528,398.328,2.92944,7589,36.382,0,0,0,0,0,138649,768320,0
s3_control_rep1,39,23314,23.652,60530,23.24,30465,397.766,2.91427,7705,35.945,0,0,0,0,0,137552,770135,0
s3_control_rep1,40,22436,23.861,59191,23.651,30235,396.737,2.91895,7485,36.885,0,0,0,0,0,135821,763469,0
s3_control_rep1,41,22882,23.56,60102,23.963,30334,398.474,2.90986,7539,37.262,0,0,0,0,0,134507,767520,0
s3_control_rep1,42,21795,24.022,58194,24.026,29041,414.7,3.04155,7431,37.814,0,0,0,0,0,133446,764296,0
s3_control_rep1,43,21134,24.283,56703,24.199,28255,421.563,3.12155,7140,33.979,0,0,0,0,0,133886,776813,0
s3_control_rep1,44,19819,26.766,53404,26.373,26954,432.601,3.28441,6603,36.536,0,0,0,0,0,128314,740883,0
s3_control_rep1,45,20525,26.268,55374,25.953,27284,420.616,3.22175,6918,38.204,0,0,0,0,0,128497,751757,0
s3_control_rep1,46,21004,24.826,56512,24.032,28310,425.577,3.10392,7091,37.019,0,0,0,0,0,134008,779946,0
s3_control_rep1,47,21084,24.773,56797,24.042,28116,423.815,3.1133,7040,37.228,0,0,0,0,0,132047,771187,0
s3_control_rep1,48,21415,25.516,57979,24.287,28149,423.869,3.10102,6967,37.51,0,0,0,0,0,132808,775337,0
s3_control_rep1,49,21363,24.857,57538,24.184,28226,421.496,3.09125,7049,39.04,0,0,0,0,0,132861,774506,0
s3_control_rep1,50,19720,24.719,53701,24.546,26332,416.945,3.28798,6605,36.699,150.001,152.573,0,0,810.756,131821,802594,0
s3_control_rep1,51,20173,24.829,54809,24.551,26856,404.212,3.24276,6696,34.036,302.521,291.604,0,0,193.181,126302,842217,0
s3_control_rep1,52,24706,21.583,67498,21.193,32694,353.07,2.61084,8393,33.887,175.029,156.988,0,0,0,134048,815961,0
s3_control_rep1,53,25822,20.41,71578,20.391,34417,318.674,2.46216,8603,31.57,0,0,0,0,0,143759,789702,0
s3_control_rep1,54,26491,20.485,72104,20.368,34942,316.929,2.41834,8675,32.406,0,0,0,0,0,144542,801787,0
s3_control_rep1,55,25992,20.895,71825,20.414,34559,315.871,2.43831,8467,33.532,0,0,0,0,0,144594,791641,0
s3_control_rep1,56,25076,21.288,70073,21.344,33860,328.615,2.47845,8384,34.65,0,0,0,0,0,139755,777513,0
s3_control_rep1,57,24726,20.996,68716,20.687,32850,333.401,2.58739,8386,31.788,0,0,0,0,0,142413,816174,0
s3_control_rep1,58,24722,21.222,68210,20.791,32600,334.148,2.60711,7909,31.991,0,0,0,0,0,144274,819736,0
s3_control_rep1,59,23921,21.848,67770,21.245,31850,340.9,2.64179,7969,32.544,0,0,0,0,0,141072,804644,0
s3_control_rep1,60,4553,22.213,13235,22.449,6233,377.96,2.69712,1539,34.217,0,0,0,0,0,26985,157995,0
s3_control_rep2,1,36760,22.415,73757,22.461,48822,322.537,2.0278,12309,33.835,359.165,243.641,0,0,0,237383,803383,0
s3_control_rep2,2,36622,21.74,75090,21.782,49131,249.398,1.9845,12223,36.966,360.46,249.524,0,0,0,247605,800153,0
s3_control_rep2,3,29710,27.916,61052,28.115,39564,374.05,2.39173,9903,45.22,251.974,223.6,0,0,0,185865,645875,0
