exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
wb_cleanwrite_16mb_r01,wb_cleanwrite,0,0.0411026,13107,0,1299,12.842,17.916,23.05,0,0,0,0,0,0,0,0,1311,80.815,96.689,110.407,99.9664,0.798701,10549,15.144,31.796,46.563,0,0,0,0,13159,13159,4.00198,0,0,0,0,0,0,0,0,261.394,0,0,0,0,0,4828,10394,31.7173,0,0,264.431
wb_cleanwrite_16mb_r01,wb_cleanwrite,1,0.0783361,26214,1,1277,11.939,17.347,24.189,0,0,0,0,0,0,0,0,1360,69.531,104.343,129.749,99.9338,0.739499,10456,14.117,20.559,25.782,0,0,0,0,13093,13093,7.00201,0,0,0,0,0,0,0,0,261.394,0,0,0,0,0,6790,8916,43.2319,0,0,267.265
wb_cleanwrite_16mb_r01,wb_cleanwrite,2,0.117305,39321,2,1279,11.905,17.716,21.025,0,0,0,0,0,0,0,0,1296,90.207,122.597,137.977,100,0.863139,10534,14.694,21.742,26.864,0,0,0,0,13109,13109,10.002,0,0,0,0,0,0,0,0,261.394,0,0,0,0,0,7786,7253,51.7721,0,0,270.124
wb_cleanwrite_16mb_r01,wb_cleanwrite,3,0.155341,52428,3,1333,11.345,17.451,20.152,0,0,0,0,0,0,0,0,1291,78.544,112.676,134.39,100,0.788939,10485,15.009,22.221,27.246,0,0,0,0,13109,13109,14.0021,0,0,0,0,0,0,0,0,261.394,0,0,0,0,0,8895,6162,59.0755,0,0,272.966
wb_cleanwrite_16mb_r01,wb_cleanwrite,4,0.19115,65535,4,1338,10.453,15.19,21.333,0,0,0,0,0,0,0,0,1306,62.92,85.644,96.808,100,0.628965,10459,14.835,22.623,29.276,0,0,0,0,13103,13103,1.00196,1,0,0,0,0,0,1,0,261.394,0,0,0,0,0,9286,5907,61.1203,0,0,275.796
wb_cleanwrite_16mb_r01,wb_cleanwrite,5,0.225719,78642,5,1333,10.752,15.962,19.697,0,0,0,0,0,0,0,0,1287,66.738,82.315,93.027,100,0.660176,10490,13.951,20.729,24.753,0,0,0,0,13110,13110,4.00198,1,0,0,0,0,0,1,0,261.394,0,0,0,0,0,9048,5906,60.5056,0,0,284.129
wb_cleanwrite_16mb_r01,wb_cleanwrite,6,0.261202,91749,6,1337,11.481,16.695,19.998,0,0,0,0,0,0,0,0,1302,67.291,83.873,93.804,100,0.669476,10465,14.366,21.591,25.506,0,0,0,0,13104,13104,7.00201,1,0,0,0,0,0,1,0,261.394,0,0,0,0,0,9272,5870,61.2337,0,0,294.471
wb_cleanwrite_16mb_r01,wb_cleanwrite,7,0.298305,104856,7,1318,11.264,16.432,20.755,0,0,0,0,0,0,0,0,1291,73.372,92.073,100.823,100,0.732086,10495,14.734,21.948,26.366,0,0,0,0,13104,13104,10.002,0,0,0,0,0,49.942,0,1,274.781,0,3.23704,5,13.3872,0,9929,7942,55.5593,0,0,289.518
wb_cleanwrite_16mb_r01,wb_cleanwrite,8,0.334661,117963,8,1313,11.015,15.654,18.901,0,0,0,0,0,0,0,0,1333,73.188,89.287,95.046,100,0.722867,10458,14.322,20.857,24.516,0,0,0,0,13104,13104,13.0021,0,0,0,0,0,49.942,0,1,274.781,0,5.93091,10,0,0,11146,8783,55.9285,0,0,301.353
wb_cleanwrite_16mb_r01,wb_cleanwrite,9,0.375497,131070,9,1257,11.519,19.612,26.268,0,0,0,0,0,0,0,0,1319,73.816,106.858,138.312,100,0.756626,10521,16.553,27.332,35.513,0,0,0,0,13097,13097,16.0021,0,0,0,0,0,49.942,0,1,274.781,0,7.237,12,0,0,11473,8780,56.6484,0,0,316.2
wb_cleanwrite_16mb_r01,wb_cleanwrite,10,0.417609,144177,10,1251,13.384,20.627,24.682,0,0,0,0,0,0,0,0,1326,78.839,110.216,139.701,100,0.798062,10539,16.983,26.195,31.755,0,0,0,0,13116,13116,3.00198,1,0,0,0,0,49.942,1,1,274.781,0,7.56326,13,0,0,11622,8882,56.6816,0,0,339.054
wb_cleanwrite_16mb_r01,wb_cleanwrite,11,0.459738,157284,11,1354,13.451,20.644,25.308,0,0,0,0,0,0,0,0,1217,81.476,118.775,141.238,100,0.829398,10539,17.429,26.374,31.196,0,0,0,0,13110,13110,6.002,0,0,0,0,0,64.0097,0,1,288.849,0,7.47402,12,14.0679,0,10929,8680,55.7346,0,0,346.168
wb_cleanwrite_16mb_r01,wb_cleanwrite,12,0.502687,170391,12,1321,12.455,17.417,20.797,0,0,0,0,0,0,0,0,1358,84.119,101.95,108.412,100.074,0.832247,10422,17.375,25.987,30.455,0,0,0,0,13101,13101,9.00202,0,0,0,0,0,64.0097,0,1,288.849,0,6.79943,11,0,0,12246,10298,54.3204,0,0,361.602
wb_cleanwrite_16mb_r01,wb_cleanwrite,13,0.547414,183498,13,1338,12.77,17.716,20.873,0,0,0,0,0,0,0,0,1376,86.62,105.858,114.721,100,0.854475,10397,18.228,27.16,32.73,0,0,0,0,13111,13111,12.002,0,0,0,0,0,64.0097,0,1,288.849,0,3.892,7.73032,0,0,12085,9312,56.4799,0,0,370.42
wb_cleanwrite_16mb_r01,wb_cleanwrite,14,0.589571,196605,14,1315,12.086,17.326,20.456,0,0,0,0,0,0,0,0,1267,82.92,101.946,109.81,100,0.821626,10523,17.545,26.045,30.3,0,0,0,0,13105,13105,16.0021,0,0,0,0,0,64.0097,0,1,288.849,0,8.5287,12,0,0,11805,9793,54.6578,0,0,385.497
wb_cleanwrite_16mb_r01,wb_cleanwrite,15,0.631734,209712,15,1263,12.98,18.713,21.242,0,0,0,0,0,0,0,0,1358,83.848,105.732,131.745,100,0.843126,10486,16.334,24.698,30.519,0,0,0,0,13107,13107,4.00198,1,0,0,0,0,64.0097,1,1,288.849,0,8.25302,12,0,0,12862,9877,56.5636,0,0,406.113
wb_cleanwrite_16mb_r01,wb_cleanwrite,16,0.675013,222819,16,1301,14.117,23.042,31.36,0,0,0,0,0,0,0,0,1259,88.354,130.564,165.876,99.9651,0.9035,10558,17.182,26.688,32.592,0,0,0,0,13118,13118,7.00201,1,0,0,0,0,64.0097,1,1,288.849,0,8.31898,13,0,0,12200,9369,56.5627,0,0,430.312
wb_cleanwrite_16mb_r01,wb_cleanwrite,17,0.720166,235926,17,1327,12.931,21.825,28.573,0,0,0,0,0,0,0,0,1302,93.973,143.396,170.861,100,0.966247,10459,17.489,26.9,32.474,0,0,0,0,13088,13088,10.002,0,0,0,0,0,77.4748,0,1,302.314,0,8.8966,13,13.4652,0,12782,11111,53.4968,0,0,432.001
wb_cleanwrite_16mb_r01,wb_cleanwrite,18,0.764046,249033,18,1278,12.689,19.052,25.132,0,0,0,0,0,0,0,0,1318,91.375,122.434,148.037,100,0.923953,10526,16.966,26.214,31.596,0,0,0,0,13122,13122,13.0021,0,0,0,0,0,77.4748,0,1,302.314,0,4.76425,7,0,0,12795,9832,56.5475,0,0,442.594
wb_cleanwrite_16mb_r01,wb_cleanwrite,19,0.807825,262140,19,1329,12.613,18.029,23.477,0,0,0,0,0,0,0,0,1321,90.477,112.948,126.034,99.9402,0.905591,10448,17.305,25.752,31.091,0,0,0,0,13098,13098,16.0021,0,0,0,0,0,77.4748,0,1,302.314,0,7.87712,11.74,0,0,12896,10740,54.5608,0,0,456.384
wb_cleanwrite_16mb_r01,wb_cleanwrite,20,0.853111,275247,20,1281,13.933,21.655,28.018,0,0,0,0,0,0,0,0,1337,94.383,135.536,176.531,100,0.968507,10492,17.14,26.471,32.774,0,0,0,0,13110,13110,4.00198,1,0,0,0,0,77.4748,1,1,302.314,0,9.22254,13,0,0,13639,10820,55.7627,0,0,480.28
wb_cleanwrite_16mb_r01,wb_cleanwrite,21,0.898469,288354,21,1300,13.788,21.542,26.385,0,0,0,0,0,0,0,0,1233,98.971,141.668,171.298,100,1.00812,10571,17.632,26.684,32.694,0,0,0,0,13104,13104,7.00201,0,0,0,0,0,90.8164,0,1,315.656,0,8.99715,13,13.3418,0,12951,10452,55.3391,0,0,487.335
wb_cleanwrite_16mb_r01,wb_cleanwrite,22,0.940204,301461,22,1293,12.315,16.981,21.244,0,0,0,0,0,0,0,0,1336,94.172,115.518,127.113,100,0.937303,10486,15.531,23.083,26.301,0,0,0,0,13115,13115,10.002,0,0,0,0,0,90.8164,0,1,315.656,0,8.98193,13,0,0,14097,12348,53.3069,0,0,503.182
