exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
wb_cleanwrite_16mb_r01,wb_cleanwrite,1,1.0003,319804,24.3991,31919,12.269,18.531,24.251,0,0,0,0,0,0,0,0,31939,81.932,113.746,142.099,99.992,0.830292,256062,16.031,25.122,31.264,0,0,0,0,319920,319920,14.0021,0,0,0,0,0,90.8164,0,1,315.656,0,126.014,192.47,54.2621,0,270776,223124,54.8241,0,0,526.912
wb_cleanwrite_16mb_r01,wb_cleanwrite,2,2.02825,560640,42.7734,24144,13.66,24.352,32.006,0,0,0,0,0,0,0,0,23918,102.674,175.664,221.688,99.9949,1.09648,192802,18.808,30.735,41.427,0,0,0,0,240864,240864,8.00201,0,0,0,0,0,91.6881,0,1,353.072,0,75.7441,123.017,54.961,77732,149187,211532,41.3582,0,0,368.033
wb_cleanwrite_16mb_r01,wb_cleanwrite,3,3.04734,836686,63.8341,27449,13.096,19.357,25.223,0,0,0,0,0,0,0,0,27574,111.979,144.765,177.841,99.9976,1.12238,221078,17.317,25.773,31.211,0,0,0,0,276101,276101,11.002,0,0,0,0,0,134.94,0,1,396.324,0,51.7492,96.8956,53.0453,0,181990,273080,39.9916,0,0,433.027
wb_cleanwrite_16mb_r01,wb_cleanwrite,4,4.07337,1103548,84.194,27065,13.557,19.283,24.419,0,0,0,0,0,0,0,0,26631,125.385,154.845,172.313,99.9949,1.24375,213082,17.332,25.636,30.835,0,0,0,0,266778,266778,12.002,0,0,0,0,0,169.328,0,1,430.712,0,75.1252,112.54,53.788,0,177500,305499,36.7496,0,0,462.308
wb_cleanwrite_16mb_r02,wb_cleanwrite,1,1.00032,369030,28.1548,36930,11.158,16.364,21.042,0,0,0,0,0,0,0,0,36797,71.868,101.163,117.995,99.991,0.723856,295528,13.798,20.674,25.7,0,0,0,0,369255,369255,9.00202,0,0,0,0,0,68.6126,0,1,329.996,0,14.0352,50,68.6133,0,201256,225932,47.1118,0,0,346.787
wb_cleanwrite_16mb_r02,wb_cleanwrite,2,2.02742,692126,52.805,32286,12.233,18.811,24.354,0,0,0,0,0,0,0,0,32040,98.901,141.712,183.656,99.9965,1.01452,258745,13.737,21.604,27.26,0,0,0,0,323071,323071,5.00199,0,0,0,0,0,133.429,1,1,394.812,0,44.4011,82.3059,69.1033,0,211882,298130,41.5445,0,0,486.487
wb_cleanwrite_16mb_r02,wb_cleanwrite,3,3.05333,975684,74.4388,28372,13.366,19.351,24.313,0,0,0,0,0,0,0,0,28453,118.506,155.309,176.408,99.9979,1.19344,226632,15.497,23.798,28.823,0,0,0,0,283457,283457,9.00202,0,0,0,0,0,174.259,0,1,435.642,0,54.8918,82.9519,54.8882,0,191850,314076,37.9206,0,0,521.91
wb_cleanwrite_16mb_r02,wb_cleanwrite,4,4.07847,1242039,94.7601,26840,13.831,20.41,25.699,0,0,0,0,0,0,0,0,26790,137.197,177.827,209.698,99.993,1.37883,212761,14.435,23.119,28.555,0,0,0,0,266391,266391,8.00201,0,0,0,0,0,206.275,0,1,467.659,0,127.119,169.61,54.3,0,208373,362228,36.5182,0,0,601.893
wb_cleanwrite_16mb_r03,wb_cleanwrite,1,1.00021,349089,26.6334,34912,11.769,17.422,21.397,0,0,0,0,0,0,0,0,34790,79.847,107.87,120.329,99.9904,0.800525,279478,14.151,20.959,26.036,0,0,0,0,349180,349180,5.00199,1,0,0,0,0,91.6659,1,1,315.974,0,112.387,172.47,54.596,0,295795,237767,55.4378,0,0,526.089
wb_cleanwrite_16mb_r03,wb_cleanwrite,2,2.02358,559803,42.7096,21072,15.483,30.82,45.609,0,0,0,0,0,0,0,0,20980,116.031,251.65,321.216,99.9978,1.27834,168698,18.217,35.873,56.253,0,0,0,0,210750,210750,7.00201,0,0,0,0,0,91.3309,0,1,352.715,0,89.8908,139.005,54.82,130287,121615,195164,38.3911,0,0,362.283
